Id	QubitType	Value	ShowTxtList
1	1		['##A型拟态疫苗制作中\\n##调取Alpha特征值，覆写范围10.22%……']
2	1	10	['##A型拟态疫苗制作中\\n##调取Alpha特征值，覆写范围10.22%……']
3	1	16	['##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度11.1%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度12.3%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度16.2%……']
4	1	20	['##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度22.471%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度23.24%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度29.2%……']
5	1	30	['##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度34.52%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度30.52%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度39.92%……']
6	1	40	['##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度40.5%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度43.111%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度49.586%……']
7	1	50	['##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度55.55%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度56.7%……', '##正在注入A型疫苗\\n##反馈熵变结果中，抗体形成进度58.7%……']
8	1	60	['##A型疫苗注射完成\\n##反馈熵变结果中，抗体适配率99.74%……']
9	2		['##B型拟态疫苗制作中\\n##调取BETA特征值，覆写范围15.13%……']
10	2	10	['##B型拟态疫苗制作中\\n##调取BETA特征值，覆写范围15.13%……']
11	2	16	['##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度13.6%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度14.7%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度17.5%……']
12	2	20	['##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度20%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度26%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度28%……']
13	2	30	['##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度30%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度34%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度39%……']
14	2	40	['##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度40%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度46%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度49%……']
15	2	50	['##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度50%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度57%……', '##正在注入B型疫苗\\n##反馈熵变结果中，抗体形成进度59%……']
16	2	60	['##B型疫苗注射完成\\n##反馈熵变结果中，抗体适配率0.26%……']
