Id	Cvs	CvContent
899	[899, 899, 899, 899]	['Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)']
900	[900, 900, 900, 900]	['Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)']
901	[901, 901, 901, 901]	['Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)', 'Summer Event Ten Stages (Test)']
102001	[102001, 202001, 302001, 402001]	['Gray Raven leader, Lucia. Nice to meet you, Commandant.', 'Gray Raven leader, Lucia. Nice to meet you, Commandant.', 'Gray Raven leader, Lucia. Nice to meet you, Commandant.', 'Gray Raven leader, Lucia. Nice to meet you, Commandant.']
102002	[102002, 202002, 302002, 402002]	['Understood.', 'Understood.', 'Understood.', 'Understood.']
102003	[102003, 202003, 302003, 402003]	['Hmm.', 'Hmm.', 'Hmm.', 'Hmm.']
102004	[102004, 202004, 302004, 402004]	['(Chuckles)', '(Chuckles)', '(Chuckles)', '(Chuckles)']
102005	[102005, 202005, 302005, 402005]	['What?', 'What?', 'What?', 'What?']
102006	[102006, 202006, 302006, 402006]	['Combative capabilities increased.', 'Combative capabilities increased.', 'Combative capabilities increased.', 'Combative capabilities increased.']
102007	[102007, 202007, 302007, 402007]	['This should make the missions easier...', 'This should make the missions easier...', 'This should make the missions easier...', 'This should make the missions easier...']
102008	[102008, 202008, 302008, 402008]	['With this strength, no enemies can stand in my way.', 'With this strength, no enemies can stand in my way.', 'With this strength, no enemies can stand in my way.', 'With this strength, no enemies can stand in my way.']
102009	[102009, 202009, 302009, 402009]	['I will put myself to use on the battlefield. Thank you, Commandant.', 'I will put myself to use on the battlefield. Thank you, Commandant.', 'I will put myself to use on the battlefield. Thank you, Commandant.', 'I will put myself to use on the battlefield. Thank you, Commandant.']
102010	[102010, 202010, 302010, 402010]	['I will put this to good use.', 'I will put this to good use.', 'I will put this to good use.', 'I will put this to good use.']
102011	[102011, 202011, 302011, 402011]	['A new message from HQ, Commandant.', 'A new message from HQ, Commandant.', 'A new message from HQ, Commandant.', 'A new message from HQ, Commandant.']
102012	[102012, 202012, 302012, 402012]	['Please look forward to my performance.', 'Please look forward to my performance.', 'Please look forward to my performance.', 'Please look forward to my performance.']
102013	[102013, 202013, 302013, 402013]	"[""I'll fulfill my duties as a squad leader."", ""I'll fulfill my duties as a squad leader."", ""I'll fulfill my duties as a squad leader."", ""I'll fulfill my duties as a squad leader.""]"
102014	[102014, 202014, 302014, 402014]	"[""Mission has been completed. Let's return to HQ and claim the reward."", ""Mission has been completed. Let's return to HQ and claim the reward."", ""Mission has been completed. Let's return to HQ and claim the reward."", ""Mission has been completed. Let's return to HQ and claim the reward.""]"
102015	[102015, 202015, 302015, 402015]	['Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.']
102016	[102016, 202016, 302016, 402016]	['Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.', 'Mission has been completed. Remember to claim the reward.']
102017	[102017, 202017, 302017, 402017]	['All missions give their corresponding rewards.', 'All missions give their corresponding rewards.', 'All missions give their corresponding rewards.', 'All missions give their corresponding rewards.']
102018	[102018, 202018, 302018, 402018]	['Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.']
102019	[102019, 202019, 302019, 402019]	['Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.', 'Do remember to return to HQ after completing a mission to claim the reward.']
102020	[102020, 202020, 302020, 402020]	['Have you claimed your mission reward yet, Commandant?', 'Have you claimed your mission reward yet, Commandant?', 'Have you claimed your mission reward yet, Commandant?', 'Have you claimed your mission reward yet, Commandant?']
102021	[102021, 202021, 302021, 402021]	['I think the mission rewards have arrived, Commandant.', 'I think the mission rewards have arrived, Commandant.', 'I think the mission rewards have arrived, Commandant.', 'I think the mission rewards have arrived, Commandant.']
102022	[102022, 202022, 302022, 402022]	['The mission rewards have arrived, Commandant. Would you like to take a look?', 'The mission rewards have arrived, Commandant. Would you like to take a look?', 'The mission rewards have arrived, Commandant. Would you like to take a look?', 'The mission rewards have arrived, Commandant. Would you like to take a look?']
102023	[102023, 202023, 302023, 402023]	"[""This is Babylonia's acknowledgment for your efforts, Commandant. Let us go claim it."", ""This is Babylonia's acknowledgment for your efforts, Commandant. Let us go claim it."", ""This is Babylonia's acknowledgment for your efforts, Commandant. Let us go claim it."", ""This is Babylonia's acknowledgment for your efforts, Commandant. Let us go claim it.""]"
