Name	Layer	MotionType	SpeedParameter	BlendParameter	AnimationMotionClip	BlendTreeMotionClips	BlendTreeMotionThresholds	BlendTreeMotionTimeScales
Walk	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Walk.anim			
WalkStart	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/WalkStart.anim			
WalkEnd	BaseLayer	1	-895785005	846125279		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Walk_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Walk_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Walk_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
RunStart	BaseLayer		-162882405		Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunStart.anim			
RunStartEnd01	BaseLayer	1	-162882405	895008329		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunStartEnd01_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunStartEnd01_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunStartEnd01_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
Run	BaseLayer	1	-162882405	1391530821		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Run.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
Stop	BaseLayer	1	-162882405	1601072779		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Run_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Run_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Run_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
SprintStart	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/RunStart.anim			
Sprint	BaseLayer	1		-1977151796		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/SprintLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Sprint.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/SprintLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
SprintStop	BaseLayer	1		-1989393594		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Sprint_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Sprint_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stop_Sprint_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
Jumpsquat1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpsquat1.anim			
Jumprise1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumprise1.anim			
Jumpchange1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpchange1.anim			
Jumpfall1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpfall1.anim			
Jumpfalling1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpfalling1.anim			
Jumpdown1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpdown1.anim			
Jumpsquat2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpsquat2.anim			
Jumprise2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumprise2.anim			
Jumpchange2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpchange2.anim			
Jumpfall2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpfall2.anim			
Jumpdown2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Jumpdown2.anim			
Stand2	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMdCommonSG/R3BuouxiongMdCommonSG/CommonLayer/Stand2.anim			
