Name	Layer	MotionType	SpeedParameter	BlendParameter	AnimationMotionClip	BlendTreeMotionClips	BlendTreeMotionThresholds	BlendTreeMotionTimeScales
Drama_Stand_01_Loop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Stand_01_Loop.anim			
Drama_Reading_Start	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Reading_Start.anim			
Drama_Reading_Loop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Reading_Loop.anim			
Drama_Reading_End	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Reading_End.anim			
Drama_Jump_Loop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Juamp_Loop.anim			
Drama_Happy_Start	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Happy_Start.anim			
Drama_Happy_Loop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Happy_Loop.anim			
Drama_Happy_End	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Happy_End.anim			
Drama_Sadness_Start	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Sadness_Start.anim			
Drama_Sadness_Loop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Sadness_Loop.anim			
Drama_Sadness_End	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Drama_Sadness_End.anim			
Walk	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/Walk.anim			
WalkStart	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/Npc1AdwMd00001SG/Npc1AdwMd00001SG/CommonLayer/WalkStart.anim			
