Name	Layer	MotionType	SpeedParameter	BlendParameter	AnimationMotionClip	BlendTreeMotionClips	BlendTreeMotionThresholds	BlendTreeMotionTimeScales
Walk	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Walk.anim			
WalkStart	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/WalkStart.anim			
WalkEnd	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/WalkEnd.anim			
RunStart	BaseLayer		-162882405		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunStart.anim			
RunStartEnd01	BaseLayer		-162882405		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunStartEnd01.anim			
Run	BaseLayer	1	-162882405	1391530821		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Run.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
Stop	BaseLayer		-162882405		Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Stop.anim			
SprintStart	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunStart.anim			
SprintStartEnd01	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/RunStartEnd01.anim			
Sprint	BaseLayer	1		-1977151796		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/SprintLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Sprint.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/SprintLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
SprintStop	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/SprintStop.anim			
Jumpsquat1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Jumpsquat1.anim			
Jumprise1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Jumprise1.anim			
Jumpchange1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Jumpchange1.anim			
Jumpfall1	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R5LifuMdCommonSG/R5LifuMdCommonSG/CommonLayer/Jumpfall1.anim			
