Id	Name	IconPath	AttrType	AttrValue	EncounterStoryId	InviteStoryId	CommuId	CutDownTime	ContributionBuff
1	露西亚 红莲	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	1	6	1	31	2001	30	30
2	露西亚 黎明	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	1	8	2	32	2002	40	40
3	露西亚 鸦羽	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	1	10	3	33	2003	50	50
4	露西亚 深红之渊	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	1	10	4	34	2004	50	50
5	里 异火	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	3	8	5	35	2005	40	40
6	里 乱数	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	3	10	6	36	2006	50	50
7	丽芙 蚀暗	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	4	6	7	37	2007	30	30
8	丽芙 流光	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	4	8	8	38	2008	40	40
9	丽芙 仰光	Assets/Product/Texture/Image/Role/RoleHeadLifu3SSQ.png	4	10	9	39	2009	50	50
10	神威 重能	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	1	8	10	40	2010	40	40
11	神威 暗能	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	1	10	11	41	2011	50	50
12	比安卡 零度	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	4	8	12	42	2012	40	40
13	比安卡 真理	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	4	10	13	43	2013	50	50
14	卡列尼娜 爆裂	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	1	8	14	44	2014	40	40
15	卡列尼娜 烬燃	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	1	10	15	45	2015	50	50
16	七实 风暴	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	3	6	16	46	2016	30	30
17	七实 脉冲	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	3	8	17	47	2017	40	40
18	渡边 夜刃	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	2	8	18	48	2018	40	40
19	渡边 夙星	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	2	8	19	49	2019	40	40
20	库洛姆 弧光	Assets/Product/Texture/Image/Role/RoleHeadKulomu3Q.png	2	8	20	50	2020	40	40
21	苏菲亚 银牙	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	3	8	21	51	2021	40	40
22	薇拉 瑰丽	Assets/Product/Texture/Image/Role/RoleHeadWeila3Q.png	3	8	22	52	2022	40	40
23	卡穆 狂犬	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	1	10	23	53	2023	50	50
24	罗塞塔 凛冽	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	2	10	24	54	2024	50	50
25	曲 雀翎	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	2	10	25	55	2025	50	50
26	常羽 游麟	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	4	8	26	56	2026	40	40
27	露娜 银冕	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	2	10	27	57	2027	50	50
28	艾拉 溢彩	Assets/Product/Texture/Image/Role/RoleHeadAila3Q.png	3	8	28	58	2028	40	40
29	赛琳娜 岚音	Assets/Product/Texture/Image/Role/RoleHeadSaiLinNa3Q.png	4	10	29	59	2029	50	50
30	万事 明觉	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	2	8	30	60	2030	40	40
