Id	Name	ParentId	SelectPriority	OrderPriority	ContentType
1	聊天信息		1	10	
2	玩家昵称			9	1
3	玩家简介			8	2
4	宿舍名称			7	
5	游戏行为			6	
6	公告昵称			5	1
7	公告信息			4	3
8	内部通信			3	4
101	嘲讽辱骂	1		9	
102	政治敏感	1		8	
103	低俗色情	1		7	
104	欺诈广告	1		6	
105	涉嫌赌博	1		5	
106	外挂作弊	1		4	
107	线下交易	1		3	
108	举报其他	1		2	
109	未成年有害信息	1		1	
111	嘲讽辱骂	2		9	
112	政治敏感	2		8	
113	低俗色情	2		7	
114	欺诈广告	2		6	
115	涉嫌赌博	2		5	
116	外挂作弊	2		4	
117	线下交易	2		3	
118	举报其他	2		2	
119	未成年有害信息	2		1	
121	嘲讽辱骂	3		9	
122	政治敏感	3		8	
123	低俗色情	3		7	
124	欺诈广告	3		6	
125	涉嫌赌博	3		5	
126	外挂作弊	3		4	
127	线下交易	3		3	
128	举报其他	3		2	
129	未成年有害信息	3		1	
131	嘲讽辱骂	4		9	
132	政治敏感	4		8	
133	低俗色情	4		7	
134	欺诈广告	4		6	
135	涉嫌赌博	4		5	
136	外挂作弊	4		4	
137	线下交易	4		3	
138	举报其他	4		2	
139	未成年有害信息	4		1	
141	嘲讽辱骂	5		9	
142	政治敏感	5		8	
143	低俗色情	5		7	
144	欺诈广告	5		6	
145	涉嫌赌博	5		5	
146	外挂作弊	5		4	
147	线下交易	5		3	
148	举报其他	5		2	
149	未成年有害信息	5		1	
151	嘲讽辱骂	6		9	
152	政治敏感	6		8	
153	低俗色情	6		7	
154	欺诈广告	6		6	
155	涉嫌赌博	6		5	
156	外挂作弊	6		4	
157	线下交易	6		3	
158	举报其他	6		2	
159	未成年有害信息	6		1	
161	嘲讽辱骂	7		9	
162	政治敏感	7		8	
163	低俗色情	7		7	
164	欺诈广告	7		6	
165	涉嫌赌博	7		5	
166	外挂作弊	7		4	
167	线下交易	7		3	
168	举报其他	7		2	
169	未成年有害信息	7		1	
171	嘲讽辱骂	8		9	
172	政治敏感	8		8	
173	低俗色情	8		7	
174	欺诈广告	8		6	
175	涉嫌赌博	8		5	
176	外挂作弊	8		4	
177	线下交易	8		3	
178	举报其他	8		2	
179	未成年有害信息	8		1	
1001	多人联机	106		3	
1002	纷争战区	106		2	
1003	幻痛囚笼	106		1	
1101	多人联机	116		3	
1102	纷争战区	116		2	
1103	幻痛囚笼	116		1	
1201	多人联机	126		3	
1202	纷争战区	126		2	
1203	幻痛囚笼	126		1	
1301	多人联机	136		3	
1302	纷争战区	136		2	
1303	幻痛囚笼	136		1	
1401	多人联机	146		3	
1402	纷争战区	146		2	
1403	幻痛囚笼	146		1	
1501	多人联机	156		3	
1502	纷争战区	156		2	
1503	幻痛囚笼	156		1	
1601	多人联机	166		3	
1602	纷争战区	166		2	
1603	幻痛囚笼	166		1	
1701	多人联机	176		3	
1702	纷争战区	176		2	
1703	幻痛囚笼	176		1	
