Id	StageId	BossImage	TypeDesc	RoundDesc
1	30162252	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
2	30162252	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
3	30162253	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
4	30162253	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
5	30162254	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	异合火力单元	第1/2/3/4波
6	30162254	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
7	30162254	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	遗迹挖掘者	第4波
8	30162255	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	园丁	第1/2/3/4波
9	30162255	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第3/4波
10	30162256	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4波
11	30162256	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
12	30162257	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4/5波
13	30162257	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	圣堂守卫	第3/4/5波
14	30162258	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	白先生	第1/2/3/4/5波
15	30162258	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第4/5波
16	30162259	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第1/2/3/4/5波
17	30162259	Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	极地机兵	第2/3/4/5波
18	30162260	Assets/Product/Texture/Image/RoleCharacter/ShashibierNormal02.png	鲨士碧儿	BOSS
19	30162261	Assets/Product/Texture/Image/RoleCharacter/Mo1YijuyeyaMd000001.png	异聚液压	第1/2/3/4波
20	30162261	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
21	30162262	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第1/2/3/4/5波
22	30162262	Assets/Product/Texture/Image/RoleCharacter/SuanyegongyiNormal01.png	酸液工蚁	第3/4/5波
23	30162263	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	BOSS
24	30162264	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	蠃	第1/2/3/4/5波
25	30162264	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	刺钳蝎	第4/5波
26	30162265	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
27	30162265	Assets/Product/Texture/Image/RoleCharacter/Me1ZilujingweiMd000001.png	自律警卫	第2/4波
28	30162265	Assets/Product/Texture/Image/RoleCharacter/Me1UnknownMd010001.png	齿轮	第3/4波
29	30162266	Assets/Product/Texture/Image/RoleCharacter/ShulinghouNormal01.png	枢蛉后	BOSS
30	30162267	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
31	30162267	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/4波
32	30162268	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
33	30162268	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/6波
34	30162268	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第4/5/6波
35	30162269	Assets/Product/Texture/Image/RoleCharacter/Mb1MelodyhuaxuMd10001.png	华胥	BOSS
36	30162270	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-洁霸	第1/2/3/4/5波
37	30162270	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第4/5波
38	30162271	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第1/2/3波
39	30162271	Assets/Product/Texture/Image/RoleCharacter/PoliceNormal01.png	PK-43型警长	第3/4/5波
40	30162272	Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	拉弥亚	BOSS
41	30162273	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4波
42	30162273	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第3/4波
43	30162273	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第5波
44	30162274	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第1/2/3/4波
45	30162274	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫-壹型	第2/3波
46	30162274	Assets/Product/Texture/Image/RoleCharacter/ZhizunNormal01.png	至尊-拾型	第4波
47	30162275	Assets/Product/Texture/Image/RoleCharacter/JiabailieNormal01.png	加百列·星陨	BOSS
48	30162276	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
49	30162276	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
50	30162277	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
51	30162277	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
52	30162278	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	异合火力单元	第1/2/3/4波
53	30162278	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
54	30162278	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	遗迹挖掘者	第4波
55	30162279	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	园丁	第1/2/3/4波
56	30162279	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第3/4波
57	30162280	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4波
58	30162280	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
59	30162281	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4/5波
60	30162281	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	圣堂守卫	第3/4/5波
61	30162282	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	白先生	第1/2/3/4/5波
62	30162282	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第4/5波
63	30162283	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第1/2/3/4/5波
64	30162283	Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	极地机兵	第2/3/4/5波
65	30162284	Assets/Product/Texture/Image/RoleCharacter/ShashibierNormal02.png	鲨士碧儿	BOSS
66	30162285	Assets/Product/Texture/Image/RoleCharacter/Mo1YijuyeyaMd000001.png	异聚液压	第1/2/3/4波
67	30162285	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
68	30162286	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第1/2/3/4/5波
69	30162286	Assets/Product/Texture/Image/RoleCharacter/SuanyegongyiNormal01.png	酸液工蚁	第3/4/5波
70	30162287	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	BOSS
71	30162288	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	蠃	第1/2/3/4/5波
72	30162288	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	刺钳蝎	第4/5波
73	30162289	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
74	30162289	Assets/Product/Texture/Image/RoleCharacter/Me1ZilujingweiMd000001.png	自律警卫	第2/4波
75	30162289	Assets/Product/Texture/Image/RoleCharacter/Me1UnknownMd010001.png	齿轮	第3/4波
76	30162290	Assets/Product/Texture/Image/RoleCharacter/ShulinghouNormal01.png	枢蛉后	BOSS
77	30162291	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
78	30162291	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/4波
79	30162292	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
80	30162292	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/6波
81	30162292	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第4/5/6波
82	30162293	Assets/Product/Texture/Image/RoleCharacter/Mb1MelodyhuaxuMd10001.png	华胥	BOSS
83	30162294	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-洁霸	第1/2/3/4/5波
84	30162294	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第4/5波
85	30162295	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	SSG-游曳者	第1/2/3波
86	30162295	Assets/Product/Texture/Image/RoleCharacter/PoliceNormal01.png	PK-43型警长	第3/4/5波
87	30162296	Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	拉弥亚	BOSS
88	30162297	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4波
89	30162297	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	太阿-壹型	第3/4波
90	30162297	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第5波
91	30162298	Assets/Product/Texture/Image/RoleCharacter/LucunNormal01.png	禄存-拾型	第1/2/3/4波
92	30162298	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	骁卫-壹型	第2/3波
93	30162298	Assets/Product/Texture/Image/RoleCharacter/ZhizunNormal01.png	至尊-拾型	第4波
94	30162299	Assets/Product/Texture/Image/RoleCharacter/JiabailieNormal01.png	加百列·星陨	BOSS
95	30162351	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
96	30162351	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
97	30162352	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	修理机工	第1/2/3/4波
98	30162352	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第4波
99	30162353	Assets/Product/Texture/Image/RoleCharacter/Me1YihehuolidanyuanMd000001.png	异合火力单元	第1/2/3/4波
100	30162353	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
101	30162353	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	遗迹挖掘者	第4波
102	30162354	Assets/Product/Texture/Image/RoleCharacter/TufuNormal01.png	园丁	第1/2/3/4波
103	30162354	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第3/4波
104	30162355	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4波
105	30162355	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
106	30162356	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	巡境者	第1/2/3/4/5波
107	30162356	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	圣堂守卫	第3/4/5波
108	30162357	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	白先生	第1/2/3/4/5波
109	30162357	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第4/5波
110	30162358	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	凯西	第1/2/3/4/5波
111	30162358	Assets/Product/Texture/Image/RoleCharacter/JidijibingNormal01.png	极地机兵	第2/3/4/5波
112	30162359	Assets/Product/Texture/Image/RoleCharacter/ShashibierNormal02.png	鲨士碧儿	BOSS
113	30162360	Assets/Product/Texture/Image/RoleCharacter/Mo1YijuyeyaMd000001.png	异聚液压	第1/2/3/4波
114	30162360	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第3/4波
115	30162361	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	守护者	第1/2/3/4/5波
116	30162361	Assets/Product/Texture/Image/RoleCharacter/SuanyegongyiNormal01.png	酸液工蚁	第3/4/5波
117	30162362	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	巫毒	BOSS
118	30162363	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	蠃	第1/2/3/4/5波
119	30162363	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	刺钳蝎	第4/5波
120	30162364	Assets/Product/Texture/Image/RoleCharacter/Me1YihefenjiedanyuanMd000001.png	异合分解单元	第1/2/3波
121	30162364	Assets/Product/Texture/Image/RoleCharacter/Me1ZilujingweiMd000001.png	自律警卫	第2/4波
122	30162364	Assets/Product/Texture/Image/RoleCharacter/Me1UnknownMd010001.png	齿轮	第3/4波
123	30162365	Assets/Product/Texture/Image/RoleCharacter/ShulinghouNormal01.png	枢蛉后	BOSS
124	30162366	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	舞轮-肆型	第1/2/3/4/5波
125	30162366	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	力士-陆型	第3/4波
