Id	Name	Type	RoundDuration	Icon	Params	Desc
1	露娜被动	1		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33131.png	[1, 9999, 1021005, 6]	露娜被动，一局只生效一次，对国王不生效
2	露娜大招被动增加伤害	2		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[3, 1, 2, 3]	一局生效3次，每次生效数值
3	露娜大招被动增加射程	3		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[3, 1, 2, 3]	一局生效3次，每次生效数值
4	露娜大招被动增加移动距离	4		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[3, 0, 0, 0]	一局生效3次，每次生效数值
5	薇拉大招增加的伤害	5		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[3, 32]	每次增加伤害，技能id
6	薇拉大招增加的能量消耗	6		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[30, 32]	"""每次增加消耗,技能id"""
7	薇拉大招复活临时棋子	7		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[50, 2, 6]	血量系数，存活回合，排除棋子类型
8	扳手小子增加移动距离	4	5	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[1, 1]	距离增加值
9	扳手跳劈增加技能范围	8	5	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[5, 21]	技能宽度，技能id
10	扳手跳劈减少技能cd	9	5	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[-2, 19]	cd减少值，CD表技能id
12	薇拉对异色格遮天碧碧的伤害增加	10		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	[5]	异色格伤害增加值
13	遮天碧碧受伤减少技能cd	9			[-1, 22]	异色格受伤切换间隔缩减值
