Id	Type	TargetType	Params	RoundDuration	NodeDuration	MaxOverlays	Desc	Icon	Name	Condition	EffectId
1	1			1	1	1	展示用	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesscanPieceUp.png	buff名字1		41
23	104	[-1]	[5]	1	1	1	能量值+5，复活触发	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png			41
24	104	[-1]	[10]	1	1	1	能量值+10，复活触发	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21082.png			41
25	104	[-1]	[9999]	1	1	1	能量值回满，复活触发	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21083.png			41
26	105	[-1]	[26]	1	1	1	技能cd清0，复活触发	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22120.png			41
31001	2	[200]	[999]	5	1	1	碧无霸在必杀释放期间燃起金色之力，免疫所有伤害	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	滔天之力		41
5001	1					1	摧毁黑色方的国王	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	毁灭		41
50	108		[-1]			1	每次融合，所有技能当前CD-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31071.png	士兵加速		41
51	107		[1]			1	每次融合，可再次移动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	骑士跳板		41
52	16		[5000]			1	融合时，吞噬棋子并将当前50%血量转移给其他友方棋子（同步增加血量上限）	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	主教献祭		41
53	109		[1]			1	融合时免疫1次伤害，免疫成功时，城堡将被销毁	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21021.png	城堡守护		41
54	104		[20]			1	每次融合，怒气+20点	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	皇后仪式		41
100	101	[100]	[30]	1	1	1	初始怒气+30点【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11041.png	盛怒		41
101	101	[100]	[15]	1	1	1	初始怒气+15点【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11040.png	愤怒		41
102	102	[100]	[-25]		1	1	技能消耗的怒气-25点【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	高效		41
103	14	[100]	[1, 5]		1	1	处于黑格时，薇拉造成伤害+5【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	漆黑之力		41
104	14	[100]	[2, 5]		1	1	处于白格时，薇拉造成伤害+5【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21251.png	纯白之力		41
105	11	[3]	[7, 10]		1	1	友方主教阵亡时，其他友方棋子血量+10【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	牺牲		41
106	5	[1]	[2]		1	1	友方士兵移动距离+1，同效果不叠加【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	急行军		41
107	5	[1]	[3]		1	1	友方士兵移动距离+2，同效果不叠加【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33002.png	急行军II		41
108	4	[1, 2, 3, 5]	[4, 1]		1	1	友方棋子与堡垒相邻时，免疫伤害【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	壁垒		32
109	2	[1, 2, 3, 4, 5]	[1]		1	1	所有友方棋子免疫1次伤害【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32061.png	防爆		41
110	2	[1]	[2]		1	1	友方士兵免疫2次伤害【仅当前关卡】	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	特种兵		42
111	7	[5]	[1, 2, 5]		1	1	友方皇后阵亡后，生成2名1星皇后	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png	分裂		41
1001	3	[6]	[5]		1	1	皇后存活时，国王免疫伤害	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	守护		22
1002	11	[3]	[5, 5, 6]		1	1	死亡时，在场皇后、国王的血量+5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	牺牲		41
1003	8	[6]	[2, 2, 3030602]		1	1	国王受到攻击时，在其周围生成2个士兵	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	士兵招募		21
1004	4	[1]	[4, 1]		1	1	士兵与堡垒相邻时，免疫伤害	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12151.png	壁垒		32
1005	1				1	1	为周围的士兵提供保护	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	防护		29
1006	15	[5]	[1131003]		1	1	远离薇拉！	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11045.png	恐惧		41
