Id	Type	Desc	Params
1	1	复活次数不超过5次	[5]
2	2	击杀6个棋子	[6]
3	3	坚持10个回合	[10]
4	2	击杀4个小兵	[4, 1]
5	2	击杀国王	[1, 6]
6	2	击杀1个棋子	[1]
7	1	复活次数不超过3次	[3]
8	1	不复活直接通关	[0]
9	2	击杀3次国王	[3, 6]
10	1	复活次数不超过5次	[5]
11	1	复活次数不超过4次	[4]
12	1	复活次数不超过3次	[3]
13	1	复活次数不超过2次	[2]
14	1	复活次数不超过1次	[1]
15	4	回合结束时，露娜站在[3，4]	[3, 4, 1171003]
16	2	击杀2个骑士	[2, 2]
17	2	击杀1个皇后	[1, 5]
18	2	击杀3个小兵	[3, 1]
19	5	不触发露娜受攻击时露西亚救援	[1171003, 1, 0]
20	6	当前能量达到50	[50]
21	2	击杀Boss	[1, 200]
22	2	击杀两匹马	[2, 2]
23	2	杀4个堡垒	[4, 4]
24	2	杀3个堡垒	[3, 4]
25	2	杀1个堡垒	[1, 4]
26	2	击杀2个棋子	[2]
27	2	击杀4个棋子	[4]
28	2	杀2个堡垒	[2, 4]
29	2	击杀4个棋子	[4]
30	2	击杀4个马	[4, 2]
31	2	击杀所有Boss	[2, 200]
32	1	复活次数不超过20次	[20]
33	1	复活次数不超过15次	[15]
34	8	完成棋局	[1]
35	8	完成棋局	[2]
36	8	完成棋局	[3]
37	8	完成棋局	[4]
38	8	完成棋局	[5]
