Id	Type	Cost	Range	IsDefault	IsPassive	IsDizzy	IsPenetrate	DelayRound	Params	Desc	Desc2	Name	Name2	Icon	CircleIcon	MapIcon	MapIcon2	UnlockDesc	HitEffectId	AssistHitEffectId	IconBg
1	1		2	True					[3, 2]	射程2，斜向拥有不同的攻击范围		岩石炮普攻		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill1.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips08.png		默认解锁	[7]		
2	2	4	2			True			[5, 3]	射程2，附带眩晕效果，阻止敌方行动，斜向拥有不同的攻击范围		闪光射击		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill3.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips02.png		通关ST-02解锁	[8]		
3	3	8	3			True			[7, 5]	射程3，附带眩晕效果，阻止敌方行动，斜向拥有不同的攻击范围		全弹爆发		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill2.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips01.png		通关ST-04解锁	[13]		
4	4		1	True					[5, 1, -3]	射程1，命中后可获得额外回合		漆黑之刃普攻		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill4.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips07.png		通关ST-06解锁			
5	5	3		True	True				[2, 1, 1]	本回合造成伤害+1、移动距离+2且可以越过敌方单位		焰燃我心		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill6.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips03.png		通关ST-06解锁			
6	6	5	1						[8, 1, -3]	射程1，攻击横向3个敌方单位，命中后可获得额外回合		焰气动斩		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill5.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips06.png		通关ST-08解锁			
7	7		2	True					[2, 2, 4]	造成2点伤害，并呼叫场边的露西亚支援攻击		猩红晶簇		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill1.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips01.png		默认解锁	[51]	[55]	
8	8		3				True		[2, 2]	移动最多3格，对起跳、落地位置周围造成2点伤害		绯空月轮		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill2.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips03.png		通关ST-02解锁	[51]		
9	9		2						[4, 2, 8]	造成4点伤害，并呼叫场边的露西亚支援攻击		湮灭低语		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill3.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips04.png		通关ST-04解锁	[51]	[55]	
10	10	15	2						[5, 1021005, 2, 2, 3, 4]	造成5点伤害，前3次释放可在当前关卡中，永久提升自身1点伤害&射程，并呼叫露西亚下场助战		终月降临		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill4.png		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips06.png		通关ST-06解锁	[51]		
