Id	LayoutId	ChessBoardType	ReinforceIds	BuffIds	DisplayBuffIds	ShopId	TargetCondition	UnlockSkillIds	NodeScore	Coin	PartnerPieceLimit	PartnerAddEnergy	Name	NodeType	Icon	Desc	ScenePrefab
1	52	1	[3010101, 3010102]				5	[15, 16]	3000		7	5	教学1-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>1/3</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
2	53	1	[3010201, 3010202]				5	[17, 18, 19, 32]	3000		7	5	教学1-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>2/3</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>在合适位置使用【格挡】更容易脱离险境	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
3	54	1	[3010301, 3010302]				5		3000		7	5	教学1-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg06.png']	<size=32><color=#FFD584>棋局进度：</color>3/3【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>新技能看起来很强力	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
4	55	1	[3020101]				5		3000		7	5	正式2-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
5	56	1	[3020201, 3020202, 3020203]				5		3000		7	5	正式2-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
6	57	1	[3020301]				5		3000		7	5	正式2-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg06.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
8	59	1					21		3000		7	5	正式2-5	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败扳手小子\n<color=#FFD584>提示：</color>绕后偷袭！	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
9	60	1					5		3000		7	5	正式3-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
10	61	1	[3030201]				5		3000		7	5	正式3-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
13	64	1	[3030501, 3030502, 3030503]				5		3000		7	5	正式3-5	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>主教牺牲时，皇后与国王加血	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
14	65	1					5		3000		7	5	正式3-6	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg03.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>国王受击会招募士兵	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
15	66	1	[3040101]				5		3000		7	5	正式4-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>与堡垒相邻的士兵免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
16	67	1	[3040201]				5		3000		7	5	正式4-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后会逃跑，还会招募士兵	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
17	68	1	[3040301]				5		3000		7	5	正式4-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>主教会复活，牺牲会给国王加血	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
20	71	1					21		3000		7	5	正式4-6	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸\n<color=#FFD584>提示：</color>要捏好手中的格挡喔！	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
22	73	1	[3050201]				5		3000		7	5	正式5-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>1/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>士兵阵亡会转生成更强的棋子	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
23	74	1					31		3000		7	5	正式5-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>2/5</size>\n————————————————\n<color=#FFD584>目标：</color>击败扳手小子家族	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
24	75	1	[3050401]				5		3000		7	5	正式5-4	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>3/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>城堡总有薄弱的地方	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
27	78	1					5		3000		7	5	正式5-7	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg03.png']	<size=32><color=#FFD584>棋局进度：</color>4/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>来一盘国际象棋吧	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
28	79	1					31		3000		7	5	正式5-8	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>5/5【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸和扳手小子	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
