Id	Name	MoveType	Type	WeaponIds	WeaponConditions	SkillIds	BuffIds	DefaultWeapon	MaxLife	ModelUrl	ControllerUrl	CircleIcon	RectIcon	Desc
1171003	露娜	5	1	[3]	[0]	[1, 2, 3, 4]		3	1	Assets/Product/Role/Room/Prefab/QR4LunaMd010011.prefab	Assets/Product/Role/Animation/Q4LunaMd010011/Q4LunaMd010011/QR4LunaMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLuna.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill01.png	
1021005	露西亚	7	2	[4]	[0]			4	1	Assets/Product/Role/Room/Prefab/QR5LuxiyaMd010011.prefab	Assets/Product/Role/Room/Animation/QR5LuxiyaMd010011/QR5LuxiyaMd010011/QR5LuxiyaMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	
1131003	薇拉	4	1	[5, 6]	[0, 20]	[12]		5	1	Assets/Product/Role/Room/Prefab/QR4WeilaMd010011.prefab	Assets/Product/Role/Room/Animation/QR4WeilaMd010011/QR4WeilaMd010011/QR4WeilaMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	
1001	扳手小子	7	3	[7]	[0]			7	100	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	平时比较呆板，但是开启必杀后会变的超级强大！
1002	碧无霸	8	4	[8, 9]	[0, 0]	[13]		8	100	Assets/Product/Role/Room/Prefab/QR1ZhihuiguanMd010011.prefab	Assets/Product/Role/Room/Animation/QR1AolajiangMd010011/QR1AolajiangMd010011/QR1AolajiangMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon02.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	性格多变的敌人，必杀技会对所有格子造成伤害，要小心了！
1003	扳手小子	7	3	[7]	[0]			7	100	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	平时比较呆板，但是开启必杀后会变的超级强大！
1004	扳手分身	7	3	[10]	[0]			10	50	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	扳手小子的分身，虽然比较脆弱，但还是要小心他们的包夹攻击！
1005	真·扳手	7	3	[7]	[0]			7	50	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	平时比较呆板，但是开启必杀后会变的超级强大！
1006	真·碧碧	8	4	[8, 9]	[0, 0]	[13]		8	50	Assets/Product/Role/Room/Prefab/QR1ZhihuiguanMd010011.prefab	Assets/Product/Role/Room/Animation/QR1AolajiangMd010011/QR1AolajiangMd010011/QR1AolajiangMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon02.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	性格多变的敌人，必杀技会对所有格子造成伤害，要小心了！
2001	常规	4	3	[5]	[0]			5	1	Assets/Product/Role/Room/Prefab/QR4WeilaMd010011.prefab	Assets/Product/Role/Room/Animation/QR4WeilaMd010011/QR4WeilaMd010011/QR4WeilaMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	
2002	燃魂	4	3	[6]	[0]			6	1	Assets/Product/Role/Room/Prefab/QR4WeilaMd010011.prefab	Assets/Product/Role/Room/Animation/QR4WeilaMd010011/QR4WeilaMd010011/QR4WeilaMd010011Chess.controller	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianSkill02.png	
