Id	Name	Type	Step	IsPenetrate	SkillIds	Icon	CircleIcon	ModelUrl	ControllerUrl	Desc	Desc2	MapIcon	MapIcon2	UnlockDesc
1	岩石炮	1	1		[1, 2, 3]	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSpear.png				移动距离为1，擅长清理多个单位		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips05.png		默认解锁
2	漆黑之刃	2	2		[4, 5, 6]	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessKnife.png				移动距离为2，攻击命中敌人获得一个额外回合，擅长单体输出		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips04.png		通关ST-06解锁
3	终焉	3	1		[7, 8, 9, 10]	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSpear.png				移动距离为1，擅长清理多个单位		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips08.png		默认解锁
4	深红囚影	4	2		[11, 12, 13]	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkill5.png				移动距离为2，擅长单体输出		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChesslunaTips07.png		通关ST-06解锁
5	常规形态	5	2		[14, 15, 17, 19]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia01.png			<color=#FFD584>移动距离为2</color>，攻击敌人积攒<color=#FFD584>怒气</color>进入<color=#FFD584>燃魂形态</color>		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips01.png		
6	燃魂形态	6		True	[31, 16, 18, 32]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessLucia.png			累计<color=#FFD584>怒气至50</color>以上，解放<color=#FFD584>燃魂形态</color>，<color=#FFD584>移动距离提升至7</color>，<color=#FFD584>消耗怒气</color>可强化技能效果		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips02.png		
7	移动模式	7	1		[20, 21, 22]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	移动距离为1	移动距离为2【必杀强化】	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips15.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips16.png	
8	白	8			[27, 28, 29, 30]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon02.png	Assets/Product/Role/Room/Prefab/QR1ZhihuiguanMd010011.prefab	Assets/Product/Role/Room/Animation/QR1AolajiangMd010011/QR1AolajiangMd010011/QR1AolajiangMd010011Chess.controller	白形态可移动到<color=#FFD584>任意白格</color>并主动<color=#FFD584>远离</color>薇拉，回合结束时未受伤则下回合释放【 碧打雷劈·白】		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips21.png		
9	黑	9			[23, 24, 25, 26]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon03.png	Assets/Product/Role/Room/Prefab/QR1AolajiangBlackMd0100011.prefab	Assets/Product/Role/Room/Animation/QR1AolajiangMd010011/QR1AolajiangMd010011/QR1AolajiangMd010011Chess.controller	黑形态可移动到<color=#FFD584>任意黑格</color>并主动<color=#FFD584>追击</color>薇拉		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips22.png		
10	移动模式	7	1		[20, 33]		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBossIcon01.png	Assets/Product/Role/Room/Prefab/QR1XiulijigongMd010011.prefab	Assets/Product/Role/Room/Animation/QR1XiulijigongMd010011/QR1XiulijigongMd010011/QR1XiulijigongMd010011Chess.controller	移动距离为1		Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips15.png	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTips16.png	
