LevelNpcBaseId	SettleEmoji	DefaultPosId	ClickText
101200	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png	1	['这里的咖啡很不错，指挥官，之后我们也常来吧。', '这里的咖啡很不错，指挥官，之后我们也常来吧。']
101202	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png	8	['看什么！还不都是你干的好事，邀请我来这里喝什么咖啡......', '哼，要我消气也不是不行，想好之后怎么补偿了吗？']
101201	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png	9	['口感确实很不错，之后我也想试着做一杯类似的，指挥官愿意来品尝吗？', '口感确实很不错，之后我也想试着做一杯类似的，指挥官愿意来品尝吗？']
101047	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101061	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101056	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101090	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101081	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101029	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101083	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101012	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101086	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101051	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101058	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101094	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101060	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101082	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101089	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101019	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101050	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101030	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101049	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101092	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
101028	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme02.png		
101096	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/UiSkyGardenCafeMeme01.png		
