Id	Slogan	InvitationCode	InvitationQRCode	QRCodeIcon	InvitationBg
1	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
2	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
11	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
18	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
19	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
20	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
23	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
24	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
35	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
46	邀请指挥官回归即可获取丰厚奖励！	True	True	Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityQRcode.png	['Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg04.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg05.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg01.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg02.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg03.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg06.png', 'Assets/Product/Texture/Image/UiReCallActivity/UiReCallActivityInviteBg08.png']
