Id	ActivityId	TimeId	Type	ConditionId	RewardId	NeedSchedule	TaskTimesLimit	Priority	Desc	Icon
1	11	33809	2	1	64882	1	3	1	累计登录1天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
2	11	33809	2	2	64883	3	3	2	累计登录3天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
3	11	33809	2	3	64884	5	3	3	累计登录5天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
4	11	33809	2	4	64885	7	3	4	累计登录7天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
5	11	33809	2	5	64886	4	3	5	幻痛囚笼首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
6	11	33809	2	6	64887	6	3	6	幻痛囚笼首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
7	11	33809	2	7	64888	10	3	7	幻痛囚笼首通10次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
8	11	33809	2	8	64889	15	3	8	幻痛囚笼首通15次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
9	11	33809	2	9	64890	2	3	9	纷争战区首通2次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
10	11	33809	2	10	64891	4	3	10	纷争战区首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
11	11	33809	2	11	64892	6	3	11	纷争战区首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
12	11	33809	2	12	64893	2200	3	12	累计消耗2200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
13	11	33809	2	13	64894	3300	3	13	累计消耗3300血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
14	11	33809	2	14	64895	4200	3	14	累计消耗4200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
15	11	33809	2	15	64896	6000	3	15	累计消耗6000血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
32	12	46301	2	1	67130	1	3	1	累计登录1天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
33	12	46301	2	2	67131	3	3	2	累计登录3天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
34	12	46301	2	3	67132	5	3	3	累计登录5天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
35	12	46301	2	4	67133	7	3	4	累计登录7天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
36	12	46301	2	5	67134	4	3	5	幻痛囚笼首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
37	12	46301	2	6	67135	6	3	6	幻痛囚笼首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
38	12	46301	2	7	67136	10	3	7	幻痛囚笼首通10次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
39	12	46301	2	8	67137	15	3	8	幻痛囚笼首通15次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
40	12	46301	2	9	67138	2	3	9	纷争战区首通2次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
41	12	46301	2	10	67139	4	3	10	纷争战区首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
42	12	46301	2	11	67140	6	3	11	纷争战区首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
43	12	46301	2	12	67141	2200	3	12	累计消耗2200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
44	12	46301	2	13	67142	3300	3	13	累计消耗3300血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
45	12	46301	2	14	67143	4200	3	14	累计消耗4200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
46	12	46301	2	15	67144	6000	3	15	累计消耗6000血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
47	13	46301	2	1	68023	1	3	1	累计登录1天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
48	13	46301	2	2	68024	3	3	2	累计登录3天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
49	13	46301	2	3	68025	5	3	3	累计登录5天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
50	13	46301	2	4	68026	7	3	4	累计登录7天	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
51	13	46301	2	5	68027	4	3	5	幻痛囚笼首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
52	13	46301	2	6	68028	6	3	6	幻痛囚笼首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
53	13	46301	2	7	68029	10	3	7	幻痛囚笼首通10次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
54	13	46301	2	8	68030	15	3	8	幻痛囚笼首通15次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
55	13	46301	2	9	68031	2	3	9	纷争战区首通2次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
56	13	46301	2	10	68032	4	3	10	纷争战区首通4次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
57	13	46301	2	11	68033	6	3	11	纷争战区首通6次	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
58	13	46301	2	12	68034	2200	3	12	累计消耗2200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
59	13	46301	2	13	68035	3300	3	13	累计消耗3300血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
60	13	46301	2	14	68036	4200	3	14	累计消耗4200血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
61	13	46301	2	15	68037	6000	3	15	累计消耗6000血清	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png
