Id	CullingLayer	HasCollider	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	PrefabPath	ParentPathStr	EntityName	GridLocX	GridLocY	GridLocZ	EntityDataPath
1			294.0	100.0	210.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L0_X133_Y135.prefab		MG_Main_L0_X133_Y135	135	133		
2			252.0	100.0	168.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L0_X132_Y134.prefab		MG_Main_L0_X132_Y134	134	132		
3			294.0	100.0	126.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L0_X131_Y135.prefab		MG_Main_L0_X131_Y135	135	131		
4			294.0	100.0	168.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L0_X132_Y135.prefab		MG_Main_L0_X132_Y135	135	132		
5			672.0	100.0	252.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L1_X67_Y72.prefab		MG_Main_L1_X67_Y72	72	67	1	
6			252.0	100.0	168.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L1_X66_Y67.prefab		MG_Main_L1_X66_Y67	67	66	1	
7			336.0	100.0	168.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L1_X66_Y68.prefab		MG_Main_L1_X66_Y68	68	66	1	
8			672.0	100.0	336.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L2_X34_Y36.prefab		MG_Main_L2_X34_Y36	36	34	2	
9			336.0	100.0	168.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L2_X33_Y34.prefab		MG_Main_L2_X33_Y34	34	33	2	
10			672.0	100.0	336.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L3_X17_Y18.prefab		MG_Main_L3_X17_Y18	18	17	3	
11			336.0	100.0	336.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L3_X17_Y17.prefab		MG_Main_L3_X17_Y17	17	17	3	
12				100.0					1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Faos01/MG_Main_L4_X8_Y8.prefab		MG_Main_L4_X8_Y8	8	8	4	
