Id	SceneObjectBase	Animation	Time	StartEffect	SoundCueId
2201	22		1.0	FxSwitchOpen	
2202	22			FxSwitchLoop	
2203	22		2.0	FxSwitchClose1	
2204	22		2.0	FxSwitchClose2	
2301	23			FxSpearPointOpen02	
2302	23				
2401	24			FxSpearPointOpen01	
2402	24				
2000	20				
2001	20		2.0	FxCoverBosstaiIn	
2002	20			FxCoverBosstaiLoop	
2003	20		1.5	FxCoverZhuti01In	
2004	20			FxCoverZhuti01Loop	
2005	20		1.5	FxCoverZhuti02In	
2006	20			FxCoverZhuti02Loop	
2007	20		1.5	FxCoverShengjiangtaiin	
2008	20			FxCoverShengjiangtaiLoop	
6001	50		3.0	FxChestlv09Born	
7001	61			FxSkyGardenLedHack	
8001	370	SG_Zone_Ani_Pingtai02_Stand01	9.0		
8002	370	SG_Zone_Ani_Pingtai02_Stand02	9.0		
8003	370	SG_Zone_Ani_Pingtai02_Start	9.0		5500110
8004	370	SG_Zone_Ani_Pingtai02_Return	9.0		5500110
9001	371	SG_Zone_Ani_Junbeiqumen01_Stand	2.0		
9002	371	SG_Zone_Ani_Junbeiqumen01_Open	2.0		5500116
9003	371	SG_Zone_Ani_Junbeiqumen01_OpenLoop	2.0		
9004	371	SG_Zone_Ani_Junbeiqumen01_Close	2.0		5500115
9005	389	MovieAction	4.0		
9006	389	MovieEnd	4.0		5500091
9007	389	MoviePlay			
9008	389	MovieWait			5500090
9009	400	UmbrellaEnd	4.0		
9010	400	UmbrellaPlay	4.0		5500123
9011	400	UmbrellaWait			
