Id	NpcId	Name	Desc	RecommendElement	Icon	LiHuiPath	Priority	InitQuality	CarryCharacterType	ChipItemId	ChipNeedCount	DefaultLock	GoodsDesc	GoodsWorldDesc	DecomposeItemId	DecomposeItemCount	RecommendCharacterId	NoCameraSwitchDuringTransformation	PartnerType	AvaliableTimeId
16010000	4201	元谒	眩晕	[2]	Assets/Product/Texture/Image/RolePartner/RolePartnerPet2Niu2.png	Assets/Product/Texture/Image/Pets/Pet2NiuonMd010011.png	10	2		201	30				[61]	[150]			1	
16020000	4401	沃托	霸体	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Xiao2.png	Assets/Product/Texture/Image/Pets/Pet3XiaoonMd010011.png	20	2		202	30				[61]	[150]			1	
16030000	4203	庭霓	聚怪，冲锋	[4]	Assets/Product/Texture/Image/RolePartner/Pet3He2.png	Assets/Product/Texture/Image/Pets/Pet3HeonMd010011.png	30	3		203	30				[62]	[150]	1041003		1	
16040000	4204	霜誓	控场，守护	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Ma1.png	Assets/Product/Texture/Image/Pets/Pet3MaonMd010011.png	40	3		204	30				[62]	[150]	1141003		1	
16050000	4205	冷观	范围，冰冻	[3]	Assets/Product/Texture/Image/RolePartner/Pet2Bei1.png	Assets/Product/Texture/Image/Pets/Pet2BeionMd010011.png	50	2		205	30				[61]	[150]			1	
16060000	4206	宵煌	伤害	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Mao1.png	Assets/Product/Texture/Image/Pets/Pet3MaoonMd010011.png	60	3		206	30				[62]	[150]	1071003		1	
16070000	4207	伶崖	伤害	[4]	Assets/Product/Texture/Image/RolePartner/Pet2Yang1.png	Assets/Product/Texture/Image/Pets/Pet2YangonMd010011.png	70	2		207	30				[61]	[150]			1	
16080000	4208	沧翊	冲锋	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Ying1.png	Assets/Product/Texture/Image/Pets/Pet3YingonMd010011.png	80	3		208	30				[62]	[150]	1121003		1	
16090000	4209	棘钧	冲锋	[1]	Assets/Product/Texture/Image/RolePartner/Pet2Ciwei.png	Assets/Product/Texture/Image/Pets/Pet2CiweionMd010011.png	90	2		209	30				[61]	[150]			1	
16100000	4210	啸钺	切割	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Hu.png	Assets/Product/Texture/Image/Pets/Pet3HuonMd010011.png	100	3		210	30				[62]	[150]	1051004		1	
16110000	4211	暝月	控制	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Tu1.png	Assets/Product/Texture/Image/Pets/Pet3TuonMd010011.png	110	3		211	30				[62]	[150]	1071004		1	
16120000	4212	霏粼	聚怪，冲锋	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Yu1.png	Assets/Product/Texture/Image/Pets/Pet3YuonMd010011.png	120	3		212	30				[62]	[150]	1041004		1	
