Id	RoleName	CharacterId	Priority
1	LUCIA	[1021001, 1021002, 1021004, 1021006]	14
2	LEE	[1011002, 1011003, 1011004]	27
3	LIV	[1031001, 1031002, 1031003, 1031004, 1031005]	3
4	LUCIA (α)	[1021003, 1021005]	25
5	KAMUI	[1061002, 1061003]	38
6	NANAMI	[1051001, 1051003, 1051004, 1051005]	12
7	BIANCA	[1041002, 1041003, 1041004, 1041005]	6
8	KARENINA	[1071002, 1071003, 1071004]	30
9	WATANABE	[1081002, 1081003, 1081004]	20
10	AYLA	[1091002, 1091003]	26
11	SOPHIA	[1111002]	37
12	CHROME	[1121002, 1121003]	34
13	VERA	[1131002, 1131003, 1131004]	7
14	CAMU	[1511003]	36
15	ROSETTA	[1141003, 1141004]	1
16	QU	[1521003, 1521004]	19
17	CHANGYU	[1161002]	35
18	LUNA	[1171003, 1171004]	18
19	SELENA	[1531003, 1531004, 1531005]	9
20	WANSHI	[1211002, 1211003]	15
21	NO. 21	[1221002, 1221003]	24
22	ROLAND	[1541003]	33
23	PULAO	[1551003]	32
24	HANYING	[1241002, 1241003]	16
25	HAICMA	[1561003]	31
26	NOAN	[1571003]	29
27	BAMBINATA	[1231002]	28
28	NOCTIS	[1251002]	23
29	ALISA	[1261003]	22
30	LAMIA	[1271003]	21
31	TEDDY	[1291002, 1291003]	2
32	BRIDGET	[1301002]	17
33	YATA	[1311002]	13
34	ISHMAEL	[1321003]	11
35	LILITH	[1331003]	10
36	JETAVIE	[1341002]	8
37	DISCORD	[1371002]	5
38	VERONICA	[1381003]	4
