Id	ConditionId	BornMagic	EnemyBornMagic	PartnerBornMagic	Description
700001		[700001]			获得红色信号球时，数量额外+1。
700002		[700002]			获得蓝色信号球时，数量额外+1。
700003		[700003]			获得黄色信号球时，数量额外+1。
700005		[700005]			连击大于100时，额外伤害加成提升50%
101		[199974]			战斗1分钟后，队伍额外伤害加成随着时间提升
102		[199974]			战斗40秒后，队伍额外伤害加成随着时间提升
103		[199974]			
104					此关允许蓝色位上阵自有角色
1001		[700006]			额外伤害加成提升50%
1002		[700001]			获得红色信号球时，数量额外+1。
1003		[700005]			连击大于100时，额外伤害加成提升50%
1004			[700006]		敌方额外伤害加成提升50%
1005			[700006]		敌方额外伤害加成提升50%
1006			[700006]		敌方额外伤害加成提升50%
1007			[700006]		敌方额外伤害加成提升50%
2001		[762001]			事件-火属性伤害+50%
2002		[762002]			事件-雷属性伤害+50%
2003		[762003]			事件-冰属性伤害+50%
2004		[762004]			事件-暗属性伤害+50%
2005		[762005]			事件-物理伤害+50%
2006		[762006]			事件-暴击伤害+50%
2007		[762007]			事件-100连击时，额外伤害加成提升50%
2008		[762010]			事件-近战的额外伤害加成提升50%
2009		[762012]			事件-远程的额外伤害加成提升50%
2010		[762013]			事件-元素属性伤害+50%
2011		[762018]			事件-普通攻击伤害增加，但是普通攻击不再回复信号球
2012		[762021]			事件-闪避无消耗，超算空间触发无冷却
2013		[762023]			事件-回复信号球速度加快
2014		[762024]			事件-QTE无冷却
2015		[762025]			事件-初始怒气值满
2016		[762026]			事件-怪物死亡随机掉落信号球
2017		[762034]			事件-怪物死亡随机掉落怒气球
3001		[761001]			额外伤害加成提升15%
3002		[761011]			信号球类技能伤害增加20%
3003		[761021]			普通攻击伤害增加20%
3004		[761031]			每隔6秒恢复在场角色10%的损失生命值
3005		[761041]			构造体的额外伤害减免提升15%
3006		[761051]			每隔3秒获得1个随机信号球
3007		[761061]			每隔3秒获得1个红色信号球
3008		[761071]			每隔3秒获得1个黄色信号球
3009		[761081]			每隔3秒获得1个蓝色信号球
3010		[761091]			火炮支援-后援队会发动火炮攻击
3011		[761101]			属性支援-后援队会发动属性攻击
3012		[761111]			护盾支援-每隔一段时间获得护盾
3013		[761121]			构造体获得100点能量
4001		[199974, 752356]	[764300, 761123]		物理伤害提升
4002		[199974, 752359]	[764303, 761126]		冰属性伤害提升
4003		[199974, 752357]	[764301, 761124]		火属性伤害提升
4004		[199974, 752358]	[764302, 761125]		雷属性伤害提升
4005		[199974, 752360]	[764304, 761127]		暗属性伤害提升
4007		[740878]			触发超算后角色冰属性伤害提升X%，持续8秒
4008		[740880]			每次造成治疗后提升自身X%火属性伤害，持续Y秒，重复触发刷新时间
4009		[740882]			蓝消后6秒内造成雷属性伤害提升X%，重复触发刷新时间
4010		[740884]			"""闪袭后提升角色伤害X%,弹刀后提升角色Y%造成伤害，重复触发刷新时间"""
4011		[740887]			每次消球增加角色X%物理属性伤害，叠加Y层，持续Z秒，重复触发刷新时间
4012		[740889]			每次三消后暗属性伤害提升X%，叠加Y层，持续Z秒，重复触发刷新时间
4014		[740891]			弹刀与闪袭后角色对终结槽的消减率提升
4015					每一波次怪物血量与终结槽共享
4016		[740899]			角色入场后8秒内，普通攻击冰属性伤害加成提升60%，三消冰属性伤害加成提升20%
4017		[740903]			每一次普通攻击造成火属性伤害后，必杀技额外伤害加成提升5%，持续3秒，最多可叠加15层，重复触发刷新持续时间
4018		[740908]			角色入场后3秒内雷属性伤害加成提升50%，释放必杀技后5秒内雷属性伤害加成提升50%
4019		[740896]			必杀技造成的物理伤害必然暴击，同时暴击伤害加成提升200%
4020		[740912]			三消后的普攻会附带攻击力40%的暗属性伤害
4021		[740931]			"""三消后普攻造成的火属性伤害提升20%,持续8秒可叠加10层"""
4022		[740928]			三消后4秒内物理伤害提升40%，并获得1颗红球
4023		[740905]			造成治疗后，治疗者与被治疗者的必杀造成暗属性伤害均提升30%
4024		[778801]			三后后下次造成伤害以及后续1S造成的伤害提升X
4025		[778805]			每次进入超算暴击率与爆伤提高
4026		[763833]			超里占位
4027		[763859]			使用三消后角色的核心被动伤害提升X%，可叠加Y层，持续Z秒重复触发刷新效果持续时间
4028		[763840]			超限乱斗站位
4029		[763866]			超白毛战区
4030		[777484, 777485]			21号战区
4031		[764330, 764325]	[764367]		1-1每次恢复生命值时会对场上所有单位造成回复生命值*X%的真实伤害
4032		[764332, 764325]	[764367]		1-2（怪物受到物理伤害提升）角色登场后X秒内获得X%减伤与Y%伤害加成，持续Z秒
4033			[715713, 764367]		1-3主宰
4034		[764325]	[764367]		1-4双生：当场上的怪物死亡或战斗时间超过30秒后将会再次出现一只对应怪物
4035		[764335, 764325]	[764367]		1-5角色登场后的每隔X秒降低Y%伤害，可叠加切换角色后清空
4036		[764325]	[776071, 764367]		母体强化
4037		[764325]	[776074, 764367]		加百列影子
4038		[764325]	[776066, 764367]		巫毒雷曝气
4039		[764316, 764325]	[764367]		2-1快速回复闪避值
4040		[764338, 764325]	[764367]		2-2每次闪避造成伤害
4041		[764340, 764325]	[764367]		2-3闪避伤害提升
4042		[764310, 764325]	[764367]		2-4闪避值高增伤
4043		[764313, 764325]	[764367]		2-5出场后一定时间降低闪避值
4044		[764325]	[776076, 764367]		枢蛉后翅膀无敌
4045		[764325]	[764306, 764367]		曲老板
4046		[764325]	[764308, 764367]		茯神
4047		[764325]	[764367]		莉莉丝
4048		[764343, 764325]	[764367]		3-1角色每拥有10%的生命值造成伤害提升X%
4049		[764345, 764325]	[764367]		3-2消除1/2/3颗信号球时会恢复角色X%/Y%/Z%最大生命值
4050		[764347, 764325]	[764367, 764347]		3-3所有单位造成伤害时伤害方的当前生命百分比若高于受伤者的当前生命百分比，则伤害提升X%
4051		[764349, 764325]	[764367]		3-4角色血量高于50%时受伤与增伤均提升X%，血量低于50%时治疗效率提升Y%
4052		[764317, 764325]	[764367]		3-5角色血量高于90%时造成伤害提升X%
4053		[764325]	[764367]		黑白双鲨
4054		[764325]	[764367, 764354]		苦刑
4055		[764325]	[764367]		噬月异种
4056		[764361, 199974]			强化1
4057		[764329, 199974]			强化2
4058		[764365, 199974]			强化3
4059		[764363]			莱娜强化占位
4060			[764319]		物理弱点率
4061		[764382]			拉米亚强化
4062		[764325]	[774900, 764492]		4-1诅咒
