Id	Name	Subtitle	Desc	DescNum	SimpleDesc	SimpleDescNum	TypeDesc	Icon	Cd	BaseDamageLimit	Rate	AttribType	Tags	EntryName	EntryDesc	VideoConfigId	SecondSkill
101	深红绝击	小太刀模式	<b>【小太刀模式】</b>-<color=#ffdd93>点击普攻</color>\n使用小太刀和体术对目标进行至多{0}段攻击。\n-共造成{1}%攻击力的伤害\n-共回复{2}点【燎荒值】\n-共回复{3}点必杀能量\n<b>【剑气攻击】</b>-<color=#ffdd93>小太刀模式+第四段普攻/极限闪避后/二技能后+刀上出现闪光+点击普攻</color>\n释放剑气攻击敌人，连点普攻可连续释放剑气造成伤害，至多攻击{4}段。剑气结束后自动释放收招斩击。\n-共造成{5}%攻击力的伤害\n-共回复{6}点【燎荒值】\n-共回复{7}点必杀能量\n<b>【深红坠击】</b>-<color=#ffdd93>小太刀模式+处于空中+点击普攻</color>\n在空中进行下劈攻击敌人。\n-共造成{8}%攻击力的伤害\n-共回复{9}点必杀能量\n-共回复{10}点【燎荒值】	5|728|25|15|4|646|50|15|140|3|5	<b>【小太刀模式】</b>-<color=#ffdd93>点击普攻</color>\n使用小太刀和体术对目标进行至多{0}段攻击。\n<b>【剑气攻击】</b>- <color=#ffdd93>小太刀模式+第四段普攻/极限闪避后/二技能后+刀上出现闪光+点击普攻</color>\n释放剑气攻击敌人，连点普攻可连续释放剑气造成伤害，至多攻击{1}段。剑气结束后自动释放收招斩击。\n<b>【深红坠击】</b>- <color=#ffdd93>小太刀模式+处于空中+点击普攻</color>\n在空中进行下劈攻击敌人。	5|4	普通攻击	Assets/Product/Texture/Image/IconSkill/R5Luxiyapugong1.png		22207	57800	1	['普攻伤害']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33007	[102]
102	深红绝击	大太刀模式	<b>【大太刀模式】</b>-<color=#ffdd93>点击普攻</color>\n使用大太刀对目标进行{0}段式攻击。\n-共造成{1}%攻击力的伤害\n-共回复{2}点【燎荒值】\n-共回复{3}点必杀能量\n<b>【剑气攻击】</b>-<color=#ffdd93>大太刀模式+第四段普攻/闪避后+刀上出现闪光+点击普攻</color>\n释放剑气攻击目标，连点普攻可连续释放剑气造成伤害，至多攻击{4}段。剑气结束后，再次点击普攻释放收招斩击。\n-共造成{5}%攻击力的伤害\n-共回复{6}点【燎荒值】\n-共回复{7}点必杀能量\n<b>【深红坠击】</b>-<color=#ffdd93>大太刀模式+处于空中+点击普攻</color>\n在空中进行下劈攻击敌人。\n-共造成{8}%攻击力的伤害\n-共回复{9}点必杀能量\n-共回复{10}点【燎荒值】	5|440|100|15|4|365|100|15|140|3|10	<b>【大太刀模式】</b>-<color=#ffdd93>点击普攻</color>\n使用小太刀和体术对目标进行至多{0}段攻击。\n<b>【剑气攻击】</b>-<color=#ffdd93>大太刀模式+第四段普攻/闪避后+刀上出现闪光+点击普攻</color>\n释放剑气攻击敌人，连点普攻可连续释放剑气造成伤害，至多攻击{1}段。剑气结束后，再次点击普攻释放收招斩击。\n<b>【深红坠击】</b>-<color=#ffdd93>大太刀模式+处于空中+点击普攻</color>\n在空中进行下劈攻击敌人。	4|4	普通攻击	Assets/Product/Texture/Image/IconSkill/R5Luxiyapugong1.png		16168	44600	1	['普攻伤害']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33001	
103	无我荒途		<b>【燎荒值】</b>-<color=#ffdd93>释放溯轮杀/无妄不斩/普通攻击/剑气攻击时自动获取</color>\n释放一技能、二技能、普通攻击、剑气攻击，可获得【燎荒值】。【燎荒值】上限为{0}点。\n<b>【燎荒斩】</b>-<color=#ffdd93>燎荒值达到上限时+长按普攻</color>\n【燎荒值】达到上限时，可长按普攻消耗全部【燎荒值】释放【燎荒斩】，对范围内敌人造成伤害。\n-【小太刀模式】下共造成{1}%攻击力的伤害\n-【大太刀模式】下共造成{2}%攻击力的伤害\n-共回复{3}点必杀能量	200|602|582|45	<b>【燎荒值】</b>- <color=#ffdd93>释放溯轮杀/无妄不斩/普通攻击/剑气攻击时自动获取</color>\n释放一技能、二技能、普通攻击、剑气攻击，可获得【燎荒值】。【燎荒值】上限为{0}点。\n<b>【燎荒斩】</b>- <color=#ffdd93>燎荒值达到上限时+长按普攻</color>\n【燎荒值】达到上限时，可长按普攻消耗全部【燎荒值】释放【燎荒斩】，对范围内敌人造成伤害。	200	核心被动	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya01.png		36502	60200	1	['核心伤害', '抗打断', '免疫伤害']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33005	
105	溯轮杀		<b>【溯轮杀】</b>- <color=#ffdd93>小太刀模式+点击一技能</color>\n快速斩击敌人，一段时间内可以再次释放并跃起砍向敌人\n-共造成{0}%攻击力的伤害\n-共回复{1}点【燎荒值】\n-共回复{2}点必杀能量	281|40|30	<b>【溯轮杀】</b>- <color=#ffdd93>小太刀模式+点击一技能</color>\n快速斩击敌人，一段时间内可以再次释放并跃起砍向敌人		核心技能1	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya21.png	7	17409	20100	1	['技能伤害', '位移']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33008	
106	无妄不斩		<b>【无妄不斩】</b>- <color=#ffdd93>小太刀模式+点击二技能</color>\n进入【残影架势】，期间可进行瞬击格挡。短暂延迟后释放【居合斩·极】冲向前方进行多段斩击，造成大量伤害。若在格挡成功后释放则返还一定冷却。\n-共造成{0}%攻击力的伤害\n-共回复{1}点【燎荒值】\n-共回复{2}点必杀能量\n-格挡后返还{3}%冷却\n【居合斩·极】释放成功后立即点击普攻可直接释放【剑气攻击】。	405|75|20|50	<b>【无妄不斩】</b>- <color=#ffdd93>小太刀模式+点击二技能</color>\n进入【残影架势】，期间可进行瞬击格挡。短暂延迟后释放【居合斩·极】冲向前方进行多段斩击，造成大量伤害。若在格挡成功后释放则返还一定冷却。\n【居合斩·极】释放成功后立即点击普攻可直接释放【剑气攻击】。		核心技能2	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya31.png	14	21168	36000	1	['技能伤害', '抗打断', '瞬击格挡']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33009	
107	乱霆开曜	小太刀模式	<b>【乱霆开曜】</b>- <color=#ffdd93>小太刀模式+点击三技能</color>\n缓慢拔出大太刀，召出雷霆对周围目标造成大范围伤害，进入【大太刀模式】。\n-共造成{0}%攻击力的伤害\n【大太刀模式】下三技能替换为【疾光掣岚】，无法使用一技能、二技能，普攻替换为【大太刀模式】，闪避后可直接释放【剑气攻击】。\n释放【乱霆开曜】后自身获得{1}%伤害加成、免疫打断与{2}%额外伤害减免效果，持续{3}秒。	236|50|15|17	<b>【乱霆开曜】</b>- <color=#ffdd93>小太刀模式+点击三技能</color>\n缓慢拔出大太刀，召出雷霆对周围目标造成大范围伤害，进入【大太刀模式】。\n【大太刀模式】下三技能替换为【疾光掣岚】，无法使用一技能、二技能，普攻替换为【大太刀模式】，闪避后可直接释放【剑气攻击】。\n释放【乱霆开曜】后自身获得伤害加成、免疫打断与伤害减免效果，持续一段时间。		核心技能3	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya32.png	18	8672	23600	1	['技能伤害', '抗打断', '伤害增益']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33010	[104]
104	疾光掣岚	大太刀模式	<b>【疾光掣岚】</b>- <color=#ffdd93>大太刀模式+点击三技能</color>\n短暂蓄力后释放{0}段【影袭】，随后释放【振雷斩】对敌人造成大量伤害。\n使用后回到【小太刀模式】。-共造成{1}%攻击力的伤害\n-共回复{2}点必杀能量\n【影袭】和【振雷斩】均视为核心伤害。\n-释放时露西亚获得{3}%额外伤害减免效果	4|765|45|20	<b>【疾光掣岚】</b>- <color=#ffdd93>大太刀模式+点击三技能</color>\n获得伤害减免效果，短暂蓄力后释放{0}段【影袭】，随后释放【振雷斩】对敌人造成大量伤害。\n使用后回到【小太刀模式】。\n【影袭】和【振雷斩】均视为核心伤害。	4	核心技能3	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya32.png	18	46385	76500	1	['核心伤害', '伤害免疫']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33003	
108	游身绝影		<b>【游身绝影】</b>-<color=#ffdd93>拖动摇杆+点击闪避</color>\n露西亚向指定方向闪避。无摇杆输入时，向身后进行闪避。期间可触发极限闪避。\n——极限闪避成功后获得{0}秒的无敌效果。\n<b>【居合斩】</b>-<color=#ffdd93>小太刀模式+长按闪避</color>\n进入【气合架势】，获得伤害减免效果，期间可进行瞬击格挡。\n抬起闪避可释放【居合斩】，若【气合架势】期间触发瞬击格挡则立即释放【居合斩·极】。\n-最高造成{1}%攻击力的伤害\n-最高回复{2}点必杀能量\n-最高回复{3}点【燎荒值】\n【气合架势】期间不回复闪避能量。	1.5|405|20|75	<b>【游身绝影】</b>-<color=#ffdd93>拖动摇杆+点击闪避</color>\n露西亚向指定方向闪避。无摇杆输入时，向身后进行闪避。期间可触发极限闪避。\n——极限闪避成功后获得短暂无敌效果。\n<b>【居合斩】</b>-<color=#ffdd93>小太刀模式+长按闪避</color>\n进入【气合架势】，获得{0}%伤害减免效果，期间可进行瞬击格挡。\n抬起闪避可释放【居合斩】，若【气合架势】期间触发瞬击格挡则立即释放【居合斩·极】。\n【气合架势】期间不回复闪避能量。	30	闪避	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/UiDlcRelinkDodge.png		21168	36000	1	['闪避判定', '抗打断', '瞬击格挡']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33012	
109	流水残花		<b>【流水残花】</b>-<color=#ffdd93>敌人处于失衡状态+点击QTE</color>\n露西亚跃至空中，短暂蓄力后追击敌人。\n-共造成{0}%攻击力的伤害\n-共回复{1}点必杀能量\n-为队伍回复{2}点极限技能量	800|40|35	<b>【流水残花】</b>-<color=#ffdd93>敌人处于失衡状态+点击QTE</color>\n露西亚跃至空中，短暂蓄力后追击敌人。		追击技	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkPr.png		29400	80000	1	['追击伤害']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33011	
110	浮世业火		<b>【浮世业火】</b>-<color=#ffdd93>{0}点必杀能量+点击必杀</color>\n点击必杀消耗必杀能量，释放【浮世业火】，对大范围内敌人造成伤害\n-共造成{1}%攻击力的伤害\n-为队伍回复{2}点极限技能量	1000|2010|50	<b>【浮世业火】</b>-<color=#ffdd93>{0}点必杀能量+点击必杀</color>\n点击必杀消耗必杀能量，释放【浮世业火】，对大范围内敌人造成伤害	1000	必杀	Assets/Product/Texture/Image/IconSkill/IconSkillIconRelink/IconSkillIconRelinkR5Luxiya51.png		73867	201000	1	['必杀伤害', '伤害免疫', '超链合击']	['机制1', '机制2']	['机制1的描述介绍', '机制2的描述介绍']	33004	
