Key	Name	Desc	Icon	IsPercent	Order
Life	生命	生命值	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag008.png		2
Attack	攻击	影响伤害	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag007.png		1
DmgReduction	伤害减免	影响受到的伤害	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag006.png	1	3
CritP	暴击率	物理攻击造成暴击伤害的概率	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag003.png	1	4
CritDmgRateP	暴击伤害	暴击伤害加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag004.png	1	5
DmgLimitP	伤害上限	提高技能伤害上限	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag001.png	1	6
ShieldAmpP	护盾加成	护盾加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag011.png	1	7
HealAmpP	治疗效率增益	提升治疗能力	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag012.png	1	8
PhysicalAmpP	额外伤害	影响造成的伤害	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag009.png	1	9
NormalAtkDmgAmpP	普攻增伤	普通攻击伤害加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag013.png	1	10
SignalSkillDmgAmpP	技能增伤	常规技能伤害加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag015.png	1	11
CoreSkillDmgAmpP	核心增伤	核心技能伤害加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag014.png	1	12
ExSkillDmgAmpP	必杀增伤	必杀技能伤害加成	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag016.png	1	13
Attack3AmpP	攻击加深	影响造成的伤害	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag002.png	1	14
BreakDmg	失衡增益	提升对BOSS平衡值的削减能力	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag010.png		15
CauseDamageThreatCoe	仇恨专注	提升获得的仇恨值	Assets/Product/Texture/Atlas/UiCharacter/UIRelinkAttribTag011.png	1	16
