Id	GroupId	Icon	Name	Desc	Quality
101	1	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	模块装备	首次通关时必定获得蓝色品质的装备	1
201	2	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	模块装备	通关时必定获得蓝色品质的装备	1
301	3	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	模块装备	首次通关时必定获得紫色品质的装备	2
401	4	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	模块装备	通关时必定获得紫色品质的装备	2
501	5	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	职业装备	首次通关时必定获得金色品质带有【唯一】特性的职业装备	3
502	5	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	职业装备	首次通关时必定获得红色品质带有【唯一】特性的职业装备	4
601	6	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink057.png	模块装备	通关时必定获得金色品质的装备	3
602	6	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	职业装备	通关时有概率获得金色品质带有【唯一】特性的职业装备	3
701	7	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	职业装备	首次通关时必定获得红色品质带有【唯一】特性的职业装备	4
801	8	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink055.png	模块装备	通关时必定获得红色品质的装备	4
802	8	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink056.png	职业装备	通关时有概率获得红色品质带有【唯一】特性的职业装备	4
