Key	Params
HelpKey	['DlcRelink']
TeachingLevelId	['9001']
TrainingLevelId	['9012']
LevelPassProgressTip	['进度：%s']
LoadingTipsScrollingTime	['3']
MainCountDownDesc	['%s后结束']
MainTipsSwitchInterval	['5000']
MainBtnEnterDesc	['开始链接', '链接中']
ChapterCountDownDesc	['%s后解锁']
ChapterNotOpenDesc	['%s未开启']
LevelUnlockDesc	['通关%s可解锁', '%s后可解锁']
RoomBossLevelLimit	['Lv.%s']
CharacterOccupationName	['进攻', '装甲', '增幅']
CharacterOccupationIcon	['Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha01.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha02.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkCharacterIconCha03.png']
CharacterOccupationIconTwo	['Assets/Product/Texture/Image/IconType/IconCharacter3.png', 'Assets/Product/Texture/Image/IconType/IconCharacter1.png', 'Assets/Product/Texture/Image/IconType/IconCharacter2.png']
EquipOccupationName	['进攻', '装甲', '增幅']
EquipOccupationIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute01.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkCharacterIconattribute03.png']
EquipTabsDesc	['全部', '进攻', '装甲', '增幅']
EquipTabsIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon01.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon03.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEquipTabIcon04.png']
EquipFilterBtnColor	['FFFFFF', 'AABEFF']
MatchSuccessTips	['匹配成功']
PlayerEnterRoomTips	['%s加入房间']
RoomNotSelectRoleTips	['请选择角色']
RoomNotSelectLevelTips	['请选择Boss']
RoomMaxPlayerLevelTips	['Max']
CharacterBtnBattleDesc	['上阵', '已上阵']
EquipBagBtnReplaceDesc	['替换', '穿戴', '更换']
EquipReformDeleteTips	['可删除次数：%s']
EquipReformDeleteNoTimesTips	['该装备已无删除次数']
EquipReformDeleteSuccessTips	['特性删除成功']
EquipReformAbsorbNoEquipTips	['请选择装备强化素材']
EquipReformAbsorbLockTips	['当前装备已锁定，请解锁']
EquipReformAbsorbFullTips	['当前装备无法继续强化']
EquipCapacityDesc	['容量%s/%s', '容量<color=#FF0000>%s/%s</color>']
EquipDecomposeSelectedCountDesc	['未选择', '已选择%s']
EquipDecomposeLockTips	['该装备已被锁定']
EquipDecomposeWearTips	['当前装备角色佩戴中']
EquipDecomposePresetTips	['当前装备在预设中']
EquipDecomposeNoSelectTips	['请先选择装备']
EquipPresetNameEmpty	['请输入预设名称']
EquipPresetNameTooLong	['名称长度超过%s个字']
EquipPresetRenameSuccess	['预设改名成功']
EquipPresetNameLengthFormat	['%s/%s', '<color=#FF0000>%s</color>/%s']
EquipComposeCountLimitTips	['当前数量已为最小', '当前数量已为最大']
EquipComposeCountZero	['请选择合成数量']
EquipComposeItemNotEnough	['%s代币不足']
TipTitle	['提示']
EquipReplaceWearTipContent	['当前装备已被%s穿戴，是否继续穿戴', '穿戴', '取消']
EquipReformAbsorbWearTipContent	['当前装备已被%s穿戴，是否继续吸收', '吸收', '取消']
EquipReformAbsorbPresetTipContent	['当前装备已在预设中，是否继续吸收', '吸收', '取消']
WearEquipDecomposeTipContent	['当前装备已被%s穿戴，是否继续分解', '分解', '取消']
PresetEquipDecomposeTipContent	['当前装备已在预设中，是否继续分解', '分解', '取消']
EquipPresetSetCoverTipContent	['是否将当前角色穿戴装备覆盖该预设', '覆盖', '取消']
EquipPresetSetUseTipContent	['当前预设中有装备其他角色使用中，是否卸下并穿戴到当前角色', '穿戴', '取消']
EquipReformDeleteConfirmTipContent	['当前特性等级较高，是否继续删除', '删除', '取消']
ChangeLeaderConfirmTipContent	['是否将该队友设置为房主', '确定', '取消']
EquipBagFullMatchTipContent	['当前装备库存已满，是否继续匹配', '继续挑战', '分解装备']
RoomTeamOccupationNotRationalTipContent	['当前队伍职业不合理，挑战关卡难度较高，是否继续挑战', '继续挑战', '取消']
RoomTeamEquipAbilityNotRationalTipContent	['当前队伍中有成员装备等级低于推荐，是否继续', '继续挑战', '取消']
LikeSuccessDesc	['%s给你点赞']
SwitchStyleSuccessDesc	['形态已切换为%s']
EquipPresetSetDefaultName	['预设%s']
EquipPresetSetUseEmpty	['当前预设为空']
EquipPresetSetUseSuccess	['预设穿戴成功']
EquipPresetSetUseSameEquip	['当前预设与装备相同']
NoWearEquip	['未佩戴装备']
PlayerNextLevelDesc	['已满级']
PlayerLevelNotEnoughCoinColor	['0F70BC', 'ff0000']
PlayerLevelNotEnoughCoinDesc	['当前拥有%s不足，可分解装备获得']
PlayerLevelUpConditionDesc	['请通关任意%s难度的关卡']
SettlementFailTips	['推荐通过装备-强化提升装备等级', '推荐玩家合理搭配队伍职业', '合理搭配装备可以有效提升角色实力', '合理利用极限技和必杀连携来逆转战局']
SkillDetailSecondTitle	['技能效果']
SkillDamageSliderColor	['AEBDFC', 'ffc85f']
ShopTaskTagName	['商店', '任务']
ShopItemTextColor	['FFFFFFFF', 'Fa7d81']
ShopCanBuyColor	['FFFFFFFF', 'Fa7d81']
MainPreviewRewardId	['63710']
SettlementResultBg	['Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkSettlementBg.png', 'Assets/Product/Texture/Image/UiDlcRelink/UiDlcRelinkSettlementBgFailure.png']
SettlementResultEffect	['Assets/Product/Effect/DlcPrefab/FxRelink/Prefeb/FxUi/FxUiDlcRelinkSettlementWinNew/FxUiDlcRelinkSettlementWin01.prefab', 'Assets/Product/Effect/DlcPrefab/FxRelink/Prefeb/FxUi/FxUiDlcRelinkSettlementWinNew/FxUiDlcRelinkSettlementFailure01.prefab']
DefaultRankText	['无']
SkillDetailCdFormat	['%ss']
SettlementResearchTitle	['研发进度 <color=#9db1e9>%s</color>', '研发进度 <color=#9db1e9>%s (Max)</color>']
EquipSlotNoUnlock	['暂未解锁', '研发等级达到10级后可解锁槽位', '穿戴职业装备解锁槽位']
EquipBagEmpty	['暂未获得任何装备']
RoomWaitAllReadyTips	['等待队友准备']
InvitedUnlockedLevel	['40']
InvitedUnlockLevelTips	['指挥官%s级解锁']
InviteButtonText	['邀请', '已邀请(%ss)']
InviteCdTips	['%ss后可再次邀请']
WikiTypeTabNormalIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon05.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon06.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon07.png']
WikiTypeTabSelectIcon	['Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon02.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon03.png', 'Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkEncyclopediaIcon08.png']
LoadingReturnRoomTips	['存在成员断线，请重新开始作战']
SelectTrainingTip	['房间内存在其他玩家，无法进入']
TrainingCreateRoomTip	['当前关卡不支持联机，是否继续创建房间？']
FirstPlayTeachingLevelTip	['请先点击开始战斗完成教学']
TutorialLevelName	['教学关', '训练关']
CharacterNoEquipCannotRecordPreset	['当前角色无装备无法覆盖到预设']
RoomEquipAbilityNotRationalTips	['角色装备总等级低于要求，无法加入匹配']
RoomLeaderEquipAbilityNotRationalTips	['角色装备总等级低于要求，无法开放房间']
RoomBossLevelBgColor	['FFFFFF', 'A5E0F8', 'E0A2DF', 'FFD170', 'FF8981']
EquipSlotExpandTip	['特殊模块装备槽位解锁']
TipsInBlessing	['特性等级+1（职业装备加持中）']
TipsNotEffective	['额外加持未生效（装备职业类型不符）']
WifiSwitchTips	['检测到您当前网络环境为移动网络，玩法推荐在WiFi环境下体验更佳，是否继续体验？']
BecomeLeaderTips	['已成为房主']
ForbidSelectRoleTip	['教学关无法更换角色']
TeachingNotPassedTips	['教学关未完成']
EquipComposeInputTip	['请输入正整数']
RankDefaultTimeText	['暂无']
EquipReformSelectSameEquipTip	['不能放入相同的装备']
TeachingLevelGuideId	['0']
BattleSettleShowTitleMaxCount	['4']
GlobalMatchRewardDesc	['额外装备奖励 (<color=#a1b9ff>%s</color><color=#a1b9ff>/%s</color>)', '额外装备奖励 (<color=#fa7d81>%s</color><color=#a1b9ff>/%s</color>)']
GlobalMatchDetailTipContent	['1.开启全局匹配后将快速加入任意关卡的房间\\n2.通过全局匹配进入房间完成挑战后可获得额外装备奖励\\n3.额外装备奖励每日5点刷新可获取次数']
GlobalMatchDisableChooseBossTip	['全局匹配时无法选择关卡']
ChooseBossBtnName	['未选关卡', '随机关卡']
