Id	Name	Desc	Priority	CoverIds	CompareKeys	CompareValues	CompareTypes
1	主力输出	测试1111	100		[133009, 133027]	[0, 1]	[100, 3]
2	绝对实力	测试1112	100	[1]	[133009]	[50]	[11]
3	治疗专家	测试1113	98		[133011]		[100]
4	力挽狂澜	测试1114	97		[9002101, 133027]	[1, 1]	[3, 3]
5	专业团队	测试1115	90		[133013, 133027]	[0, 1]	[303, 3]
6	高机动性	测试1116	89		[133010]		[200]
7	坚毅铁壁	测试1117	96		[133010]		[100]
8	无损作战	测试1118	95		[133013, 133027]	[0, 1]	[3, 3]
9	地板很凉	测试1119	88		[133013]	[5]	[2]
10	绝地翻盘	测试1120	87		[133013, 133027]	[2, 1]	[302, 3]
11	合锋强手	测试1121	86		[133021]	[2]	[2]
12	合锋迎击	测试1122	85		[133008]	[2]	[2]
13	超链合击	测试1123	84		[133007]	[1]	[2]
