Id	Name	Type	FightEventIds	AffixIcons	AffixDesc	StarRewards	StarDesc
30062950	SD	1	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png']	['熟悉队伍成员的基本操作']	[63800]	['通关关卡']
30062951	SD	1	[2251247]	['Assets/Product/Texture/Image/IconAffix/UiFightGeneralSkillPhysics.png']	['熟悉真意斩效应相关操作']	[63800]	['通关关卡']
30062952	SD	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png']	['触发真意斩后，在场角色立即获得2组3消球，有3秒冷却时间', '【成员buff】含英的藏锋值获取效率提升，可快速触发真意斩']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062953	SD	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21101.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconBudong.png']	['敌人受到的【非暴击伤害】降低50%，受到的【暴击伤害】额外提升50%', '【成员buff】每次回音释放核心被动-裁定合击可提升真意斩暴击伤害']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062954	SD	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconBodong.png']	['敌人获得高额伤害减免，累计受到3次真意斩伤害后，移除减伤并进入持续一定时间的脆弱状态', '【成员buff】深痕的灯影剑舞可触发真意斩，二段必杀照渊可消耗真意值造成高额爆发伤害']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062956	SD	1	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33283.png']	['敌人定期进入狂暴状态，获得高额伤害减免与暴走；暴走期间受到多次真意斩伤害会被打断暴走状态']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062957	SD	2	[2251247]	['Assets/Product/Texture/Image/IconAffix/UiFightGeneralSkillPhysics.png']	['只有真意斩能够对敌人造成有效伤害，使用真意斩击败敌人！']	[63800, 63800, 63800]	['通关关卡', '死亡次数不超过2次', '不阵亡任何成员通过关卡']
30062958	SD	2	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png']	['敌人获得高额伤害减免，累计受到3次真意斩伤害后，移除减伤并进入持续一定时间的脆弱状态']	[63800, 63800, 63800]	['通关关卡', '死亡次数不超过2次', '不阵亡任何成员通过关卡']
30062955	SD	2	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png']	['敌人对【真意斩】以外的伤害具有高额伤害减免']	[63800, 63800, 63800]	['通关关卡', '死亡次数不超过2次', '不阵亡任何成员通过关卡']
30062959	BC	1	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png']	['熟悉队伍成员的基本操作']	[63800]	['通关关卡']
30062960	BC	1	[2251247]	['Assets/Product/Texture/Image/IconAffix/UiFightGeneralSkillCrysta.png']	['熟悉覆冰效应相关操作']	[63800]	['通关关卡']
30062961	BC	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconYubing.png']	['敌人获得高额伤害减免，受到覆冰伤害后短暂移除', '【成员buff】万事可延长冰刺激活时长，持续造成覆冰伤害']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062962	BC	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconDongjie.png']	['敌人生命值极高，但每次3消都会提升自身受到的伤害', '【成员buff】森息的QTE可提供大量信号球']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062963	BC	1	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png', 'Assets/Product/Texture/Image/IconAffix/AffixIconBingjing.png']	['敌人获得高额伤害减免，累计必杀伤害后，移除减伤并进入持续一定时间的脆弱状态', '【成员buff】启明可通过必杀造成高额爆发伤害']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062964	BC	1	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png']	['敌人对覆冰伤害以外的伤害类型具有高额伤害减免']	[63800, 63800]	['通关关卡', '死亡次数不超过2次']
30062965	BC	2	[2251247]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33283.png']	['敌人定期进入狂暴状态，获得高额伤害减免与暴走；暴走期间受到冰刺效果将移除减伤，并且被冻结5秒']	[63800, 63800, 63800]	['通关关卡', '死亡次数不超过2次', '不阵亡任何成员通过关卡']
30062966	BC	2	[2251247, 2251255]	['Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10045.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png']	['敌人对覆冰伤害以外的伤害类型具有高额伤害减免', '敌人每秒回复一定生命值；生命值低于66%/33%后，生命回复不会再超过对应比例']	[63800, 63800, 63800]	['通关关卡', '死亡次数不超过2次', '不阵亡任何成员通过关卡']
