Key	ModelPath	Name	Desc	Icon	Size	Scale
GoldClose	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_02X01.prefab	终点	消除关键库洛洛后，终点开启。到达开启的终点即可结束关卡。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon01.png		
Gap	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_01Langan01.prefab				0.8|0.8|0.8	
TriggerType3	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_02Dici.prefab	尖刺	经过后，地面将冒出尖刺，无法通过。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon07.png		
ViewArea	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleAttack.prefab					
TriggerType1	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleSafe.prefab	石门	踩中石门机关后，所有的石门将会降下，允许通过。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon05.png		
GoldOpen	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleOpen.prefab	终点	消除关键库洛洛后，终点开启。到达开启的终点即可结束关卡。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon23.png		
MoveLine	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleWarning.prefab					
TriggerType2	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_01Fangkuai.prefab	石门机关	踩中石门机关后，所有的石门将会降下，允许通过。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon06.png		
RoleMoveArrow	Assets/Product/Effect/Prefab/FxTongyong/FxQRPursuitJiantou.prefab					
MonsterTriggerEffect	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleSuodibiaoji.prefab					
ElectricFence	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_07Dianwang.prefab	电墙	通电状态下，与之碰撞将会被消除。可以通过踩中开关将其关闭。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png	0.8|0.8|0.8	
Trap	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03Didong.prefab	陷阱	经过陷阱时，会掉下陷阱并被消除。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon22.png		
SentryLine	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleShiye.prefab					
Sentry	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Tanhao.prefab			Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon08.png		
SentryRoand	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Shuzi.prefab					
TriggerElectricFenceOpen	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03ON.prefab	电墙开关	电墙的开关，踩中后将改变电墙的通电状态。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png		
TriggerElectricFenceClose	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03OFF.prefab	电墙开关	电墙的开关，踩中后将改变电墙的通电状态。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png		
ElectricFenceEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Dianwang.prefab					
KillByElectricFenceEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleDianji.prefab					
BeAtkEffect	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleDead.prefab					
ShadowEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleYingzi.prefab	影子	影子会跟随主控角色一起移动，初始拥有火元素。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon08.png		
Grass	Assets/Product/Scene/Pursuit/Common/ScenePuzzle02/Prefabs/ScenePuzzle02_04Box.prefab	草圃	阻挡经过的角色。遇火则会燃烧，燃烧的草圃会点燃周围的单位和其他草圃。可以反弹物理属性的单位。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon69.png		
Pool	Assets/Product/Scene/Pursuit/Common/ScenePuzzle02/Prefabs/ScenePuzzle02_05Box.prefab	水池	碰到水池的角色，会停止移动。接触到藤球生长成草圃。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon74.png	0.8|0.8|0.8	
TransferPointLoopColor1	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop01.prefab	传送迷雾	可以与携带暗元素的角色共鸣，实现传送的作用。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png		
TransferPointLoopColor2	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop02.prefab	传送迷雾	可以与携带暗元素的角色共鸣，实现传送的作用。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png		
TransferPointLoopColor3	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop03.prefab	传送迷雾	可以与携带暗元素的角色共鸣，实现传送的作用。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png		
TransferPointColor1	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong01.prefab	绿色的传送特效（散开又闭合）				
TransferPointColor2	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong02.prefab	黄色的传送特效（散开又闭合）				
TransferPointColor3	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong03.prefab	紫色的传送特效（散开又闭合）				
Steel	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzGangbanLoop.prefab	雷之阵	将经过的雷元素角色吸住。与暗元素接触则会破碎消失，露出下方地形。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon16.png		
SteelBroken	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzGangbanPosui.prefab	钢板破碎				
Freeze	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzJiebing.prefab	冰面	凝结在水面的浮冰，可以被火元素轻松融化。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon68.png		
Melt	Assets/Product/Effect/Prefab/FxTuixiangzi/FxRonghua.prefab	融化				
Drown	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzLuoshui.prefab	淹死特效				
Burn	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzRanshao.prefab	燃烧				
WaterRipper	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzShuibowen.prefab	水波纹				
DarkSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxGuangMiaobian.prefab	暗元素库洛洛				
CrystalSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxBingMiaobian.prefab	冰元素库洛洛				
FlameSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxAnMiaobian.prefab	火元素库洛洛				
RaidenSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxLeiMiaobian.prefab	雷元素库洛洛				
PhysicsSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxHuoMiaobian.prefab	物理元素库洛洛				
DarkSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxGuangMiaobian.prefab	暗元素影子	影子会跟随本体角色一起移动，携带暗元素后经过钢板能使其破碎消失。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon62.png		
CrystalSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxBingMiaobian.prefab	冰元素影子	影子会跟随本体角色一起移动，携带冰元素能扎破泡泡使其消失。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon60.png		
FlameSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxAnMiaobian.prefab	火元素影子	影子会跟随本体角色一起移动，携带火元素后经过冰面能使其融化。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon61.png		
RaidenSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxLeiMiaobian.prefab	雷元素影子	影子会跟随本体角色一起移动，携带雷元素后接触草丛能使其生长。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon59.png		
PhysicsSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxHuoMiaobian.prefab	物理元素影子	影子会跟随本体角色一起移动，也能够消除敌人及触碰各类型机关。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon67.png		
NoneSkillShadowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxHuoMiaobian.prefab	影子	影子会跟随本体角色一起移动，初始携带火元素。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon80.png		
Bubble	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzPaopao.prefab	泡泡	透亮又轻盈的泡泡，仅物理属性能轻触且推动，与冰元素接触将会被撞破消失。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon46.png		
Drop1	Assets/Product/Scene/SuShe/Furniture/Kalie/KaliePotted001/KaliePotted002.prefab	小兔子	掉落在方块上的小兔子，触碰时即可拾取。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon44.png	0.8|0.8|0.8	
Drop2	Assets/Product/Scene/SuShe/Furniture/Kalie/KaliePotted001/KaliePotted002.prefab	小兔子	掉落在方块上的小兔子，触碰时即可拾取。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon44.png	0.8|0.8|0.8	
Drop3	Assets/Product/Scene/SuShe/Furniture/Kalie/KaliePotted001/KaliePotted002.prefab	小兔子	掉落在方块上的小兔子，触碰时即可拾取。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon44.png	0.8|0.8|0.8	
Drop4	Assets/Product/Scene/SuShe/Furniture/Kalie/KaliePotted001/KaliePotted002.prefab	小兔子	掉落在方块上的小兔子，触碰时即可拾取。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon44.png	0.8|0.8|0.8	
