StageId	Text	BackCount	ResetCount	TotalLoseCount
1101	沿着路径向前就是了——横竖也只有眼前这一条路可走。	3	3	3
1102	想要到达终点，好像只能从关键库洛洛的右边过去呢……	3	3	3
1103	当库洛洛周围出现构造体，或是有其他角色被消除时，库洛洛会向反方向跑开。	3	3	3
1104	直接向下似乎无法到达终点，有什么办法能把关键库洛洛推到下方吗……	3	3	3
1105	有什么办法，可以将关键库洛洛推到左侧，正好合上巡逻者的行动规律呢……	3	3	3
1106	无法从下方接近库洛洛，那么就试着借助太阿，从侧面逼近它吧。	3	3	3
1107	原来如此……太阿只在奇数回合会出现在上方，那是我们关键的机会。	3	3	3
1108	如果可以将右侧的库洛洛推到上方的话，就能直接到达终点了。	3	3	3
1109	要将库洛洛推到上方作为垫脚石，可能还要好好利用一下“被吓跑”这个特性。	3	3	3
1110	从侧面接近太阿之后，似乎可以继续往前，转换位置和方向。	3	3	3
1201	这些水池看起来不太妙，如果有办法把它们冻结起来，兴许就可以通过了。	3	3	3
1202	有其他角色在身边掉进水里，库洛洛也会害怕逃跑。	3	3	3
1203	下方的库洛洛附近都是水，兴许并不需要我们亲自动手呢，指挥官。	3	3	3
1204	右上方的库洛洛似乎可以成为垫脚石。那么在它物尽其用之前，尽力保证它的安全。	3	3	3
1205	我们显然无法直接接触到上方的库洛洛……那么，就只能托其他人帮一帮手了。	3	3	3
1206	在发现视野里有异样之后，蔷薇之剑会在下一回合移动到有异常的地方。	3	3	3
1207	蔷薇之剑并不会因为前面是水池就停下来。只要能让他向前移动的话……	3	3	3
1208	有什么办法，可以把中间的库洛洛，推到下方吗……？	3	3	3
1209	为了不让垫脚石直接掉进水里，你需要另外一颗石头接住它。	3	3	3
1210	不去敲敲门，管家先生是不会下来的哦。	3	3	3
1301	注意，库洛洛身上也携带了火焰元素。而既然火焰可以烧开冰面……	3	3	3
1302	既然库洛洛选择烧掉冰面，那么从侧面绕过去吧。	3	3	3
1303	站在绿色标志上，所有带有相同标志的石门都会降下。	3	3	3
1304	为了接近左下方的库洛洛，我们或许需要一个人，帮我们把石门，维持在降下的状态……	3	3	3
1305	总之，先把草烧掉——露出来的路，其实并不难走。	3	3	3
1306	下方的库洛洛被藏在草垛下的冰面包围，可以试着从侧面靠近它。	3	3	3
1307	场地中有不少水池，而只有库洛洛身上有冰元素。有什么办法，可以让它搭一把手吗……	3	3	3
1308	为了能顺利引出蔷薇之剑，你需要想一个办法，将挡住他的草圃烧掉。	3	3	3
1309	想象一下，如果上方的库洛洛，身边是空着的话……	3	3	3
1310	先把下方的火元素库洛洛向上赶，这样，它就能借助右边的库洛洛了。	3	3	3
1401	带有雷元素的角色和库洛洛，都会被雷之阵吸附。	3	3	3
1402	利用被雷之阵	3	3	3
1403	将库洛洛推下水，似乎有一箭双雕的作用哦。	3	3	3
1404	如果有办法，让库洛洛停在右侧的雷之阵上的话……	3	3	3
1405	注意，现在两个库洛洛都携带了雷元素——元素不会无缘无故存在，它们一定是破题的关键。	3	3	3
1406	开局向右移动，见证奇迹发生。	3	3	3
1407	哪怕是附着在库洛洛身上，雷元素依然会生效。	3	3	3
1408	先将库洛洛赶到右侧， 然后触发草圃的生长，让它接住你。	3	3	3
1409	靠近终点的路，只能由蔷薇之剑来展开。试着让草圃封住他的退路。	3	3	3
1410	先往右走，延顺时针方向依次堵住太阿的去路，终点就在眼前。	3	3	3
1501	只有一条路能走……那么不用多说了吧，指挥官？	3	3	3
1502	哪怕是库洛洛也可以被传送。追上它，它是你的垫脚石。	3	3	3
1503	熟悉一下：库将库洛洛送进传送迷雾，然后跟上它。	3	3	3
1504	迷雾有不止一个入口，因此也有不止一个出口——选对方向，万事大吉。	3	3	3
1505	试着优先消除有特殊元素附着的库洛洛，指挥官。	3	3	3
1506	在消除下方的库洛洛之后，不要急着改变方向——你看，雷之阵下，似乎是地穴哦。	3	3	3
1507	试着先把左侧的雷之阵破坏掉，指挥官。剩下的，交给库洛洛自己吧。	3	3	3
1508	先把左侧的库洛洛赶到水里，再利用传送迷雾，接近关键的库洛洛。	3	3	3
1509	看起来……是需要转一圈的时候了呢。	3	3	3
1510	似乎没有办法直接到达终点……你需要将关键库洛洛赶下来，成为接住你的墙。	3	3	3
2101	沿着路径向前就是了——横竖也只有眼前这一条路可走。	3	3	3
2102	一停下来就改变前进方向，在这里似乎并不可行呢。	3	3	3
2103	原来如此……当库洛洛周围出现构造体时，会向反方向跑开……	3	3	3
2104	有怪物在身边被消除，库洛洛也会害怕逃跑的样子……	3	3	3
2105	如果有什么办法能把右上方的库洛洛向上推的话……	3	3	3
2106	如果有什么办法把左边的缺口堵上的话，一切都会顺利得多吧。	3	3	3
2107	那个红圈似乎是鲨士碧儿的警戒范围——别在其中停留，指挥官。	3	3	3
2108	终点前围墙平整，要怎么才能进入围墙之中呢……	3	3	3
2109	仔细看看，只有两条路能通向终点，那么如果要走上其中某一条……	3	3	3
2110	太阿每回合会沿着固定的路径移动，换言之，越是有规律，越是有破绽。	3	3	3
2201	影子也会受你控制，但是他们不会吓跑库洛洛，也无法消除它们。	3	3	3
2202	嗯……有没有什么办法，可以越过围墙到达下方的区域呢？	3	3	3
2203	到达下方区域的入口，看上去只有一个。	3	3	3
2204	那些洞穴看上去就很不妙……记得绕开。	3	3	3
2205	有谁掉进洞穴陷阱的话，库洛洛也会害怕得逃跑。	3	3	3
2206	即便是自己的影子，有些牺牲也是必须的。	3	3	3
2207	左侧边缘的库洛洛，从上方或右侧接近似乎更为稳妥。	3	3	3
2208	关窍在于，怎样从下方区域，回到上方区域，并到达终点。	3	3	3
2209	往好处想想，警戒范围、地洞陷阱的设置，也排除了部分的错误路径。	3	3	3
2210	终点和鲨士碧儿都被墙块围住了——有什么东西做垫脚石呢……	3	3	3
2301	小心不要撞到通电状态的电墙——踩中开关就可以关闭它们。	3	3	3
2302	有些时候，达成目的并不需要靠自己动手。	3	3	3
2303	唯一目标：关闭开关。	3	3	3
2304	并不是每个按钮都需要按一次，指挥官。别被干扰。	3	3	3
2305	终点前只有一个入口，有什么怎么才能到那里去呢……	3	3	3
2306	优先关闭开关，电墙就不会将可以用来垫脚的库洛洛消除了。	3	3	3
2307	消除了左上角的库洛洛之后，为了到达终点，总该找点什么垫脚才行……	3	3	3
2308	别被电墙吓到，指挥官，那不过是虚张声势而已。	3	3	3
2309	想办法在中间区域解决战斗，不要让库洛洛逃到右侧去。	3	3	3
2310	有时候，为了让库洛洛到达正确的位置，需要移动不止一次。	3	3	3
2401	指挥官，我知道这不容易——但请保证我的安全。	3	3	3
2402	小心右侧的地洞陷阱——哪怕是我也不希望自己掉进去。	3	3	3
2403	优先试着把鲨士碧儿料理掉。	3	3	3
2404	把上方的库洛洛赶下来，拿它当垫脚石，而不是我。	3	3	3
2405	为了让垫脚石发挥作用，绕路有时候也是一种美德，指挥官。	3	3	3
2406	开始狩猎前，记得把无关人员疏散一下。	3	3	3
2407	不要一上来就地上眼前的库洛洛——绕一绕。	3	3	3
2408	你只有少数的几种办法可以够到关键的库洛洛，从左往右靠近也许不错。	3	3	3
2409	有时候也该适当让赛利卡充当帮手，指挥官。	3	3	3
2410	……任务需要，我也可以成为你的帮手，指挥官。	3	3	3
2501	在发现视野里有异样之后，蔷薇之剑会在下一回合移动到有异常的地方。	3	3	3
2502	引开蔷薇之剑，然后不论被什么挡住，都不要回头。	3	3	3
2503	有时候也该适当寻求一下友军——比如我，的帮助，指挥官。	3	3	3
2504	会在一定条件下行动的敌人，也不过是移动的踏板而已。	3	3	3
2505	为了够到右边的库洛洛，左边的库洛洛必须不移动才行。	3	3	3
2506	让蔷薇之剑成为你的踏板吧，指挥官。	3	3	3
2507	踏板么，多多益善。一个不够，就做两个。	3	3	3
2508	原本过不去的地方，有了垫脚石也不是什么大事。	3	3	3
2509	我看到了完整的字母S。你现在正在它的尾巴上，指挥官。	3	3	3
2510	这里的蔷薇之剑停留的时间不够长——你需要让他一直呆在某个地方。	3	3	3
3101	沿着路径向前就是了——横竖也只有眼前这一条路可走。	3	3	3
3102	仔细看看……如果左边的库洛洛一开始就不存在的话……	3	3	3
3103	一停下来就改变前进方向，在这里似乎并不可行呢。	3	3	3
3104	原来如此……当库洛洛周围出现构造体时，会向反方向跑开……	3	3	3
3105	虽然离得有点远……但总有办法够到上面的库洛洛的。	3	3	3
3106	右侧的库洛洛似乎无法直接消除，但如果有垫脚石的话……	3	3	3
3107	利用好你的敌人，指挥官。那会是最好的垫脚石。	3	3	3
3108	不要急着消灭每一个眼前的敌人……让他们各尽其用，成为我们的助力。	3	3	3
3201	那个红圈似乎是鲨士碧儿的警戒范围——别在其中停留，指挥官。	3	3	3
3202	红圈之外，都鲨士碧儿的盲区——是时候反击了。	3	3	3
3203	上方的敌人毫无破绽，那么关键就在于……下方的敌人。	3	3	3
3204	“每回合沿着固定的路径移动”吗……原来如此，越是有规律，越是容易出现破绽。	3	3	3
3205	警戒线有些密集呢……有时候绕绕远路，反而更方便。	3	3	3
3206	如果能把库洛洛引到左下位置，就方便太多了。可该怎么做呢……	3	3	3
3207	这个巡逻者不过是虚张声势而已。追上他，指挥官！	3	3	3
3208	同时有两个库洛洛存在……更该谨慎决定处理的先后顺序。	3	3	3
3301	只有一条路。总是只有一条路。不必多说了吧，指挥官？	3	3	3
3302	先不急着处理左边的库洛洛，指挥官。	3	3	3
3303	两个机关分别连接两个不同的方向，只需要选对其中一个……	3	3	3
3304	无法二次到达的终点吗……右边的库洛洛看上去似乎可以利用，指挥官。	3	3	3
3305	越是具备既定的规律，就越容易计算其行动——先往右，指挥官。	3	3	3
3306	这个巡逻者和石门在同一直线。如果能把他困住的话……	3	3	3
3307	看起来……敌人正好站成了适合一网打尽的阵型呢。	3	3	3
3308	上方的库洛洛显然无法直接消除，那么谁会是那块垫脚石呢……？	3	3	3
3401	……我想你是知道路的，也就仅有那么一条路可走。	3	3	3
3402	变幻的地形将形成新的通路。不妨多回头看看，指挥官。	3	3	3
3403	……没有路？那就让敌方为我们建一条路吧。	3	3	3
3404	上方的机关看上去像是误导——你问我为什么？直觉啦，直觉。	3	3	3
3405	先驱赶下方的敌人，指挥官。	3	3	3
3406	别急，别急，让敌人逃一会……还有，注意计算你的步数。	3	3	3
3407	上方战场地形复杂，别让敌人逃到难以追踪的位置去，指挥官。	3	3	3
3408	偶尔绕些远路，也许反倒更方便……嗯？这个形状，是无穷符号吗？	3	3	3
4101	只有一条路，前进吧。	3	3	3
4102	要点是，在影子击杀关键库洛洛之后，不要停留，继续向前。	3	3	3
4103	当库洛洛周围出现构造体，或是有其他角色被消除时，库洛洛会向反方向跑开。	3	3	3
4104	优先利用两个普通库洛洛提前布局，借助它们到达终点——而小兔子，可以留到最后。	3	3	3
4105	当本体或影子到达法阵时，它们会停下，并在另一方完成移动后，交换彼此的位置。	3	3	3
4106	右下方的区域似乎只有一个出口……要出来，总要踩着点什么，对吧。	3	3	3
4107	为了顺利到达终点，似乎需要将下方的库洛洛驱赶至地图左侧……	3	3	3
4108	一旦进入鲨士碧儿的击杀范围，不论是本体还是影子，都会被它击杀。	3	3	3
4109	小心！不要撞到通电状态的电墙！踩中开关就可以关闭它们。	3	3	3
4110	先把最左侧的库洛洛驱赶到电网，让它惊吓到另一只库洛洛，掩盖鲨士碧儿的击杀区。	3	3	3
4201	本体能使草丛燃烧，只有一条路，前进吧。	3	3	3
4202	草丛或许只是一种装饰？直接击杀关键库洛洛而前往终点，影子会为你铺路。	3	3	3
4203	影子能使草丛生长，而本体能使相连的草丛燃烧，放出库洛洛后即可通往终点！	3	3	3
4204	燃烧草丛解救影子后，让影子击杀上方库洛洛后再一起前往终点！	3	3	3
4205	打开机关后使本体往终点靠近，利用尖刺保持本体在影子前方！	3	3	3
4206	关闭电墙开关，保证影子的安全，随后一起向中央靠拢吧！	3	3	3
4207	激活开关后使影子到达右侧地图一起击杀库洛洛！再想办法触碰右侧的石门回去！	3	3	3
4208	穿越魔法阵后，就可以和影子分头行动了！	3	3	3
4209	左侧的草丛下方！似乎藏着什么机关？触碰后围绕地图边缘行走即可！	3	3	3
4210	注意观察本体的位置，利用影子生长的草丛阻挡本体冲刺，影子到达石门开关后或许就安全了！	3	3	3
4301	物理元素可以推动泡泡前进一步，冰元素则会使得泡泡破碎。	3	3	3
4302	再尝试一次——让本体推动泡泡，再让影子利用泡泡，打开本体的通路。	3	3	3
4303	为了让影子戳破泡泡，需要把泡泡运送到合适的位置。	3	3	3
4304	那些洞穴看上去就很不妙……记得绕开。	3	3	3
4305	先让影子移动到左边，再在合适的时候，利用魔法阵交换两人的位置——相信我，这是必要的牺牲。	3	3	3
4306	开局向右，调整身位——为了让影子戳破泡泡，还是要多多利用这些换位法阵才行。	3	3	3
4307	你需要想办法推动泡泡挡住关键库洛洛，不能让它直接掉进陷阱里！	3	3	3
4308	看起来，还是要先推动泡泡，然后利用关键库洛洛，抵达终点才行。	3	3	3
4309	先把关键库洛洛向下赶，然后……如果有办法让下方两个库洛洛都成为垫脚石的话……	3	3	3
4310	先把上方库洛洛向下驱赶，然后利用库洛洛的惊吓机制，让它们抵达合适的垫脚位置。	3	3	3
4401	让影子冲向终点！	3	3	3
4402	别急，让影子先行。	3	3	3
4403	跟着水池的路线移动，想办法和影子汇合。	3	3	3
4404	向右移动穿过警戒线，你就可以击杀库洛洛了。	3	3	3
4405	影子先与我汇合，再让影子追杀库洛洛。	3	3	3
4406	指挥影子给两旁的蔷薇之剑来个下马威！你再巡逻一圈，就能找到出路了。	3	3	3
4407	可以先解决太阿，再互换位置吧。	3	3	3
4408	连续互换两次位置，就能直达终点。	3	3	3
4409	绕远路换位置，再穿过水池换下一次位置吧。	3	3	3
