MapId	HintTitle	StartRowAndCol	StartGridPercent	NextRowAndCol	NextGridPercent
1101	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|5	1|0.5	['7|3', '2|3', '2|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5']
1102	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|1	0.5|1	['3|1', '3|2', '1|2', '1|6', '5|6', '5|5', '2|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1103	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|6	1|0.5	['7|5', '3|5', '3|2', '6|2', '6|6', '3|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1104	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|2	0.66|1	['3|2', '3|2', '6|2', '6|1', '7|1', '7|5', '2|5', '2|3']	['0.66|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1105	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|5	0|0.5	['7|5', '5|5', '5|8', '6|8', '6|8', '3|8', '3|1', '5|1', '5|3', '4|3']	['0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1106	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	1|2	0|0.5	['1|2', '2|2', '2|6', '1|6', '1|4', '4|4', '4|2', '7|2', '7|2', '6|2', '6|5', '5|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5']
1107	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	1|0.66	['2|2', '2|2', '2|5', '6|5', '6|6', '6|6', '6|4', '4|4', '4|1', '5|1']	['0.5|0.66', '0.5|0.33', '0.5|0.5', '0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1108	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|5	0.5|0	['7|5', '7|1', '1|1', '1|2', '1|2', '1|1', '7|1', '7|4', '4|4', '4|7', '1|7', '1|6', '5|6', '5|3']	['0.5|0.66', '0.33|0.66', '0.33|0.33', '0.5|0.33', '0.5|0.66', '0.66|0.66', '0.66|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1109	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|3	0|0.5	['3|3', '5|3', '5|3', '1|3', '1|7', '3|7', '3|8', '2|8', '2|5', '6|5', '6|8']	['0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1110	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|8	0.5|1	['5|8', '5|5', '8|5', '8|7', '3|7', '3|6', '7|6', '7|1', '8|1', '8|2', '2|2', '2|4', '4|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
