Id	Name	Type	Content	Quality	Announcer	MemberCount	NeedTime	RecommendAttrib	PreQuestId	FinishReward	ExtraReward	FilePoolId	IsRepeatedly	Condition
1001	清理绿洲感染体	1	地面感染体增加，遗忘者据点流民人满为患，作战人手不足，请求空中花园尽快派出支援，清理绿洲据点附近感染体。	1	8	1	14400	[1]		8501	8507	80102	1	
1002	异常前置侦察	2	地面出现异动，疑似有被感染的构造体出没，请求派遣人手协同前置侦察。	1	2	1	14400	[2]		8501	8508	20201	1	
1003	地面救护行动	3	感染体入侵，地面城市有人员伤亡，请求派遣人手协助前往救治伤员。	1	7	1	14400	[3]		8501	8509	70301	1	
1004	支援物资	4	有一批支援物资需要从空中花园转运至地面保育区，请求派遣驾驶技能熟练的构造体跟随押送物资。	1	4	1	14400	[4]		8501	8510	40401	1	
1005	紧急维修	5	空中花园天气引擎B组动力不足，出现问题，请求调遣构造体协同维修。	1	3	1	14400	[5]		8501	8511	30501	1	
1006	探查文明遗迹	6	地面已确认发现新的遗迹，请求指挥官派遣构造体进行遗迹勘探行动。	1	5	1	14400	[6]		8501	8512	50601	1	
1007	交易谈判	7	新一季物资交易季开始，本次需要和九龙进行物资交易，期望指挥官派遣擅长交流谈判的构造体协助空中花园，和九龙进行物资交易谈判。	1	1	1	14400	[7]		8501	8507		1	
1008	清理感染体	1	北极航线联合附近出现感染体暴动，希望空中花园能够派遣构造体支援。	1	9	1	14400	[1]		8501	8508	90101	1	
1009	发现新遗迹	2	地面疑似发现新的遗迹，请求派遣人手协同前置侦察，确定危险等级后，艺术协会将进一步跟进。	1	5	1	14400	[2]		8501	8509	50201	1	
1010	绿洲救援请求	3	绿洲据点人手不足，异合生物入侵，大量人员受伤，希望能尽快派人支援，救治伤员。	1	8	1	14400	[3]		8501	8510	80302	1	
1011	物资运送	4	艺术协会自地面再度发掘出一批文物及艺术品，请求尽快派遣构造体随机将这批物资押运回空中花园。	1	5	1	14400	[4]		8501	8511	50401	1	
1012	过滤塔紧急维修	5	地面保育区过滤塔转子连接出现故障，帕弥什病毒浓度升高，请求协助维修。	1	4	1	14400	[5]		8501	8512	40501	1	
1013	探查九龙城遗迹	6	清理感染体后，在内陆发现新的九龙城遗址，希望空中花园能派遣构造体协同进行九龙城遗址探查。	1	12	1	14400	[6]		8501	8507	120601	1	
1014	拾荒者谈判	7	有一伙拾荒者占据了绿洲外围的一个小据点不肯离开，遗忘者人手不足，希望空中花园能够派遣擅长谈判的构造体，协助遗忘者同拾荒者谈判，合理解决争端。	1	8	1	14400	[7]		8501	8508	80701	1	
1015	清理列车感染体	1	奥赛兰姆号列车的停靠车站被感染体占领，物资运输受阻，委托空中花园提前派遣构造体清理停靠车站内的感染体，方便后续物资运输交通。	1	10	1	14400	[1]		8501	8509	100101	1	
1016	开拓前置侦察	2	空中花园近日定位到新的地面城市，需要确定城市内部过滤塔详细位置及城市危险等级，请派遣构造体进入地面开展任务。	1	1	1	14400	[2]		8501	8510	10201	1	
1017	医疗援助请求	3	感染体入侵，保育区医疗资源紧张，请求医疗援助。	1	7	1	14400	[3]		8501	8511	70301	1	
1018	阿迪莱物资交易	4	九龙联合体订购的一批物资已经送达，阿迪莱和九龙距离过远，故委托空中花园派遣人手押送这批医疗物资，报酬附上，请尽快支援。	1	10	1	14400	[4]		8501	8512	100401	1	
1019	模拟体验馆故障	5	空中花园模拟体验馆出现故障，无法切换场景，请求派遣构造体排查问题，协同维修。	1	5	1	14400	[5]		8501	8509	50501	1	
1020	探查研究所遗址	6	在保育区附近发现黄金时代的科学研究所遗址，请求指挥官派遣构造体协助科学理事会进行遗址探查行动。	1	6	1	14400	[6]		8501	8510	60602	1	
1021	档案整理	7	军方需要保密性质高的构造体协助整理最近几年的档案，请指挥官派遣构造体到档案室报道。	1	1	1	14400	[7]		8501	8507	10701	1	
1022	回收遗失物资	1	因遭到感染体攻击，工程部队的一批物资运输受阻，希望派人支援，击退感染体，回收这一批物资。	1	3	1	14400	[1]		8501	8508	30101	1	
1023	保育区例行巡逻	2	部分保育区守备人员被抽调前往执行其他任务，请求派遣人手协助完成保育区例行巡逻工作。	1	1	1	14400	[2]		8501	8509	10201	1	
1024	战场医疗援助	3	地面城市发生交战，出现人员伤亡，紧急请求医疗援助。	1	7	1	14400	[3]		8501	8510	70301	1	
