Id	Name	BrifeDesc	Desc	ShowIcon	RandomGroupIds
1	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[1, 2, 3]
2	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[4, 5, 6]
3	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[7, 8, 9]
4	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[10, 11, 12]
5	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[13, 14, 15]
6	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[16, 17, 18]
7	战术嵌合-超频	加快时间流速 提供强力加成	加快时间流速 能力加成提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon01.png	[19, 20, 21]
8	战术嵌合-超频	加快时间流速 提供强力加成	加快时间流速 能力加成提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon01.png	[22, 23, 24]
9	战术嵌合-超频	加快时间流速 提供强力加成	加快时间流速 能力加成提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon01.png	[25, 26, 27]
10	战术嵌合-侵染	行为扣除时间 但能力提升	行为扣除时间 但能力提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon04.png	[28, 29, 30]
11	战术嵌合-侵染	行为扣除时间 但能力提升	行为扣除时间 但能力提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[31, 32, 33]
12	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon04.png	[34, 35, 36]
13	战术嵌合-侵染	行为扣除时间 但能力提升	行为扣除时间 但能力提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[37, 38, 39]
14	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon04.png	[40, 41, 42]
15	战术嵌合-过载	剩余时间越少 战术加成越强	剩余时间越少 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon03.png	[43, 44, 45]
16	战术嵌合-过载	剩余时间越少 战术加成越强	剩余时间越少 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon03.png	[46, 47, 48]
17	战术嵌合-过载	剩余时间越少 战术加成越强	剩余时间越少 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon03.png	[49, 50, 51]
18	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[52, 53, 54]
19	战术嵌合-过载	剩余时间越少 战术加成越强	剩余时间越少 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon03.png	[55, 56, 57]
20	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[58, 59, 60]
21	战术嵌合-侵染	行为扣除时间 但能力提升	行为扣除时间 但能力提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon04.png	[61, 62, 63]
22	战术嵌合-超频	加快时间流速 提供强力加成	加快时间流速 能力加成提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon01.png	[64, 65, 66]
23	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[67, 68, 69]
24	战术嵌合-过载	剩余时间越少 战术加成越强	剩余时间越少 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon03.png	[70, 71, 72]
25	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[73, 74, 75]
26	战术嵌合-侵染	行为扣除时间 但能力提升	行为扣除时间 但能力提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon04.png	[76, 77, 78]
27	战术嵌合-覆写	剩余时间越多 战术加成越强	剩余时间越多 战术加成越强	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon05.png	[79, 80, 81]
28	战术嵌合-超频	加快时间流速 提供强力加成	加快时间流速 能力加成提升	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon01.png	[82, 83, 84]
29	战术嵌合-缓存	行为提供时间 但能力降低	行为提供时间 但能力降低	Assets/Product/Texture/Image/UiEscape/UiEscapeIcon02.png	[85, 86, 87]
