Id	Name	Type	Quality	UnlockConditionId	EffectGroupId	Desc	Icon
1	代码重编-信号	1	5		1001	<color=#3aa4e2>每10秒</color>剩余时间 三消的额外伤害加成<color=#3aa4e2>提升30%</color> （最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip01.png
2	代码重编-必杀	1	5		1002	<color=#3aa4e2>每10秒</color>剩余时间 必杀技的额外伤害加成<color=#3aa4e2>提升20%</color> （最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip02.png
3	代码重编-强化	1	5		1003	<color=#3aa4e2>每10秒</color>剩余时间 额外伤害加成<color=#3aa4e2>提升10%</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip03.png
4	代码重编-级联	1	5		1004	<color=#3aa4e2>每10秒</color>剩余时间 普攻回球效率<color=#3aa4e2>提升40%</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip04.png
5	代码重编-能量	1	5		1005	<color=#3aa4e2>每10秒</color>剩余时间 必杀能量获取<color=#3aa4e2>提升20%</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip05.png
6	代码重编-脆弱	1	5		1006	<color=#3aa4e2>每10秒</color>剩余时间 敌人的额外伤害减免<color=#3aa4e2>降低5%</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip06.png
7	代码重编-连携	1	5		1007	<color=#3aa4e2>每10秒</color>剩余时间 QTE冷却<color=#3aa4e2>减少0.5秒</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip07.png
8	代码重编-切换	1	5		1008	<color=#3aa4e2>每10秒</color>剩余时间 切人冷却<color=#3aa4e2>减少0.5秒</color>（最多生效10层）	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip08.png
9	超频加速-信号	2	5		1009	时间<color=#bc3e3e>流逝速率提升20%</color>，三消的额外伤害加成<color=#3aa4e2>提升350%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip09.png
10	超频加速-必杀	2	5		1010	时间<color=#bc3e3e>流逝速率提升20%</color>，必杀技的额外伤害加成<color=#3aa4e2>提升175%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip10.png
11	超频加速-强化	2	5		1011	时间<color=#bc3e3e>流逝速率提升20%</color>，额外伤害加成<color=#3aa4e2>提升70%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip11.png
12	超频加速-连携	2	5		1012	时间<color=#bc3e3e>流逝速率提升20%</color>，QTE冷却<color=#3aa4e2>减少3秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip12.png
13	超频加速-切换	2	5		1013	时间<color=#bc3e3e>流逝速率提升20%</color>，切人冷却<color=#3aa4e2>减少6秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip13.png
14	超频加速-共振	2	5		1014	时间<color=#bc3e3e>流逝速率提升20%</color>，切人/QTE冷却<color=#3aa4e2>减少2秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip14.png
15	超频加速-级联	2	5		1015	时间<color=#bc3e3e>流逝速率提升20%</color>，普攻回球效率<color=#3aa4e2>提升250%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip15.png
16	超频加速-能量	2	5		1016	时间<color=#bc3e3e>流逝速率提升20%</color>，必杀能量获取<color=#3aa4e2>提升50%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip16.png
17	超频加速-脆弱	2	5		1017	时间<color=#bc3e3e>流逝速率提升20%</color>，敌人的额外伤害减免<color=#3aa4e2>降低25%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip17.png
18	时率侵染-信号	3	5		1018	三消<color=#bc3e3e>扣除1秒</color>剩余时间，但三消的额外伤害加成<color=#3aa4e2>提升350%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip18.png
19	时率侵染-必杀	3	5		1019	必杀技<color=#bc3e3e>扣除3秒</color>剩余时间，但必杀技的额外伤害加成<color=#3aa4e2>提升170%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip19.png
20	时率侵染-连携	3	5		1020	QTE<color=#bc3e3e>扣除1秒</color>剩余时间，但额外伤害加成<color=#3aa4e2>提升30%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip20.png
21	时率侵染-切换	3	5		1021	切换角色<color=#bc3e3e>扣除3秒</color>剩余时间，但额外伤害加成<color=#3aa4e2>提升30%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip21.png
22	数据缓存-信号	4	5		1022	三消<color=#3aa4e2>提供1秒</color>剩余时间，但三消的额外伤害加成<color=#bc3e3e>降低50%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip22.png
23	数据缓存-必杀	4	5		1023	必杀技<color=#3aa4e2>提供3秒</color>剩余时间，但必杀技的额外伤害加成<color=#bc3e3e>减少25%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip23.png
24	数据缓存-连携	4	5		1024	QTE<color=#3aa4e2>提供1秒</color>剩余时间，但额外伤害加成<color=#bc3e3e>降低15%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip24.png
25	数据缓存-切换	4	5		1025	切换角色<color=#3aa4e2>提供3秒</color>剩余时间，但额外伤害加成<color=#bc3e3e>降低15%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip25.png
26	算力过载-信号	5	5		1026	三消的额外伤害加成<color=#3aa4e2>提升300%</color>，但<color=#bc3e3e>每拥有10秒</color>的倒计时，该<color=#bc3e3e>加成下降15%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip26.png
27	算力过载-必杀	5	5		1027	必杀技的额外伤害加成<color=#3aa4e2>提升200%</color>，但<color=#bc3e3e>每拥有10秒</color>的倒计时，该<color=#bc3e3e>加成下降10%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip27.png
28	算力过载-强化	5	5		1028	额外伤害加成<color=#3aa4e2>提升100%</color>，但<color=#bc3e3e>每拥有10秒</color>的倒计时，该<color=#bc3e3e>加成下降5%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip28.png
29	算力过载-切换	5	5		1029	切人冷却<color=#3aa4e2>减少8秒</color>，但<color=#bc3e3e>每拥有10秒</color>的倒计时，<color=#bc3e3e>切人冷却增加0.4秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip29.png
30	算力过载-连携	5	5		1030	QTE冷却<color=#3aa4e2>减少8秒</color>，但<color=#bc3e3e>每拥有10秒</color>的倒计时，<color=#bc3e3e>QTE冷却增加0.4秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip30.png
31	算力过载-级联	5	5		1031	每<color=#3aa4e2>3秒额外获得</color>一组3消球，但<color=#bc3e3e>每拥有10秒</color>的倒计时，时间<color=#bc3e3e>间隔都将增加1秒</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip31.png
32	碎片优化-强化	6	5		1032	额外伤害加成<color=#3aa4e2>提升10%</color>	Assets/Product/Texture/Image/UiEscape/UiEscapeEquip32.png
