Id	TimeId	OpenCondition	GroupId	Difficulty	InitialTime	MaxTime	LayerIds	ScoreRatio	Name	EnName	EnvironmentDesc	BuffDesc	ShowFightEventIds
1	28		1	1	120	600	[1001, 1002, 1003, 1004, 1005, 1006]	1	时空演习	STAGE1	['本玩法推荐<color=#55D0F0>5000战力</color>以上的队伍挑战', '玩法提供<color=#55D0F0>试用角色</color>，推荐在<color=#55D0F0>普通难度使用</color>']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
2	28		2	1	120	600	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]	1	代码重编	STAGE2	['本章中：剩余<color=#55D0F0>时间越多</color>，战术<color=#55D0F0>加成越强</color>', '推荐囤积更多时间，获取更多战术收益']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
3	28		3	1	120	600	[3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009]	1	超频加速	STAGE3	['本章中：战术将<color=#FF0000>加速时间</color>并提供<color=#55D0F0>更强增益</color>', '推荐专一增益方向，最大化战术收益']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
4	28		4	1	120	600	[4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009]	1	数据侵染	STAGE4	['本章中：战术会影响<color=#55D0F0>不同行为</color>对<color=#55D0F0>时间的变化</color>', '推荐针对角色特性，选择合适的战术方向']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
5	28		5	1	120	300	[5001, 5002, 5003, 5004, 5005, 5006, 5007, 5008, 5009]	1	算力过载	STAGE5	['本章中：剩余<color=#FF0000>时间越少</color>，战术<color=#55D0F0>加成越强</color>', '推荐灵活运用机制，控制时间在合适空间']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
6	28		6	1	120	600	[6001, 6002, 6003, 6004, 6005, 6006, 6007, 6008, 6009, 6010, 6011, 6012]	1	混沌时空	STAGE6	['本章中：所有战术都将<color=#55D0F0>混合出现</color>', '推荐确定增益方向，围绕此方向进行构建']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240397]
7	28		7	2	100	600	[11001, 11002, 11003, 11004, 11005, 11006]	1	时空演习H	STAGE1	['噩梦难度推荐<color=#FF0000>6000战力以上</color>队伍挑战', '<color=#FF0000>试用角色</color>在噩梦难度中<color=#FF0000>难度较高</color>，请谨慎']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240398, 2240399]
8	28		8	2	100	600	[12001, 12002, 12003, 12004, 12005, 12006, 12007, 12008, 12009]	1	代码重编H	STAGE2	['本章中：剩余<color=#55D0F0>时间越多</color>，战术<color=#55D0F0>加成越强</color>', '推荐囤积更多时间，获取更多战术收益']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240398, 2240399]
9	28		9	2	100	600	[13001, 13002, 13003, 13004, 13005, 13006, 13007, 13008, 13009]	1	超频加速H	STAGE3	['本章中：战术将<color=#FF0000>加速时间</color>并提供<color=#55D0F0>更强增益</color>', '推荐专一增益方向，最大化战术收益']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240398, 2240399]
10	28		10	2	100	600	[14001, 14002, 14003, 14004, 14005, 14006, 14007, 14008, 14009]	1	数据侵染H	STAGE4	['本章中：战术会影响<color=#55D0F0>不同行为</color>对<color=#55D0F0>时间的变化</color>', '推荐针对角色特性，选择合适的战术方向']	1.通关关卡可获<color=#55D0F0>倒计时</color>，<color=#55D0F0>倒计时归零</color>将导致<color=#55D0F0>关卡失败</color> 2.关卡失败后，将<color=#55D0F0>回到挑战前的时间状态</color>，可继续尝试挑战	[2240398, 2240399]
