StageId	AwardTime	Color	GridDesc	ScoreRatio
30062171	90	2	常态时空	1
30062172	90	2	时空汲取-裂解	1
30062173	90	2	时空汲取-轮战	1
30062174	90	2	时空汲取-灵巧	1
30062175	90	2	时空汲取-裂解	1
30062176	90	2	时空汲取-骤解	1
30062177	90	2	时空汲取-轮战	1
30062178	90	2	时空汲取-协助	1
30062179	90	2	时空汲取-灵巧	1
30062180	90	2	时空汲取-裂解	1
30062181	90	2	时空汲取-连奏	1
30062182	90	3	危急时空-螺旋	1
30062183	90	2	耗时复利-健壮	1
30062184	90	3	危急时空-泄漏	1
30062185	90	2	耗时复利-健壮	1
30062186	90	2	耗时复利-威慑	1
30062187	90	2	时空汲取-轮战	1
30062188	90	2	时空汲取-协助	1
30062189	90	2	时空静滞-骤解	1
30062190	90	3	危急时空-闭环	1
30062191	90	2	时空静滞-三消	1
30062192	90	2	时空静滞-三消	1
30062193	90	2	时空静滞-必杀	1
30062194	90	2	时空静滞-骤解	1
30062195	90	2	时空静滞-连奏	1
30062196	90	2	时空静滞-轮战	1
30062197	90	2	时空静滞-协助	1
30062198	90	2	时空静滞-周期	1
30062199	90	3	危急时空-增幅	1
30062200	90	2	时空迟缓-灵巧	1
30062201	90	2	时空迟缓-骤解	1
30062202	90	2	时空迟缓-裂解	1
30062203	90	2	时空迟缓-协助	1
30062204	90	2	时空迟缓-轮战	1
30062205	90	2	时空迟缓-连奏	1
30062206	90	2	时空迟缓-骤解	1
30062207	90	3	危急时空-剥削	1
30062208	90	2	时空迟缓-应激	1
30062209	90	2	时空静滞-裂解	1
30062210	90	2	时空迟缓-裂解	1
30062211	90	2	时空静滞-轮战	1
30062212	90	2	时空迟缓-轮战	1
30062213	90	2	时空静滞-轮战	1
30062214	90	2	时空迟缓-协助	1
30062215	90	2	时空静滞-连奏	1
30062216	90	2	时空迟缓-连奏	1
30062217	90	3	危急时空-轮回	1
30062221	70	3	常态时空	1
30062222	70	3	时空汲取-裂解	1
30062223	70	3	时空汲取-轮战	1
30062224	70	3	时空汲取-灵巧	1
30062225	70	3	时空汲取-裂解	1
30062226	70	3	时空汲取-骤解	1
30062227	70	3	时空汲取-轮战	1
30062228	70	3	时空汲取-协助	1
30062229	70	3	时空汲取-灵巧	1
30062230	70	3	时空汲取-裂解	1
30062231	70	3	时空汲取-连奏	1
30062232	70	4	危急时空-螺旋	1
30062233	70	3	耗时复利-健壮	1
30062234	70	4	危急时空-泄漏	1
30062235	70	3	耗时复利-健壮	1
30062236	70	3	耗时复利-威慑	1
30062237	70	3	时空汲取-轮战	1
30062238	70	3	时空汲取-协助	1
30062239	70	3	时空静滞-骤解	1
30062240	70	4	危急时空-闭环	1
30062241	70	3	时空静滞-三消	1
30062242	70	3	时空静滞-三消	1
30062243	70	3	时空静滞-必杀	1
30062244	70	3	时空静滞-骤解	1
30062245	70	3	时空静滞-连奏	1
30062246	70	3	时空静滞-轮战	1
30062247	70	3	时空静滞-协助	1
30062248	70	3	时空静滞-周期	1
30062249	70	4	危急时空-增幅	1
30062250	70	3	时空迟缓-灵巧	1
30062251	70	3	时空迟缓-骤解	1
30062252	70	3	时空迟缓-裂解	1
30062253	70	3	时空迟缓-协助	1
30062254	70	3	时空迟缓-轮战	1
30062255	70	3	时空迟缓-连奏	1
30062256	70	3	时空迟缓-骤解	1
30062257	70	4	危急时空-剥削	1
30062258	70	3	时空迟缓-应激	1
30062259	70	3	时空静滞-裂解	1
30062260	70	3	时空迟缓-裂解	1
30062261	70	3	时空静滞-轮战	1
30062262	70	3	时空迟缓-轮战	1
30062263	70	3	时空静滞-轮战	1
30062264	70	3	时空迟缓-协助	1
30062265	70	3	时空静滞-连奏	1
30062266	70	3	时空迟缓-连奏	1
30062267	70	4	危急时空-轮回	1
