Group	Text	Duration	CvId	WordsIndex
1001	这个机体并没有经过最终的调整。	[3.0, 3.0, 3.0, 3.0]	100000002	1
1001	就算之后重新读取这些数据，在你看来都会是另一个人的事情。	[5.0, 5.0, 5.0, 5.0]	100000003	2
1001	也就是说，在这次战斗的最后。	[4.0, 4.0, 4.0, 4.0]	100000004	3
1001	我将会变得不再是我。	[2.0, 2.0, 2.0, 2.0]	100000005	4
1002	这个机体并没有经过最终的调整。	[3.0, 3.0, 3.0, 3.0]	100000002	1
1002	就算之后重新读取这些数据，在你看来都会是另一个人的事情。	[5.0, 5.0, 5.0, 5.0]	100000003	2
1002	也就是说，在这次战斗的最后。	[4.0, 4.0, 4.0, 4.0]	100000004	3
1002	我将会变得不再是我。	[2.0, 2.0, 2.0, 2.0]	100000005	4
112012501	这个机体并没有经过最终的调整。	[3.0, 3.0, 3.0, 3.0]	100000002	1
112012501	就算之后重新读取这些数据，在你看来都会是另一个人的事情。	[5.0, 5.0, 5.0, 5.0]	100000003	2
112012501	也就是说，在这次战斗的最后。	[4.0, 4.0, 4.0, 4.0]	100000004	3
112012501	我将会变得不再是我。	[2.0, 2.0, 2.0, 2.0]	100000005	4
112012502	不惜做到这种地步吗？抱歉，那我要认真起来了。	[7.5, 7.5, 7.5, 7.5]	100000059	1
112012502		[3.0, 3.0, 3.0, 3.0]		2
112012502	我不会让你伤到……指挥官。	[4.0, 4.0, 4.0, 4.0]	100000007	3
112012503	我……还记得……	[2.0, 2.0, 2.0, 2.0]	100000008	1
112012503	和指挥官还有大家一起战斗的这段经历……觉醒的机械，感染病毒的提法。	[8.0, 8.0, 8.0, 8.0]	100000009	2
112012503	我为他们感到悲伤……但能做的只有击败他们。	[6.0, 6.0, 6.0, 6.0]	100000010	3
112012504		[5.6999, 5.6999, 5.6999, 5.6999]		1
112012504	你是打算同归于尽吗！	[2.0, 2.0, 2.0, 2.0]	100000060	2
112012504		[0.2, 0.2, 0.2, 0.2]		3
112012504	假若这就是我唯一能用的方法!	[3.7999, 3.7999, 3.7999, 3.7999]	100000012	4
112012504	指挥官，请您准许我……！	[6.0, 6.0, 6.0, 6.0]	100000013	5
112012505	我还记得……曾经照顾过我的修女，由感染而出现的卡穆。	[6.0, 6.0, 6.0, 6.0]	100000014	1
112012505	被帕弥什驱使疯狂的他们对这个世界感到绝望。	[4.0, 4.0, 4.0, 4.0]	100000015	2
112012505	所以我告诉了他们我从指挥官身上学到的道理。	[4.0, 4.0, 4.0, 4.0]	100000016	3
112012505	只靠自己一个是无法在世界上活下去的。	[5.0, 5.0, 5.0, 5.0]	100000017	4
112012506	这场战斗无论如何‘你’都会从这个世界消失，不复存在——	[7.0, 7.0, 7.0, 7.0]	100000062	1
112012506	你难道不认为在这里结束才是最好的吗？	[4.0, 4.0, 4.0, 4.0]	100000063	2
112012507	不会消失的。	[2.0, 2.0, 2.0, 2.0]	100000018	1
112012507	无论发生什么，我一直，一直都会在指挥官在的地方！	[5.0, 5.0, 5.0, 5.0]	100000019	2
112012508	<color=#000000>指挥官——</color>	[2.0, 2.0, 2.0, 2.0]	100000023	1
112012508		[1.5, 1.5, 1.5, 1.5]		2
112012508	本想接下来带指挥官撤离这个地方。	[6.0, 6.0, 6.0, 6.0]	100000021	3
112012508	但看来……我已经……	[5.0, 5.0, 5.0, 5.0]	100000022	4
150201601	就算停下了融合也没什么大不了的！	[4.0, 4.0, 4.0, 4.0]	100000064	1
150201601	我一定要摧毁整个航线联合，得到活下去的权利！	[5.0, 5.0, 5.0, 5.0]	100000065	2
150201602	……呃！	[2.0, 2.0, 2.0, 2.0]	100000074	1
150201603	看来那个指挥官在意识海里也遇到了什么困难，哈哈哈哈。	[7.5999, 7.5999, 7.5999, 7.5999]	100000067	1
150201603	你也快点放弃挣扎，然后死在这里吧！	[6.0, 6.0, 6.0, 6.0]	100000068	2
150201603		[1.3999, 1.3999, 1.3999, 1.3999]		3
150201603	我可不会放弃……！	[4.0, 4.0, 4.0, 4.0]	100000075	4
150201604	咳……别以为我会一直挨打！	[3.5, 3.5, 3.5, 3.5]	100000069	1
150201604	竟然从这种地方！	[4.0, 4.0, 4.0, 4.0]	100000076	2
150201605		[0.4, 0.4, 0.4, 0.4]		1
150201605	但只要按照指挥官说的去做……	[3.5, 3.5, 3.5, 3.5]	100000077	2
150201605		[0.4499, 0.4499, 0.4499, 0.4499]		3
150201605	就是这里！	[2.0, 2.0, 2.0, 2.0]	100000078	4
150201606		[0.3, 0.3, 0.3, 0.3]		1
150201606	……呃！	[1.0, 1.0, 1.0, 1.0]	100000074	2
150201606		[0.5, 0.5, 0.5, 0.5]		3
150201606	可恶……来不及！	[3.0, 3.0, 3.0, 3.0]	100000079	4
150201607		[1.0, 1.0, 1.0, 1.0]		1
150201607	那就来做个了结吧！	[3.0, 3.0, 3.0, 3.0]	100000082	2
150201608		[1.2, 1.2, 1.2, 1.2]		1
150201608	贯穿吧！	[3.0, 3.0, 3.0, 3.0]	100000084	2
150201609		[0.1, 0.1, 0.1, 0.1]		1
150201609	这里……可是我的距离！	[5.0, 5.0, 5.0, 5.0]	100000083	2
150201610	快把那个鲸声停下来，快给我停下来！	[5.0, 5.0, 5.0, 5.0]	100000066	1
150201611	还没完，还没！！！	[4.5, 4.5, 4.5, 4.5]	100000070	1
150201612	……指挥官，让我们来终结这场噩梦吧。	[5.0, 5.0, 5.0, 5.0]	100000073	1
313271601	不	[0.15, 0.15, 0.15, 0.15]		1
313271601	不死	[0.15, 0.15, 0.15, 0.15]		2
313271601	不死的	[0.15, 0.15, 0.15, 0.15]		3
313271601	不死的英	[0.15, 0.15, 0.15, 0.15]		4
313271601	不死的英雄	[0.55, 0.55, 0.55, 0.55]		5
313271601	不死的英雄罗	[0.15, 0.15, 0.15, 0.15]		6
313271601	不死的英雄罗伊	[0.15, 0.15, 0.15, 0.15]		7
313271601	不死的英雄罗伊德	[0.55, 0.55, 0.55, 0.55]		8
313271601	不死的英雄罗伊德击	[0.15, 0.15, 0.15, 0.15]		9
313271601	不死的英雄罗伊德击败了	[0.15, 0.15, 0.15, 0.15]		10
313271601	不死的英雄罗伊德击败了强	[0.15, 0.15, 0.15, 0.15]		11
313271601	不死的英雄罗伊德击败了强大	[0.15, 0.15, 0.15, 0.15]		12
313271601	不死的英雄罗伊德击败了强大的	[0.15, 0.15, 0.15, 0.15]		13
313271601	不死的英雄罗伊德击败了强大的敌	[0.15, 0.15, 0.15, 0.15]		14
313271601	不死的英雄罗伊德击败了强大的敌人，	[1.0, 1.0, 1.0, 1.0]		15
313271601	不死的英雄罗伊德击败了强大的敌人，拯	[0.2, 0.2, 0.2, 0.2]		16
313271601	不死的英雄罗伊德击败了强大的敌人，拯救	[0.2, 0.2, 0.2, 0.2]		17
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了	[0.25, 0.25, 0.25, 0.25]		18
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所	[0.15, 0.15, 0.15, 0.15]		19
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有	[0.15, 0.15, 0.15, 0.15]		20
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的	[0.15, 0.15, 0.15, 0.15]		21
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战	[0.15, 0.15, 0.15, 0.15]		22
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，	[1.0, 1.0, 1.0, 1.0]		23
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没	[0.2, 0.2, 0.2, 0.2]		24
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有	[0.2, 0.2, 0.2, 0.2]		25
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有一	[0.15, 0.15, 0.15, 0.15]		26
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有一个	[0.15, 0.15, 0.15, 0.15]		27
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有一个人	[0.15, 0.15, 0.15, 0.15]		28
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有一个人死	[0.15, 0.15, 0.15, 0.15]		29
313271601	不死的英雄罗伊德击败了强大的敌人，拯救了所有的战友，没有一个人死去。	[3.15, 3.15, 3.15, 3.15]		30
313271601	b	[0.15, 0.15, 0.15, 0.15]		31
313271601	by	[1.0, 1.0, 1.0, 1.0]		32
313271601	by罗	[0.2, 0.2, 0.2, 0.2]		33
313271601	by罗伊	[0.2, 0.2, 0.2, 0.2]		34
313271601	by罗伊德	[9999.0, 9999.0, 9999.0, 9999.0]		35
15031701	……谢谢。	[1.0, 1.0, 1.0, 1.0]		1
15031701	如果可以……这也算是我做出的选择了吧。	[2.0, 2.0, 2.0, 2.0]		2
15031702	即便拒绝了我，我也必须在这里了结自己。	[1.5, 1.5, 1.5, 1.5]		1
15031703	因为我是……九龙城-的-太阿……	[1.5, 1.5, 1.5, 1.5]		2
1013012601	就算是要用强行的手段也好……	[2.0, 2.0, 2.0, 2.0]		1
1013012601	也要将姐姐你留在这里……	[2.0, 2.0, 2.0, 2.0]		2
15041001	我是起始，我是终结，我是裁决者，我是一切。	[11.0, 11.0, 11.0, 11.0]	100000106	1
15041002	我是慧眼的狐狸，我是惊豺的狮子。	[7.0, 7.0, 7.0, 7.0]	100000107	1
15041003	我葬送了我的父，我建起父的城池\n我放出血液和天空的野兽，我为胜利者加冕。	[15.0, 15.0, 15.0, 15.0]	100000108	1
15041004	为了让父回到大地上，我为胜利者加冕。	[8.0, 8.0, 8.0, 8.0]	100000109	1
15041005	但是，此处没有胜利者。	[7.0, 7.0, 7.0, 7.0]	100000110	1
15041006	上一次，上上一次，也不见胜利者。	[10.0, 10.0, 10.0, 10.0]	100000111	1
15041007	每一次，我拆毁父的城池，又重建父的城池。	[9.0, 9.0, 9.0, 9.0]	100000112	1
15041008	每一次，我放出血液和天空的野兽，我为胜利者加冕。	[11.0, 11.0, 11.0, 11.0]	100000113	1
1501061201	好疼……好疼……好疼啊啊啊啊啊啊！	[2.0, 2.0, 2.0, 2.0]		1
1501061201	嘻嘻，嘻嘻嘻……可怜虫们，你们以为这样就是全部了吗！！	[2.0, 2.0, 2.0, 2.0]		2
1501061201	我要把你们统统碾碎！	[2.0, 2.0, 2.0, 2.0]		3
1015011601		[3.5, 3.5, 3.5, 3.5]	100000162	1
1015011601	沉没吧，沉没在这片海底。	[6.5, 6.5, 6.5, 6.5]		2
1015011602		[2.0, 2.0, 2.0, 2.0]	100000163	1
1015011602	一切都会破碎逝去……	[4.0, 4.0, 4.0, 4.0]		2
1015011603		[2.0, 2.0, 2.0, 2.0]	100000164	1
1015011603	拉弥亚……拉弥亚已经回不去了！	[4.0, 4.0, 4.0, 4.0]		2
1015011604		[1.0, 1.0, 1.0, 1.0]	100000165	1
1015011604	掩埋在这片海底吧！	[5.0, 5.0, 5.0, 5.0]		2
1016011301		[0.6, 0.6, 0.6, 0.6]	100000184	1
1016011301	他们将会寻求、理解、掌握人类熟知的情感。	[5.4, 5.4, 5.4, 5.4]		2
1016011302		[0.6999, 0.6999, 0.6999, 0.6999]	100000185	1
1016011302	他们将会学习、取缔、颠覆人类过时的认知。	[6.5999, 6.5999, 6.5999, 6.5999]		2
1017011201	<color=#33FF00>全　　　　　　　　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球　　　　　　　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球性　　　　　　\n　　    　　　         　</color>	[0.3, 0.3, 0.3, 0.3]		1
1017011201	<color=#33FF00>全球性感　　　　　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球性感染　　　　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球性感染体　　　\n　　    　　　         　</color>	[0.3, 0.3, 0.3, 0.3]		1
1017011201	<color=#33FF00>全球性感染体暴　　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球性感染体暴动　\n　　    　　　         　</color>	[0.2, 0.2, 0.2, 0.2]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　　    　　　         　</color>	[2.0, 2.0, 2.0, 2.0]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第    　　　         　</color>	[0.3, 0.3, 0.3, 0.3]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第5  　　　         　</color>	[0.15, 0.15, 0.15, 0.15]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55　　　         　</color>	[0.15, 0.15, 0.15, 0.15]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55天　　         　</color>	[1.0, 1.0, 1.0, 1.0]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55天　　0       　</color>	[0.15, 0.15, 0.15, 0.15]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55天　　08:    　</color>	[0.3, 0.3, 0.3, 0.3]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55天　　08:3  　</color>	[0.15, 0.15, 0.15, 0.15]		1
1017011201	<color=#33FF00>全球性感染体暴动后\n　第55天　　08:30　</color>	[2.0, 2.0, 2.0, 2.0]		1
1017012501	帕弥什的意志污染了信号球！？	[3.5, 3.5, 3.5, 3.5]	100000243	1
1017012501	洪流<//融合>……希望<//绝望>……	[3.5, 3.5, 3.5, 3.5]	100000261	1
1017012501	污染的信号球正在成为它的力量！露西亚……快从这里离开！	[6.0, 6.0, 6.0, 6.0]	100000239	1
1017012502	呃！啊啊啊……	[3.0, 3.0, 3.0, 3.0]	100000244	1
1017012503	露西亚！	[1.5, 1.5, 1.5, 1.5]	100000240	1
1017012504	拥抱<//抗拒>……湮灭<//重生>……	[5.0, 5.0, 5.0, 5.0]	100000262	1
1017012505	帕弥什还在进一步聚集成型，再这样下去……！	[4.5, 4.5, 4.5, 4.5]	100000245	1
1017012505		[4.0, 4.0, 4.0, 4.0]	100000263	1
1017012505	我可以……抑制它……！	[5.0, 5.0, 5.0, 5.0]	100000241	1
1017012506	凝聚的希望，就交给你了……	[4.0, 4.0, 4.0, 4.0]	100000242	1
1017012507	把丽芙，还给我们！	[4.0, 4.0, 4.0, 4.0]	100000246	1
301311220	若是和平能尽快到来就好了	[3.5, 3.5, 3.5, 3.5]		1
301311220	到时候，就能和指挥官一起去旅行了吧	[5.0, 5.0, 5.0, 5.0]		2
301311221	无论多少次，我的选择都不会改变	[4.0, 4.0, 4.0, 4.0]		1
301311221	留在您身边，是我们的约定	[4.0, 4.0, 4.0, 4.0]		2
301311222	可以和我牵手吗	[2.0, 2.0, 2.0, 2.0]		1
301311222	那是我想要得到的　最珍贵的礼物	[4.5, 4.5, 4.5, 4.5]		2
301311223	我是露西亚，而您是我的指挥官，这样就足够了。	[5.0, 5.0, 5.0, 5.0]		1
301311223	继续一起战斗吧，指挥官。	[3.0, 3.0, 3.0, 3.0]		2
301311224	累积下来的一切都会化为记忆，留在我的意识海之中。	[6.0, 6.0, 6.0, 6.0]		1
301311225	我好像逐渐开始喜欢上了……	[6.0, 6.0, 6.0, 6.0]		1
301311226	……可以的话，我想要先做点心理准备……	[6.0, 6.0, 6.0, 6.0]		1
301311227	你就是新指挥官啊……别犯蠢就好了。	[6.0, 6.0, 6.0, 6.0]		1
301311228	我并不需要套近乎。	[4.0, 4.0, 4.0, 4.0]		1
301311228	……看着我干什么？	[3.0, 3.0, 3.0, 3.0]		2
301311229	你很闲？那和我来一场训练赛怎么样？	[5.0, 5.0, 5.0, 5.0]		1
301311210	对于你，我好像也习惯了。	[5.0, 5.0, 5.0, 5.0]		1
301311211	只是刚好今天轮到我值班罢了，并没有刻意在这里等你回来。	[6.0, 6.0, 6.0, 6.0]		1
301311212	有什么困难一定要跟我说，别自己傻扛着。	[5.0, 5.0, 5.0, 5.0]		1
301311213	我很高兴你也愿意继续了解我……	[5.0, 5.0, 5.0, 5.0]		1
301311214	指挥官……我是丽芙……一定会帮上忙的	[6.0, 6.0, 6.0, 6.0]		1
301311215	指挥官早安，请按时进食，否则会出现低血糖等症状	[6.0, 6.0, 6.0, 6.0]		1
301311216	指挥官可以再多告诉我一些……关于您的事情吗？	[6.0, 6.0, 6.0, 6.0]		1
301311217	丽芙最近应该有帮上忙吧？我有很努力的在训练自己的战斗呢	[6.0, 6.0, 6.0, 6.0]		1
301311218	很高兴能和指挥官这样亲密。	[4.0, 4.0, 4.0, 4.0]		1
301311219	和你的相遇，是最幸运的事	[4.0, 4.0, 4.0, 4.0]		1
301311200	嗯？你是怕黑吗？那……丽芙再陪您一会儿吧！	[6.0, 6.0, 6.0, 6.0]		1
301311201	如果可以，如果可能，丽芙希望有一天能陪着你看日出日落。	[6.0, 6.0, 6.0, 6.0]		1
301311202	能够成为“回忆”珍藏的礼物七实收到已经够多了啦~	[4.5, 4.5, 4.5, 4.5]		1
301311202	接下来就轮到七实送出回礼了……	[3.5, 3.5, 3.5, 3.5]		2
301311202	送给大家名为“未来”的礼物……	[5.0, 5.0, 5.0, 5.0]		3
710300150	随机头像切换	[-1.0, -1.0, -1.0, -1.0]		1
710300156	我是灰鸦小队队长，露西亚	[3.0, 3.0, 3.0, 3.0]		1
710300157	我是丽芙，来自灰鸦小队	[3.0, 3.0, 3.0, 3.0]		1
710300158	现在正是高潮一刻！	[3.0, 3.0, 3.0, 3.0]		1
710300159	艾拉已经准备好了！	[3.0, 3.0, 3.0, 3.0]		1
710300160	我也不知道我为什么在这里。	[3.0, 3.0, 3.0, 3.0]		1
10181401	一张很久以前的海报	[2.0, 2.0, 2.0, 2.0]		1
10181401	画中似乎是一款游戏的角色	[2.0, 2.0, 2.0, 2.0]		2
10181401	不知为何过了这么长时间仍未褪色	[2.0, 2.0, 2.0, 2.0]		3
10181402	垃圾箱里空空如也	[2.0, 2.0, 2.0, 2.0]		1
10181403	在灯光衬托下的温馨一隅	[2.0, 2.0, 2.0, 2.0]		1
10181403	桌椅散乱地摆放着	[2.0, 2.0, 2.0, 2.0]		2
10181403	仿佛前不久人们才在这狂欢后纷纷离场	[2.0, 2.0, 2.0, 2.0]		3
10181404	“警告……离开……”	[2.0, 2.0, 2.0, 2.0]		1
10181404	这些感染体看起来都是空中花园的构造体呢……大家发生了什么？	[2.0, 2.0, 2.0, 2.0]		2
10181405	好像是从什么大块头家伙身上掉下来的部件……这个零件似乎能用。	[2.0, 2.0, 2.0, 2.0]		1
10181406	“通向……更美好的未来……”	[2.0, 2.0, 2.0, 2.0]		1
10181406	七实也希望呢。	[1.0, 1.0, 1.0, 1.0]		2
10181407	一个中继站废墟	[2.0, 2.0, 2.0, 2.0]		1
10181407	一些信号单元仍在工作	[2.0, 2.0, 2.0, 2.0]		2
10181701	“母体……又发现了3只母体……已、已经全部进入孵化阶段了！”	[3.0, 3.0, 3.0, 3.0]		1
10181701	“快离开那里！撤退！撤退！！”	[2.0, 2.0, 2.0, 2.0]		2
10181701	“东部战区全部沦陷……所有生体信号都是那群人形异合生物体的伪装……这里是陷阱……”	[5.0, 5.0, 5.0, 5.0]		3
10181701	破碎的哀嚎从线路混乱的通讯信道传来。	[3.0, 3.0, 3.0, 3.0]		4
10181701	末日具象化为无数惨白的人形，血与红潮的腥气在空气中蔓延。	[3.0, 3.0, 3.0, 3.0]		5
10181701	——这颗星球已不再存在任何安全的角落。	[3.0, 3.0, 3.0, 3.0]		6
10181400	七实曾以为，空中花园会永远都在天上的某处，那里的朋友们永远都会注视着七实。	[3.0, 3.0, 3.0, 3.0]		1
10181400	......但或许，这并不是必然。	[3.0, 3.0, 3.0, 3.0]		2
