Id	Order	Text
1	1	拖动军队单位攻击敌人
2	2	击败敌人解锁关卡
3	3	点击关卡入口推进关卡
4	4	点击关卡入口推进关卡
5	5	点击关卡入口推进关卡
6	6	点击关卡入口推进关卡
7	7	拖动军队攻击桥对面的敌人
8	8	击败敌人解锁关卡
9	9	击败敌人解锁关卡
10	10	击败敌人解锁关卡
11	11	点击关卡入口推进关卡
12	12	击败敌人解锁关卡
13	13	击败敌人解锁关卡
14	14	点击关卡入口推进关卡
15	15	点击关卡入口推进关卡
16	16	击败敌人解锁关卡
17	17	点击关卡入口推进关卡
18	18	击败所有敌人解锁关卡
19	19	击败所有敌人解锁关卡
20	20	击败所有敌人解锁关卡
21	21	击败所有敌人解锁关卡
22	22	点击关卡入口推进关卡
23	23	点击关卡入口推进关卡
24	24	点击关卡入口推进关卡
25	25	点击关卡入口推进关卡
26	26	战局焦灼，优先击败低防御的敌人
27	27	战局焦灼，优先击败低防御的敌人
28	28	点击关卡入口推进关卡
29	29	点击关卡入口推进关卡
30	30	击败低防御敌人，该军队获得大量增益
31	31	击败所有敌人解锁关卡
32	32	击败所有敌人解锁关卡
33	33	击败所有敌人解锁关卡
34	34	击败所有敌人解锁关卡
35	35	击败所有敌人解锁关卡
36	36	击败所有敌人解锁关卡
37	37	击败所有敌人解锁关卡
38	38	击败所有敌人解锁关卡
39	39	击败所有敌人解锁关卡
40	40	击败所有敌人解锁关卡
41	41	击败所有敌人解锁关卡
42	42	击败所有敌人解锁关卡
43	43	击败所有敌人解锁关卡
44	44	点击关卡入口推进关卡
45	45	点击关卡入口推进关卡
46	46	点击关卡入口推进关卡
47	47	点击关卡入口推进关卡
