Id	SkillId	Level	Name	Intro	Icon	EntryId	TypeDes	Tag	Title	BriefDes	SpecificDes
1	102101	1	红莲-起手式		Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png		红色信号球		{1: '红色信号球 — <color=#40B0FF>消除红色信号球</color>'}	{1: '朝前突刺，拉扯命中的目标，造成物理伤害。'}	{1: '朝前突刺，拉扯命中的目标，造成物理伤害。\\n-根据消球数造成<color=#FF8C5F>200%</color>/<color=#FF8C5F>400%</color>/<color=#FF8C5F>600%</color>的物理伤害。'}
2	102102	1	红莲-闪击		Assets/Product/Texture/Image/IconSkill/R1luxiyahuang1.png		黄色信号球		{1: '黄色信号球 — <color=#40B0FF>消除黄色信号球</color>'}	{1: '向目标快速发动一次攻击，击飞命中目标，造成物理伤害。'}	{1: '向目标快速发动一次攻击，击飞命中目标，造成物理伤害。\\n-根据消球数造成<color=#FF8C5F>250%</color>/<color=#FF8C5F>500%</color>/<color=#FF8C5F>750%</color>的物理伤害。'}
3	102103	1	红莲-波动斩		Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png		蓝色信号球		{1: '蓝色信号球 — <color=#40B0FF>消除蓝色信号球</color>'}	{1: '武器爆发造成物理伤害，同时在一定时间内为所有攻击附加火属性伤害。'}	{1: '武器爆发造成物理伤害，同时在一定时间内为所有攻击附加火属性伤害。\\n-根据消球数造成<color=#FF8C5F>200%</color>/<color=#FF8C5F>400%</color>/<color=#FF8C5F>600%</color>的物理伤害。\\n-根据消球数附加<color=#FF8C5F>8%</color>/<color=#FF8C5F>16%</color>/<color=#FF8C5F>24%</color>的攻击力，持续<color=#FF8C5F>7</color>秒。'}
4	102104	1	红莲-迅刀式		Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png		普通攻击		{1: '普通攻击 — <color=#40B0FF>点击普通攻击</color>'}	{1: '使用红莲迅刀式连续攻击敌人，造成物理伤害。'}	{1: '使用红莲迅刀式连续攻击敌人，造成物理伤害。\\n-共造成<color=#FF8C5F>660%</color>的物理伤害。'}
5	102105	1	红莲-双刀术		Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png		核心被动		{1: '核心被动 — <color=#40B0FF>任意3消+消除红色信号球</color>'}	{1: '任意3消后，4秒内再次消除红色信号时，露西亚·红莲进入爆发状态，将使用<color=#FF8C5F>双刀术</color>代替普通攻击。红莲-双刀术：连续攻击敌人造成物理伤害。'}	{1: '任意3消后，4秒内再次消除红色信号时，露西亚·红莲进入爆发状态，将使用<color=#FF8C5F>双刀术</color>代替普通攻击。红莲-双刀术：连续攻击敌人造成物理伤害。\\n-共造成<color=#FF8C5F>1050%</color>的物理伤害。'}
6	102106	1	流刃式		Assets/Product/Texture/Image/IconSkill/DlcFightPugong.png		狩捕普攻		{1: '狩捕 — <color=#40B0FF>点击狩捕按钮</color>', 2: '流刃式 — <color=#40B0FF>进入狩捕后+点击普攻</color>'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。', 2: '在空中对目标连续投掷飞刃，造成物理伤害。'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。\\n-造成<color=#FF8C5F>120%</color>的物理伤害。', 2: '在空中对目标连续投掷飞刃，造成物理伤害。\\n-共造成<color=#FF8C5F>665%</color>的物理伤害。'}
7	102107	1	飞刃莲华		Assets/Product/Texture/Image/IconSkill/DlcFightXiaoqiu.png		狩捕消球		{1: '飞刃莲华  — <color=#40B0FF>进入狩捕后+消除信号球</color>'}	{1: '蓄力并对目标投出飞刀，造成物理伤害。'}	{1: '蓄力并对目标投出飞刀，造成物理伤害。\\n-根据连消次数造成<color=#FF8C5F>280%</color>/<color=#FF8C5F>1260%</color>/<color=#FF8C5F>2100%</color>的物理伤害。'}
8	102109	1	红莲极意		Assets/Product/Texture/Image/IconSkill/R1luxiyadazhao1.png		狩捕终结		{1: '红莲极意— <color=#40B0FF>完成狩捕</color>'}	{1: '在空中对钉入部位进行数次斩击后将限制装置完全钉入目标部位，斩击造成物理伤害。'}	{1: '在空中对钉入部位进行数次斩击后将限制装置完全钉入目标部位，斩击造成物理伤害。\\n-共造成<color=#FF8C5F>6300%</color>的物理伤害。'}
9	104301	1	疾雷之矢		Assets/Product/Texture/Image/IconSkill/R3biankahong1.png		红色信号球		{1: '红色信号球 — <color=#40B0FF>消除红色信号球</color>'}	{1: '原地拉弓蓄力，朝前方发射一支远距离能量箭，能量箭可贯通地方，造成物理伤害。'}	{1: '原地拉弓蓄力，朝前方发射一支远距离能量箭，能量箭可贯通地方，造成物理伤害。\\n-根据消球数最高共造成<color=#FF8C5F>375%</color>/<color=#FF8C5F>750%</color>/<color=#FF8C5F>1125%</color>的物理伤害。'}
10	104302	1	超频骤雷		Assets/Product/Texture/Image/IconSkill/R3biankahuang1.png		黄色信号球		{1: '黄色信号球 — <color=#40B0FF>消除黄色信号球</color>'}	{1: '闪现至空中，朝目标方向发射一支充能箭，充能箭爆炸时造成物理伤害。爆炸产生能量区域，持续造物理伤害。'}	{1: '闪现至空中，朝目标方向发射一支充能箭，充能箭爆炸时造成物理伤害。爆炸产生能量区域，持续造物理伤害。\\n-根据消球数，充能箭造成<color=#FF8C5F>150%</color>/<color=#FF8C5F>300%</color>/<color=#FF8C5F>450%</color>的物理伤害。\\n-根据消球数，能量区域持续造成<color=#FF8C5F>30%</color>/<color=#FF8C5F>60%</color>/<color=#FF8C5F>90%</color>的物理伤害。'}
