Id	DisplayAttriName	DisplayAttriType
1041002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1011002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1051003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1131002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1021001	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1081003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1061002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1031003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1021002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1071002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1161002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1121002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1211002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1071003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1011003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1091002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1111002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1021003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1051001	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1061003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1031001	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1081002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1041003	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1531004	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1231002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1221002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
1031002	['攻击', '防御', '会心', '生命']	[11, 23, 44, 1]
