Id	Name	SubName	MonsterNpcDataId	IsBoss	Scale	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ
1	武藏陆型	Musashi Mk.VI	90420		1.0						
2	华胥	Hua Xu	83520	1	1.2999		-0.6				
3	遗迹挖掘者	Picker	90220		1.45						
4	遗迹勘探者	Dowser	90370		1.2						
5	禁卫	Praetorian	91340		0.85						
6	异合分解单元	Xeno-disassemble unit	91600		1.4199						
7	仿生蝾螈	Bionic Newt	92260		1.0						
8	布道者	Evangelists	90170		1.35						
9	蔷薇之剑	Roseblade	81300	1	1.4199						
10	武藏玖型	Musashi Mk.IX	812000	1	1.0499						
11	阿茂	Sige-san	92740		0.8999						
12	巡境者	Patrol	90110		1.1						
13	消防卫士	Fire Engine	90350		0.8						
14	凯西	Kelsi	90710		1.0						
15	海5-灯乌贼	O5-Squid	90770		1.2999						
16	空7-雪鸮	A7-Bubo Scandiaca	90750		0.8						
17	陆3-长耳兔	L3-Fuzzy lop	90760		1.25						
18	喷涂机械	Spraying Machine	81500		0.6999						
19	异合勘探单元	Xeno-recon unit	90630		0.6999						
20	执行者	Executor	91180		1.2						
21	卡穆	Camu	83100	1	1.5						
22	园丁	Gardener	91210		1.0						
23	守护者	Guardian	91190		1.2						
24	巡境者	Partol unit	91110		1.0						
25	九龙众 睚眦	Yazi	90680		1.3999						
26	烟粉 壹型	Yanfen	90670		1.6						
27	不明构造体α	α	81900	1	1.3999						
28	极地机兵	Polar Ranger	90450		0.9499						
29	力士 陆型	Lishi Mk.VI	90640		0.8999						
30	舞轮 肆型	Wulun Mk.IV	90650		1.2						
31	异聚哨戒机炮	Xeno-sentry gun	91480		1.5						
32	瓦沙克		81800	1	0.4						
33	鲨士碧儿	Sharkspeel	837100	1	0.8999						
34	安博莉亚	Amberia	83800	1	0.66	0.15		-0.4399			
35	墨鸢		90800		1.45						
36	骁卫壹型		90790		1.1599						
37	加百列		836000	1	0.9499	0.14					
38	枢蛉后		841000	1	1.0						
39	禄存		90690		1.45						
40	至尊		90700		1.3999						
41	罗兰		816000	1	1.3999						
42	红莲		70020	1	1.2999						
43	异火		70010	1	1.2999						
44	蚀暗		70030	1	1.2999						
45	曲		835000	1	1.6						
46	吊人 叁型		90660		1.1						
47	马天尼		90720		1.0						
48	信使		90330		1.1						
49	酸液工蚁		90410		0.6						
50	地面监视器		90090		1.2						
51	异聚液压		90470		0.8999						
52	深海潜伏者		90460		1.2999						
53	罗塞塔		83220	1	1.2						
54	哨戒机炮		90160		1.0						
55	异聚火力单元		90620		1.1						
56	自律警卫		90440		0.8999						
57	蠃		90830		0.8						
58	刺钳蝎		90940		1.0						
59	异合修复单元		90610		1.2						
60	驯兽师		90130		1.1499						
61	分解者		90360		1.2999						
62	波普尔		92860		1.0						
63	白先生		90730		1.0						
64	异聚空中监视器		90490		1.0						
65	极地熊		90780		1.1						
66	雅斯贝尔斯		90870		0.8999						
67	重型收割机		90390		0.4						
68	浪人肆型		90250		1.25						
69	萤灯鱼		90930		1.1						
70	贝雅		90960		1.7999						
71	M4-医疗机		90970		1.3999						
72	露娜		83900	1	1.5						
73	感染构造体		90890		1.0						
74	仿生斗牛		90400		1.0						
75	齿轮		90910		0.8						
76	警长PK43		90980		0.6					-25.0	
77	异聚终端		90500		1.0						
78	构解囚徒		90950		0.8999						
79	马基雅维利		84200	1	0.8						
80	太阿		92810		1.2999					-15.0	
81	异合分解单元	Xeno-disassemble unit	91600		1.0						
82	鲨士碧儿	Sharkspeel	837000	1	0.8999	-0.2		-0.3			
83	曲		835000	1	1.6						
84	修理机工		90030		1.2999						
85	空中监视器		90100		1.2						
86	保护者		90120		1.0						
87	液压		90150		1.0						
88	株		90850		1.0						
89	海鞘		90900		1.2						
90	构造体		90380		1.2999						
91	构造体队员（女）		93050		1.2999						
92	类人		93030		1.7						
93	DB02-洁霸		93010		1.0						
94	SSG-游曳者		93020		1.0						
95	先锋冲浪者		90990		1.1499						
96	塞壬		84300	1	0.6						
97	帕弥什异聚母体		84400	1	0.55		-4.51				
98	拉弥亚		846000	1	0.6999						
99	鲨士碧儿	Sharkspeel	837000	1	0.8999	0.09					
100	Nalasr-E		93180		1.0						
101	Heal-Z		93190		1.0						
102	仿钳宿体		93301		1.0						
103	Courier-M		93230		1.0						
104	Deporter-R		93221		1.0						
105	嘿帮小弟		93160		1.0						
106	如日天		82200	1	1.0						
107	暴动		82150	1	1.0						
108	赤礁宿体		93291		1.0						
109	意识实验体		93381		1.0						
110	意识实验体		93391		1.0						
111	圣堂守卫		93070		1.0						
112	命运之轮		93170		1.0						
113	黑鲨碧		837100		1.0						
114	机械异种		93361	1	0.8						
115	苦刑之女·幻妄		81720	1	1.0						
116	精灵		93101		1.0						
117	树怪		93110		1.0						
