Id	Name	Type	Quality	Description	WorldDescription	Icon	BigIcon	IconPath	SceneModelId	LockDec	ShowStr	Priority	IsFree	IsMainScene	ParticleGroupName	Tag	SwitchDesc	SceneRotation	ItemKey	ItemCount	SkipId	IsEnvMusic
14000001	战备部署	1	4	默认主场景	精英小队配给的战备部署室，也是指挥官的办公室，搭载了多种功能，能够应付各种突发情况。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dSp.png	Assets/Product/Texture/Image/IconTools/IconMain3d.png	Assets/Product/Texture/Image/UiPhotograph/scene01.png	1	默认拥有		10	1	1	FxUiSceneMain02	['低电量模式']	['正常', '低电量']		49	23		
14000002	闲庭疏影	3	5	获得后解锁该场景	以九龙庭院为原型制作的投影景观，飘零的落叶与配套冷气设备，无论在什么季节都能完美还原九龙的秋天。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dGuofengSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dGuofeng.png	Assets/Product/Texture/Image/UiPhotograph/scene02.png	2	周年贺礼签到获得		11							49	23	80153	
14000003	银光教堂	1	5	获得后解锁该场景	以过去的教堂为原型制作的投影景观，银色晨光从窗间透出，永恒的誓言亦始于此处。	Assets/Product/Texture/Image/IconToolsSp/IconMain3djiaotangSp.png	Assets/Product/Texture/Image/IconTools/IconMain3djiaotang.png	Assets/Product/Texture/Image/UiPhotograph/scene03.png	3	二周年贺礼签到获得		12				['低电量模式']	['正常', '低电量']		49	23	80153	
14000004	耀阳映画	2	5	获得后解锁该场景	取黄金时代最火爆的度假胜地制作的投影景观。盛夏的海滨，阳光灿烂，水波辽阔，海浪的声音让人惬意。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dXiahuoSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dXiahuo.png	Assets/Product/Texture/Image/UiPhotograph/scene04.png	6	三周年贺礼签到获得		13				['昼暮模式']	['白昼', '黄昏']	1	49	23	80153	
14000005	白梦游弋	3	6	获得后解锁该场景	那是她梦境的终点，本该是万籁俱寂的沉眠之地，此刻，却早已拥有了不同的意义。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dBiancaSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dBianca.png	Assets/Product/Texture/Image/UiPhotograph/scene05.png	7	【拾梦白菀】研发获得		14				['实时时钟', '专属音乐']			49	33		
14000006	家园	3	5	获得后解锁该场景	愿每一位重返家园的人类之子平安。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dSpaceSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dSpace.png	Assets/Product/Texture/Image/UiPhotograph/scene06.png	8	四周年贺礼签到获得		15							49	23	80153	
14000007	溺梦游歌	2	6	获得后解锁该场景	再次回到这里，你还会记得她哼唱的旋律吗？	Assets/Product/Texture/Image/IconToolsSp/IconMain3dLamiyaSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dLamiya.png	Assets/Product/Texture/Image/UiPhotograph/scene07.png	9	【茕心溯愿】研发获得		16				['昼夜模式', '专属音乐']	['白昼', '夜晚']	1	49	33		
14000008	鸣神叹妙	2	6	获得后解锁该场景	山椿亭亭，远雷之鸣，一刹余音。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dAlphaSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dAlpha.png	Assets/Product/Texture/Image/UiPhotograph/scene08.png	10	【赤樗椿】研发获得		17				['昼夜模式', '专属音乐']	['白昼', '夜晚']	1	49	33		
14000009	花溪憩乡	3	5	获得后解锁该场景	以恬静的乡野为原型制作的投影景观，清澈的溪水穿过盛开的花田，阳光洒落，满是自然的恬适与安逸。	Assets/Product/Texture/Image/IconToolsSp/IconMain3d5ThSp.png	Assets/Product/Texture/Image/IconTools/IconMain3d5Th.png	Assets/Product/Texture/Image/UiPhotograph/scene09.png	11	五周年贺礼签到获得		18							49	23		
14000010	离诗遗城	3	6	获得后解锁该场景	神遗之地，死城颓圮。	Assets/Product/Texture/Image/IconToolsSp/IconMain3dLunaSp.png	Assets/Product/Texture/Image/IconTools/IconMain3dLuna.png	Assets/Product/Texture/Image/UiPhotograph/scene10.png	12	限时采购中购买获得		19				['专属音乐']			49	23		
