Id	Desc	Param
100001	新手关1	
100002	新手关2	
100003	新手关3	
100004	动态漫	
50000	引导进入1-1	[2, 10010101, 1]
50101	领取任务1-2奖励	[3, 101]
50102	装备第一个意识	[1]
50103	装备第二个意识	[1]
50201	领取奖励丽芙	[12, 10010103]
50202	引导升级丽芙	[1]
50203	引导上阵丽芙	[1]
50301	完成1-4 引导露西亚升级（原为露西亚技能升级）	[1]
50611	完成1-4 引导疾雷手册	[1]
50401	完成1-6 引导新手目标	[1]
50501	完成1-6 引导意识装备（原为1-8引导晋升）	[1]
50610	完成1-11 引导成员进化	[1]
50612	完成1-11 红莲引导回主线	[1]
50613	完成1-12 引导疾雷手册 领取雷毛	[1]
50614	完成1-12 引导疾雷手册 雷毛教学	[1]
50615	完成1-12 引导疾雷手册 关注21号	[1]
50616	lv11 从任务界面 领取21号	[1]
50617	21号进教学	[1]
50618	关注后续	[1]
50619	疾雷手册 关注剩余任务	[1]
50601	发放紫刀	[1]
50602	装备紫刀	[1]
50603	强化紫刀	[1]
50604	完成1-6 测试武器进主线	[1]
50701	完成1-8 开抽卡发研发券	[1]
50800	完成1-8 抽出七实	[1]
50801	完成1-8 引导武器研发	[1]
50802	升级七实	[1]
50803	上阵七实	[1]
50804	完成1-8 七实引导回主线	[1]
50901	完成1-8 引导成员介绍（原为2-1再次引导主线）	[1]
50902	完成1-8 引导检定研发	[1]
50931	完成2-2 引导日常副本（原为单个日常副本）	[1]
50932	完成1-12 引导意识购买	[1]
51001	了解商店与货币	[1]
51101	了解赛利卡补习班	[1]
51201	了解技能本	[1]
51301	了解金币本	[1]
51401	了解装备经验	[1]
51501	了解装备突破	[1]
51601	了解意识营救战	[1]
51701	引导隐藏剧情	[1]
51801	引导使用扫荡	[1]
51901	引导进高级装备本	[1]
52001	引导看角色详情	[1]
52031	试验场	[1]
52101	了解角色收集	[1]
52201	参与联机boss	[1]
52301	使用助战	[1]
52401	引导前传副本	[1]
52501	了解时装	[1]
52601	引导赏金任务	[1]
52602	引导维系者行动	[1]
52701	了解宿舍	[1]
52702	宿舍2	[1]
52703	宿舍3	[1]
52704	宿舍4	[1]
52705	宿舍5	[1]
52706	宿舍6	[1]
52707	完成4-2 引导宿舍委托	[1]
52708	完成4-2 引导宿舍委托奖励领取	[1]
52731	引导公会系统	[1]
52801	引导纷争战区	[1]
52802	引导全境支援	[1]
52803	引导熵钟异数	[1]
52901	引导幻痛囚笼	[1]
52902	引导幻痛囚笼离群点	[1]
52931	勋章引导	[1]
52961	引导异聚迷宫	[1]
52962	引导SP角色教学关	[1]
52991	引导资源商店	[1]
53001	引导探索玩法	[1]
53101	引导据点玩法	[1]
53002	引导虚像地平线	[1]
53003	引导跑团新主线	[1]
53004	引导拍照模式	[1]
53005	引导师徒系统	[1]
53015	引导师徒系统	[1]
53006	引导二期虚像地平线	[1]
53007	尼尔玩法引导	[1]
53008	口袋战双引导	[1]
53009	战棋玩法引导	[1]
53010	尼尔玩法培养引导	[1]
53011	尼尔玩法关卡引导	[1]
53012	模拟作战引导	[1]
53013	模拟作战挑战难度引导	[1]
53201	完成2-4 引导考级系统	[1]
53202	完成2-4 引导课程界面	[1]
53203	完成2-4 引导执照界面	[1]
53204	完成2-4 引导执照关卡界面	[1]
53501	引导破甲型/装甲型介绍	[1]
53300	Lv70 引导端域公约	[1]
53301	引导边界公约驻守成员	[1]
53401	引导装备目标推荐	[1]
53402	引导使用装备目标	[1]
80901	完成1-12 引导新版剧情界面	[1]
80902	完成1-12 新玩家剧情指引（第九章）	[1]
80903	完成1-12 新玩家剧情指引（最新章）	[1]
50402	Lv13 引导每日任务	[1]
54020	超级据点引导分组	[1]
54021	超级据点引导1	[1]
54022	超级据点引导2	[1]
54023	超级据点引导3	[1]
54024	超级据点引导4	[1]
54025	超级据点引导发电	[1]
54026	超级据点引导扫荡	[1]
54031	引导宠物	[1]
54032	引导宠物材料本	[1]
54041	引白色情人节活动	[1]
54042	引导RPG玩法	[1]
54051	引导文化祭基础	[1]
54052	引导文化祭每日	[1]
54053	引导文化祭副本	[1]
54054	引导文化祭副本	[1]
54101	Lv60 引导衣橱套装	[1]
55011	引导界限构解基础	[1]
55012	引导界限改造交互	[1]
55021	引导骇入玩法	[1]
55031	引导夺粽玩法	[1]
55032	引导夺粽活动	[1]
55041	引导超级爬塔主界面	[1]
55042	引导无限爬塔主界面	[1]
55043	引导超级爬塔抽奖	[1]
55044	引导超级爬塔商店	[1]
55045	引导超级爬塔角色超限	[1]
55046	引导超级爬塔特种增幅	[1]
56011	引导踏桂寻兔玩法	[1]
56012	引导踏桂寻兔活动	[1]
56021	引导链合回路玩法	[1]
56022	引导链合回路活动	[1]
57011	引导巴别塔岖夜行玩法	[1]
57012	引导巴别塔岖夜行活动	[1]
57021	引导超限乱斗玩法	[1]
57022	引导超限乱斗界面	[1]
57023	引导超限乱斗活动	[1]
57024	引导超限乱斗编队	[1]
57025	引导超限乱斗成员整备	[1]
57031	引导全服决战玩法	[1]
57032	引导全服决战战况界面	[1]
57033	引导全服决战详情界面	[1]
57034	引导全服决战特遣角色界面	[1]
57035	引导全服决战战术增幅	[1]
57036	引导全服决战阶段战果	[1]
57041	引导界限构解2期基础	[1]
57042	引导界限改造2期交互	[1]
58011	引导肉鸽玩法主界面	[1]
58012	引导肉鸽角色招募	[1]
58013	引导肉鸽副本选择	[1]
58014	引导肉鸽队伍等级提升	[1]
58015	引导肉鸽势力选择	[1]
58016	引导肉鸽好感系统	[1]
58017	引导肉鸽帷幕舞台	[1]
58021	引导异构阵线主界面	[1]
58031	引导末日生存主界面	[1]
58032	引导末日生存关卡	[1]
58033	引导末日生存探索队伍	[1]
58034	引导末日生存探索地点	[1]
59011	引导三消2期玩法	[1]
59021	引导战双大逃杀	[1]
59022	引导战双大逃杀队伍界面	[1]
59031	引导独域特攻玩法	[1]
59032	引导独域特攻供能效果	[1]
59033	引导独域特攻中枢区域	[1]
60001	引导落梅融雪界面	[1]
60011	引导凛冬序列界面	[1]
60012	引导凛冬序列玩法	[1]
60021	引导RPG玩法4期界面	[1]
60022	引导RPG玩法4期玩法	[1]
60031	引导公会战界面入口	[1]
60032	引导公会战玩法界面	[1]
60101	引导分光双星主界面	[1]
60111	引导音游主界面	[1]
60112	引导音游校准关	[1]
60121	引导极域协作主界面	[1]
60122	引导极域协作天赋技能	[1]
60123	引导极域协作单人副本	[1]
60124	引导极域协作多人副本	[1]
60131	引导独域特攻二期主界面	[1]
60132	引导独域特攻二期教学	[1]
60201	引导文化祭2.0基础	[1]
60202	引导文化祭2.0每日	[1]
60203	引导文化祭2.0抽奖	[1]
60204	引导文化祭2.0跑酷	[1]
60211	引导自走棋3.0主界面	[1]
60221	引导公会宿舍	[1]
60231	引导超限乱斗2.0玩法	[1]
60232	引导超限乱斗2.0场景	[1]
60233	引导超限乱斗2.0编队	[1]
60234	引导超限乱斗2.0成员整备	[1]
60301	引导公会拟真围剿	[1]
60302	引导公会拟真围剿难度选择	[1]
60303	引导公会拟真围剿流派选择	[1]
60311	引导模拟经营2.0主界面	[1]
60312	引导模拟经营2.0关卡	[1]
60313	引导模拟经营2.0探索	[1]
60314	引导模拟经营2.0探索地点	[1]
60315	引导模拟经营2.0结束	[1]
60321	引导界限构解3期基础	[1]
60322	引导界限构解3期改造	[1]
60323	引导界限构解3期交互	[1]
60324	引导界限构解3期多波次	[1]
60331	引导正逆塔主界面	[1]
60332	引导正逆塔逆塔玩法	[1]
60333	引导正逆塔构想点	[1]
60401	引导肉鸽2.0主界面	[1]
60402	引导肉鸽2.0难度选择	[1]
60403	引导肉鸽2.0角色选择	[1]
60404	引导肉鸽2.0玩法界面	[1]
60405	引导肉鸽2.0首次结算	[1]
60406	引导肉鸽2.0技能能力	[1]
60407	引导肉鸽2.0成就系统	[1]
60408	引导肉鸽2.0灵智系统	[1]
60411	引导七夕抽卡玩法	[1]
60421	引导众志行征2.0界面入口	[1]
60422	引导众志行征2.0玩法界面	[1]
60423	引导众志行征2.0支援角色	[1]
60424	引导众志行征2.0Boss挑战	[1]
