Id	Options	TimeToEnd	Style
1503011701	{1: '答应', 2: '拒绝'}		1
101012601	{1: '离开这里', 2: '握住露娜的手'}		1
1013013001	{1: '链接', 2: '不链接'}	5.0	1
1501040501	{1: '卷饼三明治。', 2: '萨费恩三明治。', 3: '口令、记得的。', 4: '萨费恩的意志。'}	10.0	1
1501040502	{1: '使用伪装（涉及解密）', 2: '不使用伪装（涉及战斗）'}	5.0	1
10140901	{1: '转动阀门', 2: '暂时不转'}		1
10140902	{1: '关于钥匙…', 2: '暂时离开'}		1
10140903	{1: '打开门并进入', 2: '暂时离开'}		1
10140904	{1: '打开门', 2: '暂不打开门'}		1
10140905	{1: '捡起钥匙', 2: '暂不捡起'}		1
10140906	{1: '操作设备', 2: '暂时不动'}		1
10141201	{1: '先处理红潮', 2: '先寻找控制室'}		1
11150300	{1: '休闲区域', 2: '大厅区域', 3: '餐厅区域', 4: '哪都不去'}		1
11150301	{1: '与设备互动', 2: '离开'}		1
11150302	{1: '与设备互动', 2: '尝试强制破解'}		1
11150303	{1: '与设备互动', 2: '离开', 3: '以设备作为支点强行破解'}		1
11150310	{1: '休闲区域（当前目的）', 2: '大厅区域', 3: '餐厅区域', 4: '哪都不去'}		1
11150311	{1: '休闲区域', 2: '大厅区域（当前目的）', 3: '餐厅区域', 4: '哪都不去'}		1
11150312	{1: '休闲区域', 2: '大厅区域', 3: '餐厅区域（当前目的）', 4: '哪都不去'}		1
11150378	{1: '日志A'}		1
11150379	{1: '确认', 2: '取消'}		1
11150380	{1: '重置日志', 2: '日志A（当前）'}		1
11150381	{1: '重置日志', 2: '日志A（当前）', 3: '日志B'}		1
11150382	{1: '重置日志', 2: '日志A', 3: '日志B（当前）'}		1
11150383	{1: '重置日志', 2: '日志A（当前）', 3: '日志B', 4: '日志C'}		1
11150384	{1: '重置日志', 2: '日志A', 3: '日志B（当前）', 4: '日志C'}		1
11150385	{1: '重置日志', 2: '日志A', 3: '日志B', 4: '日志C（当前）'}		1
11150400	{1: '确认', 2: '取消'}		1
11150401	{1: '日志A', 2: '取消'}		1
11150402	{1: '日志B', 2: '取消'}		1
11150403	{1: '日志C', 2: '取消'}		1
