Id	Priority	Ignore	Desc	GuideType	ConditionId	CompleteId	ActiveUi	CheckNodeActive	RewardId	GroupId
100001	1	1	新手关1	2	[850000]	100001	UiMain			1
100002	2	1	新手关2	2	[850000]	100002	UiMain			1
100003	3	1	新手关3	2	[850000]	100003	UiMain			1
100004	4	1	动态漫	2	[850000, 863058]	100004	UiMain			1
50000	50000	1	引导进1-1	1	[850000, 863057]	50000	UiMain			50000
50101	50101	1	（废弃）领取任务1-2奖励	1	[200000]	50101	UiMain			50101
50102	50102	1	（废弃）装备第一个意识	1	[200000]	50102	UiMain			50101
50103	50103	1	（废弃）装备第二个意识	1	[200000]	50103	UiEquipAwarenessReplace|UiMain			50101
50201	50201	1	完成1-3 领取奖励丽芙	1	[70102]	50201	UiFubenMainLineChapter	FuBenNor01(Clone)		50201
50202	50202	1	（废弃）引导升级丽芙	1	[200000]	50202	UiMain			50201
50203	50203	1	完成1-3 引导上阵丽芙	1	[70102, 863074]	50203	UiBattleRoleRoom			50201
50301	50301	1	完成1-4 引导露西亚升级（原为露西亚技能升级）	1	[70103]	50301	UiMain			50301
50610	50610	1	完成1-11 引导成员进化	1	[84100111, 863057]	50610	UiMain			50610
50611	50611	1	完成1-4 引导疾雷手册	1	[70103, 863057]	50611	UiMain	GridBtnActivity13		50611
50612	50612	1	完成1-11 红莲引导回主线	1	[863065, 863066]	50612	UiMain			50612
50613	50613	1	完成1-12 引导疾雷手册 领取雷毛	1	[84100112, 863060]	50613	UiMain	GridBtnActivity13		50613
50614	50614	1	完成1-12 引导疾雷手册 雷毛教学	1	[84100112, 863067]	50614	UiWheelchairManualMain			50614
50615	50615	1	完成1-12 引导疾雷手册 关注21号	1	[84100112, 863096]	50615	UiWheelchairManualMain			50615
50616	50616	1	Lv11 从任务界面 领取21号	1	[84100904, 770417, 863106]	50616	UiFubenMainLineChapter|UiMain			50616
50617	50617	1	Lv11 疾雷手册 21号进教学	1	[84100904, 863090, 863093]	50617	UiWheelchairManualMain			50617
50618	50618	1	Lv11 疾雷手册 关注后续	1	[84100904, 863091]	50618	UiWheelchairManualMain			50618
50619	50619	1	Lv11 疾雷手册 关注剩余任务	1	[770424, 863092]	50619	UiMain	GridBtnActivity13		50619
50401	50401	1	Lv11 引导新手目标	1	[770417]	50401	UiTask			50401
50501	51602	1	Lv24 引导意识装备	1	[863061, 863071, 349]	50501	UiMain			50501
50701	50701	1	完成1-8 开抽卡发研发券	1	[770402]	50701	UiMain		1300	50701
50800	50800	1	完成1-8 抽出七实	1	[770402]	50800	UiMain|UiDrawOptional			50800
50801	50801	1	完成1-8 引导武器研发	1	[770402]	50801	UiNewDrawMain			50801
50803	50803	1	（废弃）上阵七实	1	[200000]	50803	UiBattleRoleRoom			50801
50804	50804	1	完成1-8 七实引导回主线	1	[863069, 863068, 863057]	50804	UiMain			50804
50901	50901	1	（废弃）完成1-8 引导成员介绍	1	[770402]	50901	UiMain			50901
50902	50902	1	完成1-11 引导检定研发	1	[84100111]	50902	UiNewDrawMain			50902
51101	51101	1	完成1-8 引导赛利卡补习班	1	[774501]	51101	UiFubenPractice			51101
50601	50601	1	完成1-6 发放紫刀	1	[70104, 863062]	50601	UiMain		705031	50601
50602	50602	1	完成1-6 装备紫刀	1	[70104]	50602	UiCharacterSystemV2P6			50602
50603	50603	1	（废弃）完成1-9 升级紫刀	1	[850603]	50603	UiEquipReplaceV2P6|UiMain			50602
50604	50604	1	完成1-6 测试武器进主线	1	[863063, 863064]	50604	UiMain			50604
50931	50931	1	Lv16 引导日常副本（原为单个日常副本）	1	[84100112, 770422]	50931	UiMain			50931
50932	50932	1	完成1-12 引导意识购买	1	[863070, 863060, 770422]	50932	UiActivityBriefShop	BtnTong1422		50932
53401	53401	1	Lv16 引导装备目标推荐	1	[84100112, 349, 770422]	53401	UiMain			53401
53402	53402	1	完成1-12 引导使用装备目标	1	[84100112, 770422]	53402	UiEquipGuideDetail		705032	53402
80901	80901	1	完成1-12 引导新版剧情界面	1	[84100112]	80901	UiNewFuben	PanelMainLineRoot		80901
80902	80902	1	完成1-12 新玩家剧情指引（第九章）	1	[1008150, 863071, 84100112, 863075]	80902	UiNewFuben	PanelMainLineRoot		80902
80903	80903	1	完成1-12 新玩家剧情指引（最新章）	1	[1008151, 863071, 84100112, 863076]	80903	UiNewFuben	PanelMainLineRoot		80903
50402	50402	1	Lv26 引导每日任务	1	[770425, 863071]	50402	UiMain			50402
51001	51001	1	完成2-3 引导商店与货币	1	[851001]	51001	UiMain			51001
53201	53201	1	Lv22 引导考级系统	1	[770424]	53201	UiMain			53201
53202	53202	1	Lv22 引导课程界面	1	[770424]	53202	UiCourseTutorial			53201
53203	53203	1	Lv22 引导执照界面	1	[770424]	53203	UiCourseCombatlicense			53203
53204	53204	1	Lv22 引导执照关卡界面	1	[770424]	53204	UiCourseManagement			53204
53501	53501	1	引导破甲型/装甲型介绍	1	[84100112, 863136]	53501	UiCharacterSystemV2P6	PanelOwned		53501
51201	51201	1	（废弃）了解技能本	1	[200000]	51201	UiMain			51201
51301	51301	1	（废弃）了解金币本	1	[200000]	51301	UiMain			51301
51401	51401	1	（废弃）了解装备经验	1	[200000]	51401	UiMain			51401
51501	51501	1	（废弃）了解装备突破	1	[200000]	51501	UiMain			51501
51601	51601	1	Lv24 了解意识营救战	1	[863061]	51601	UiMain			51601
51701	51701	1	（屏蔽）完成2-12 引导隐藏剧情	1	[851701]	51701	UiMain			51701
52602	52602	1	Lv19 引导维系者行动	1	[770408]	52602	UiTask	BtnMoneyReward		52602
53005	53005	1	Lv20 引导师徒系统（师徒系统内）	1	[870003, 863078]	53005	UiMentorMain			53005
53015	53015	1	Lv28 引导师徒系统(主界面)	1	[863077, 770426]	53015	UiMain			53015
63442	63442	1	Lv30 引导莉莉丝卡池转移入口	1	[863073, 1050098]	63442	UiMain			63442
51801	51801	1	（废弃）引导使用扫荡	1	[200000]	51801	UiMain			51801
51901	51901	1	（废弃）引导进高级装备本	1	[200000]	51901	UiMain			51901
52001	52001	1	（废弃）引导看角色详情	1	[200000]	52001	UiMain			52001
52031	52031	1	（废弃）引导试验场	1	[200000]	52031	UiMain			52031
52101	52101	1	（废弃）了解角色收集	1	[200000]	52101	UiMain			52101
52301	52301	1	lv25或3-7 使用助战（支援）	1	[862842]	52301	UiBattleRoleRoom	BtnSupportToggle		52301
52401	52401	1	完成3-8 引导间章剧情（红莲）	1	[852401]	52401	UiMain			52401
52501	52501	1	完成3-8 引导角色碎片（原为完成3-10了解时装）	1	[852401]	52501	UiMain|UiNewFuben			52501
52601	52601	1	引导赏金任务（废弃）	1	[200000]	52601	UiMain			52601
