CharacterGrowUpLevelId	ModelId	EffectRootName	EffectPath	Title	Desc
10110021	R2LiangMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10110022	R2LiangMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10110023	R2LiangMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10110024	R2LiangMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Liang/FxR2LiangPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10110025	R2LiangMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Liang/FxR2LiangPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10210011	R1LuxiyaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10210012	R1LuxiyaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10210013	R1LuxiyaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10210014	R1LuxiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR1Luxiya/FxR1LuxiyaPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10210015	R1LuxiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR1Luxiya/FxR1LuxiyaPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10310011	R1LifuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10310012	R1LifuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10310013	R1LifuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10310014	R1LifuMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR1Lifu/FxR1LifuPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10310015	R1LifuMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR1Lifu/FxR1LifuPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10410021	R2BiankaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10410022	R2BiankaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10410023	R2BiankaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10410024	R2BiankaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Bianka/FxR2BiankaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10410025	R2BiankaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Bianka/FxR2BiankaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10510011	R2YongyechaoMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10510012	R2YongyechaoMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10510013	R2YongyechaoMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10510014	R2YongyechaoMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Qishi/FxR2YongyechaoPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10510015	R2YongyechaoMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2Qishi/FxR2YongyechaoPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10610021	R2ShenweiMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10610022	R2ShenweiMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10610023	R2ShenweiMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10610024	R2ShenweiMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2Shenwei/FxR2ShenweiPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10610025	R2ShenweiMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2Shenwei/FxR2ShenweiPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10710021	R2KalieninaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10710022	R2KalieninaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10710023	R2KalieninaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10710024	R2KalieninaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2Kalienina/FxR2KalieninaPinzhiGuadianBip001RUpperArm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
