EquipType	CharacterId
1	[1111002, 1011003, 1011002]
2	[1131002, 1021004, 1021003, 1021002, 1021001]
3	[1031003, 1031002, 1031001]
4	[1261003, 1041003, 1041002]
5	[1051003, 1051001]
6	[1061003, 1061002]
7	[1071003, 1071002]
8	[1081003, 1081002]
9	[1561003, 1121002, 1091002]
10	[1511003]
11	[1141003]
12	[1181003]
13	[1521003]
14	[1161002]
15	[1201003]
16	[1191003]
17	[1171003]
18	[1211002]
19	[1531003]
20	[1121003]
21	[1221002]
22	[1541003]
23	[1131003]
24	[1031004]
25	[1531004]
26	[1551003]
27	[1051004]
28	[1071004]
29	[1571003]
30	[1041004]
31	[1231002]
32	[1011004]
33	[1091003]
34	[1021005]
35	[1241002]
36	[1221003]
37	[1251002]
38	[1271003]
39	[1281002]
40	[1081004]
41	[1521004]
42	[1291002]
43	[1171004]
44	[1301002]
45	[1241003]
46	[1211003]
47	[1021006]
48	[1311002]
49	[1051005]
50	[1321003]
51	[1331003]
52	[1531005]
53	[1341002]
54	[1131004]
55	[1351003]
56	[1361003]
57	[1041005]
58	[1371002]
59	[1381003]
60	[1031005]
61	[1291003]
62	[1141004]
63	[1391003]
64	[1061004]
