Id	TagName	CharacterType	Value	SelectedIcon	UnSelectedIcon
101	进攻型	1	1	Assets/Product/Texture/Image/IconType/IconZY1.png	Assets/Product/Texture/Image/IconType/IconZY2.png
102	装甲型	1	2	Assets/Product/Texture/Image/IconType/IconZY3.png	Assets/Product/Texture/Image/IconType/IconZY4.png
103	辅助型	1	3	Assets/Product/Texture/Image/IconType/IconZY5.png	Assets/Product/Texture/Image/IconType/IconZY6.png
104	先锋型	2	4	Assets/Product/Texture/Image/IconType/IconZY9.png	Assets/Product/Texture/Image/IconType/IconZY10.png
105	增幅型	1	5	Assets/Product/Texture/Image/IconType/IconZY7.png	Assets/Product/Texture/Image/IconType/IconZY8.png
106	湮灭型	1	6	Assets/Product/Texture/Image/IconType/IconZY11.png	Assets/Product/Texture/Image/IconType/IconZY12.png
107	观测者	1	7	Assets/Product/Texture/Image/IconType/IconZY13.png	Assets/Product/Texture/Image/IconType/IconZY14.png
108	破甲型	1	8	Assets/Product/Texture/Image/IconType/IconZY19.png	Assets/Product/Texture/Image/IconType/IconZY20.png
201	物理		1	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsWuli.png
202	火		2	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsHuo.png
203	冰		3	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsBing.png
204	雷		4	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsLei.png
205	暗		5	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsAn.png
206	空		6	Assets/Product/Texture/Image/IconType/IconTypeYsNihilityWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsNihility.png
207	混合		7	Assets/Product/Texture/Image/IconType/IconTypeYsHunheWhite.png	Assets/Product/Texture/Image/IconType/IconTypeYsHunhe.png
301	普通级		1		
302	精英级		2		
303	Boss级		3		
401	进攻型		1	Assets/Product/Texture/Image/IconType/IconZY1.png	Assets/Product/Texture/Image/IconType/IconZY2.png
402	装甲型		2	Assets/Product/Texture/Image/IconType/IconZY3.png	Assets/Product/Texture/Image/IconType/IconZY4.png
403	辅助型		3	Assets/Product/Texture/Image/IconType/IconZY5.png	Assets/Product/Texture/Image/IconType/IconZY6.png
404	先锋型		4	Assets/Product/Texture/Image/IconType/IconZY9.png	Assets/Product/Texture/Image/IconType/IconZY10.png
405	增幅型		5	Assets/Product/Texture/Image/IconType/IconZY7.png	Assets/Product/Texture/Image/IconType/IconZY8.png
406	湮灭型		6	Assets/Product/Texture/Image/IconType/IconZY11.png	Assets/Product/Texture/Image/IconType/IconZY12.png
407	观测者		7	Assets/Product/Texture/Image/IconType/IconZY13.png	Assets/Product/Texture/Image/IconType/IconZY14.png
408	破甲型		8	Assets/Product/Texture/Image/IconType/IconZY19.png	Assets/Product/Texture/Image/IconType/IconZY20.png
501	B级		1	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSB.png	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSB2.png
502	A级		2	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSA.png	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSA2.png
503	S级		3	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSS.png	Assets/Product/Texture/Image/IconRoleQulity/CommonBtnXuanzeSS2.png
