Id	Type	Params
999999	10201	[1]
990000	1010003	[1, 4018, 4019, 4020, 4008, 4009, 4010]
990001	1010003	[2, 4018, 4019, 4020, 4008, 4009, 4010]
990002	1010003	[3, 4018, 4019, 4020, 4008, 4009, 4010]
990003	1010003	[4, 4018, 4019, 4020, 4008, 4009, 4010]
990004	1010003	[5, 4018, 4019, 4020, 4008, 4009, 4010]
990005	1010003	[6, 4018, 4019, 4020, 4008, 4009, 4010]
990006	2030001	[3, 4018, 4019, 4020, 4008, 4009, 4010]
990007	1020001	[5, 1, 101, 102, 103, 201, 202]
990008	1020001	[10, 1, 101, 102, 103, 201, 202]
990009	1020001	[15, 1, 101, 102, 103, 201, 202]
990010	1020001	[19, 1, 101, 102, 103, 201, 202]
990011	1000002	[20030112]
990012	2000001	[1001]
990013	2000001	[1002]
990014	2000001	[1003]
990015	2000001	[1004]
990016	2000001	[1005]
990017	2000001	[1006]
990018	2000001	[2001]
990019	2000001	[2002]
990020	2000001	[2003]
990021	2000001	[2004]
990022	2000001	[2005]
990023	2000001	[2006]
990024	2000001	[2007]
990025	2000001	[2008]
990026	2000001	[2009]
990027	2000001	[2010]
990028	2000003	[3, 1001, 1002, 1003, 1004, 1005, 1006, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]
990029	1000002	[20010112]
990030	2010001	[1]
990031	2010001	[2]
990032	2010001	[3]
990033	2010001	[4]
990034	2010001	[5]
990035	2010001	[6]
990036	2010003	[3, 1, 2, 3, 4, 5, 6]
990037	1000002	[2002045]
990038	2020001	[1, 26120006]
990039	2020001	[1, 26120007]
990040	2020001	[1, 26120008]
990041	2020001	[1, 26120009]
990042	2020001	[1, 26120010]
990043	2020001	[1, 26110003]
990044	2020001	[1, 26110004]
990045	2020001	[1, 29004003]
990046	1000001	[1001]
990047	1000001	[3004]
990048	1000001	[3005]
990049	17202	[7, 990006, 990010, 990028, 990036, 990046, 990047, 990048]
990050	1000002	[20120107]
990051	2031001	[101]
990052	2031001	[102]
990053	2031001	[103]
990054	2031001	[104]
990055	2031001	[201]
990056	2031001	[202]
990057	2031001	[203]
990058	2031001	[204]
990059	2031001	[301]
990060	2031001	[302]
990061	2031001	[303]
990062	2031001	[401]
990063	2031001	[402]
990064	2031001	[403]
990065	2031002	[3, 101, 102, 103, 104, 201, 202, 203, 204, 301, 302, 303, 401, 402, 403]
990066	2021001	[1, 1, 2, 3, 4]
990067	2021001	[2, 1, 2, 3, 4]
990068	2021001	[3, 1, 2, 3, 4]
990069	2021001	[4, 1, 2, 3, 4]
990070	1000001	[7001]
990071	1000001	[2011]
990072	1000001	[2013]
990073	1000001	[2014]
990074	1020001	[4, 1, 1001, 1002, 1003, 1004]
990075	1020001	[8, 1, 1001, 1002, 1003, 1004]
990076	1020001	[10, 1, 1001, 1002, 1003, 1004]
990077	1000002	[30060101, 30060102, 30060103]
990078	1000002	[30070101, 30070102, 30070103]
990079	1000002	[30080101, 30080102, 30080103]
990080	1000002	[30090101, 30090102, 30090103]
990081	1000002	[30100101, 30100102, 30100103]
990082	1000002	[30110101, 30110102, 30110103]
990083	1000002	[30120101, 30120102, 30120103]
990084	1000002	[30130101, 30130102, 30130103]
990085	2021001	[1, 1, 2, 3, 4]
990099	1000001	[7003]
990101	1000001	[7003]
990102	1020001	[1, 1, 2001, 2002, 2003, 2004, 2005, 2006]
990103	1020001	[2, 1, 2001, 2002, 2003, 2004, 2005, 2006]
990104	1020001	[4, 1, 2001, 2002, 2003, 2004, 2005, 2006]
990105	1020001	[8, 1, 2001, 2002, 2003, 2004, 2005, 2006]
990106	1020001	[10, 1, 2001, 2002, 2003, 2004, 2005, 2006]
990107	2021001	[1, 5, 6, 7, 8, 9, 10]
990108	2021001	[2, 5, 6, 7, 8, 9, 10]
990109	2021001	[4, 5, 6, 7, 8, 9, 10]
990110	2021001	[6, 5, 6, 7, 8, 9, 10]
990111	1000001	[3025]
990112	1000001	[3020]
990113	1000001	[3027]
990114	1000002	[30140101, 30140102, 30140103, 30140104]
990115	1000002	[30150101, 30150102, 30150103, 30150104]
990116	1000002	[30160101, 30160102, 30160103, 30160104]
990117	1000002	[30170101, 30170102, 30170103, 30170104]
990118	1000002	[30180101, 30180102, 30180103, 30180104]
990119	1000002	[30190101]
