Id	SourceGroupId	Type	Priority	Title	Desc	Icon	PreTaskId	ActivateCondition	Condition	Result	DropId	RewardId	SkipId	StartTime	EndTime	Suffix	ShowAfterTaskId	AchvType	GroupId	ShowAfterGroup	GroupTheme	ShowType	ShowCondition
999999		6	10000	每日登录	每日首次登录	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[999999]	1		990015				登录							
990000		10001	10000	箱庭玩法_跳跳乐_完成1关跳跳乐	首通完成1个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990000]	1		7000092											
990001		10001	9900	箱庭玩法_跳跳乐_完成2关跳跳乐	首通完成2个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990001]	2		7000093											
990002		10001	9800	箱庭玩法_跳跳乐_完成3关跳跳乐	首通完成3个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990002]	3		7000094											
990003		10001	9700	箱庭玩法_跳跳乐_完成4关跳跳乐	首通完成4个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990003]	4		7000095											
990004		10001	9600	箱庭玩法_跳跳乐_完成5关跳跳乐	首通完成5个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990004]	5		7000096											
990005		10001	9500	箱庭玩法_跳跳乐_完成6关跳跳乐	首通完成6个映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990005]	6		7000097											
990006		10001	9400	箱庭玩法_跳跳乐_完成全部跳跳乐	以3星通关全部映空竞跃关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990006]	6		7000098											
990007		10001	9300	箱庭玩法_宝箱_开启5个宝箱	开启5个补给箱	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990007]	5		7000099											
990008		10001	9200	箱庭玩法_宝箱_开启10个宝箱	开启10个补给箱	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990008]	10		7000100											
990009		10001	9100	箱庭玩法_宝箱_开启15个宝箱	开启15个补给箱	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990009]	15		7000101											
990010		10001	9000	箱庭玩法_宝箱_开启全部宝箱	开启全部补给箱	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990010]	19		7000102											
990011		10001	8900	咖啡厅_解锁	推进漫纪任务「咖啡因难题」至对应节点	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990011]	1		7000103											
990012		10001	8800	咖啡厅_剧情关1	完成库洛洛咖啡-营业记录1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990012]	1		7000104											
990013		10001	8700	咖啡厅_剧情关2	完成库洛洛咖啡-营业记录2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990013]	1		7000105											
990014		10001	8600	咖啡厅_剧情关3	完成库洛洛咖啡-营业记录3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990014]	1		7000106											
990015		10001	8500	咖啡厅_剧情关4	完成库洛洛咖啡-营业记录4	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990015]	1		7000107											
990016		10001	8400	咖啡厅_剧情关5	完成库洛洛咖啡-营业记录5	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990016]	1		7000108											
990017		10001	8300	咖啡厅_剧情关6	完成库洛洛咖啡-营业记录6	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990017]	1		7000109											
990018		10001	8200	咖啡厅_挑战关1	完成库洛洛咖啡-特别调制1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990018]	1		7000110											
990019		10001	8100	咖啡厅_挑战关2	完成库洛洛咖啡-特别调制2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990019]	1		7000111											
990020		10001	8000	咖啡厅_挑战关3	完成库洛洛咖啡-特别调制3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990020]	1		7000112											
990021		10001	7900	咖啡厅_挑战关4	完成库洛洛咖啡-特别调制4	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990021]	1		7000113											
990022		10001	7800	咖啡厅_挑战关5	完成库洛洛咖啡-特别调制5	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990022]	1		7000114											
990023		10001	7700	咖啡厅_挑战关6	完成库洛洛咖啡-特别调制6	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990023]	1		7000115											
990024		10001	7600	咖啡厅_挑战关7	完成库洛洛咖啡-特别调制7	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990024]	1		7000116											
990025		10001	7500	咖啡厅_挑战关8	完成库洛洛咖啡-特别调制8	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990025]	1		7000117											
990026		10001	7400	咖啡厅_挑战关9	完成库洛洛咖啡-特别调制9	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990026]	1		7000118											
990027		10001	7300	咖啡厅_挑战关10	完成库洛洛咖啡-特别调制10	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990027]	1		7000119											
990028		10001	7200	咖啡厅_完成全部关卡	以3星通关全部库洛洛咖啡关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990028]	16		7000120											
990029		10001	7100	商业街_解锁	推进漫纪任务「商业露天广场开发计划」至对应节点	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990029]	1		7000121											
990030		10001	7000	商业街_剧情关1	完成商业开发计划-第一轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990030]	1		7000122											
990031		10001	6900	商业街_剧情关2	完成商业开发计划-第二轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990031]	1		7000123											
990032		10001	6800	商业街_剧情关3	完成商业开发计划-第三轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990032]	1		7000124											
990033		10001	6700	商业街_剧情关4	完成商业开发计划-第四轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990033]	1		7000125											
990034		10001	6600	商业街_剧情关5	完成商业开发计划-第五轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990034]	1		7000126											
990035		10001	6500	商业街_剧情关6	完成商业开发计划-第六轮建设	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990035]	1		7000127											
990036		10001	6400	商业街_完成全部关卡	以3星通关全部商业开发计划关卡	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png			[990036]	6		7000128											
