Id	Name	Des	Icon
760001	畏火	火属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
760002	畏火	火属性抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
760003	畏火	火属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
760011	畏雷	雷属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei2.png
760012	畏雷	雷属性抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei2.png
760013	畏雷	雷属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei2.png
760021	畏冰	冰属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing2.png
760022	畏冰	冰属性抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing2.png
760023	畏冰	冰属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing2.png
760031	畏暗	暗属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKangan2.png
760032	畏暗	暗属性抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKangan2.png
760033	畏暗	暗属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKangan2.png
760041	畏物理	物理抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli2.png
760042	畏物理	物理抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli2.png
760043	畏物理	物理抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli2.png
760051	畏元素	所有元素属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png
760052	畏元素	所有元素属性抗性减少45%	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png
760053	畏元素	所有元素属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png
760061	弱攻	额外伤害加成降低30%	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png
760062	弱攻	额外伤害加成降低45%	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png
760063	弱攻	额外伤害加成降低60%	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png
760071	破甲	额外伤害减免降低30%	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png
760072	破甲	额外伤害减免降低45%	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png
760073	破甲	额外伤害减免降低60%	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png
760081	弱点	对来自暴击的伤害，额外伤害减免降低30%	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png
760082	弱点	对来自暴击的伤害，额外伤害减免降低45%	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png
760083	弱点	对来自暴击的伤害，额外伤害减免降低60%	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png
