Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams	SubTypeParams
1	螺母	含有重要化合物的通用材料。	黄金时代被广泛运用在工业生产中的标准螺母，在其中含有的钽-193共聚物被发现具有极高的生物亲和性之后，成为了研发构造体的重要材料。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeMoney.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	3	3	10																
2	黑卡	用于兑换各种物资的特制卡片。	人类阵线势力范围内可使用的物资兑换卡，以小队为单位发放并作为活动经费，通常由指挥官保管。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10															[50024]	
3	黑卡	用于兑换各种物资的特制卡片。	人类阵线势力范围内可使用的物资兑换卡，以小队为单位发放并作为活动经费，通常由指挥官保管。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeGem.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeGemSp.png	3	5	10															[50024]	
4	免疫血清	指挥官作战所要消耗的道具，每次战斗都会消耗一定的数量。	能够在有限时间内维持人类在帕弥什环境中的正常活动，空中花园会定期为作战小队补充血清。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeActionPoint.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeActionPointSp.png	1	4	10	5000									1	360	1				
5	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10															[50037]	
6	真钱	占用道具。	占用道具	Assets/Product/Texture/Image/IconTools/ItPointChaExp.png	Assets/Product/Texture/Image/IconToolsSp/ItPointChaExpSp.png	1	3	10	999	99														
7	小队EXP	评定队伍整体战绩的数据，累积到一定程度后就能提升队伍的评价等级。		Assets/Product/Texture/Image/IconTools/ItPointTeamExp001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointTeamExp001Sp.png	1	3	10																
8	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																
9	碎片	没有使用。		Assets/Product/Texture/Image/IconTools/IconNomal.png	Assets/Product/Texture/Image/IconToolsSp/IconNomalSp.png	8	3	10	999	999														
10	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																
11	友情点	与联络人友好度的象征。		Assets/Product/Texture/Image/IconTools/ItPointFriend001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointFriend001Sp.png	1	3	10	9999															
12	技能点	加深成员对技能了解的数据程式，可以用来提升技能的等级。	装载着各种技能数据的芯片，可以辅助成员进行学习，提升技能强度。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeSP.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	1	3	10	99999	99													[10040, 4104]	
