Id	CullingLayer	HasCollider	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	PrefabPath	ParentPathStr	EntityName	GridLocX	GridLocY	GridLocZ	EntityDataPath
1		True	588.0	100.0	1386.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X161_Y142.prefab		MG_Main_L0_X161_Y142	142	161		
2		True	630.0	100.0	1386.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X161_Y143.prefab		MG_Main_L0_X161_Y143	143	161		
3		True	588.0	100.0	1344.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X160_Y142.prefab		MG_Main_L0_X160_Y142	142	160		
4		True	546.0	100.0	1386.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X161_Y141.prefab		MG_Main_L0_X161_Y141	141	161		
5		True	546.0	100.0	1344.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X160_Y141.prefab		MG_Main_L0_X160_Y141	141	160		
6		True	504.0	100.0	1344.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X160_Y140.prefab		MG_Main_L0_X160_Y140	140	160		
7		True	546.0	100.0	1302.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X159_Y141.prefab		MG_Main_L0_X159_Y141	141	159		
8		True	630.0	100.0	1344.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X160_Y143.prefab		MG_Main_L0_X160_Y143	143	160		
9		True	588.0	100.0	1302.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X159_Y142.prefab		MG_Main_L0_X159_Y142	142	159		
10		True	504.0	100.0	1302.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main/MG_Main_L0_X159_Y140.prefab		MG_Main_L0_X159_Y140	140	159		
