Id	Sorting	UnlockStageId	BuyPrices	HoldingCount	Events	UnlockCountStageIds	UnlockCounts	CanUseFloorId	IsCard	Name	Desc
1	1		100	1				[11]		原初的起点	来自遥远过去的星外文明，难以辨别真实用途。路过时居然有家一般的温暖，这究竟是……
2	2		500	2	[80005]	[103, 203, 303, 403]	[4, 6, 8, 10]	[11]	1	诺曼星际矿场	从遥远的蓝星漂泊而来的流动矿场。即使早已无人看管，也在孜孜不倦地产出闪亮的星矿。
3	3		500	2	[80003]	[103, 203, 303, 403]	[4, 6, 8, 10]	[11]	1	星域训练场	诺克提对这种训练方式嗤之以鼻，但21号觉得是因为如果诺克提开店，不出一周就会倒闭。
4	4	401	1000	4	[80006]	[403]	[8]	[11]	1	拟相靶场	在星际战争中落败的根本原因是缺少模拟战争训练的靶场！不愿透露姓名的老板如是介绍。
5	5	101	1000	2	[80004]	[103, 203, 303, 403]	[4, 6, 8, 10]	[11]	1	“曙光”水吧	“那个粉色的店主，她制造的巡航电解液，有种很温柔的味道。”
6	6	301	1000	4	[80008]	[303]	[8]	[11]	1	华彩星象馆	星象馆的主人已踏上环游星外的旅程，她为路过的旅者留下了繁星的赠礼与祝福的歌谣。
7	7	103	1000	4	[80007]	[203]	[8]	[11]	1	跃迁星塔	无主的高塔叙述着遥远过去文明抗争的历史，即使是在荒芜的星球，它仍然能够帮上一些忙。
105	8		100	10	[80001]	[103, 203, 303, 403]	[20, 30, 50, 80]	[11]	1	永冻冰山	“曾有人利用整个星球的冰川创造了一个精彩绝伦的艺术品，这不过是‘冰山一角’。”
106	9		100	10	[80002]	[103, 203, 303, 403]	[20, 30, 50, 80]	[11]	1	永冻冰川	坚冰冻结了一切罪与记忆，一切都在寂静中等待苏醒。
1001	6			100				[101]		超大型冰山	没有特别的效果，但难以摧毁
