Id	Life	Attack	Defense	CriticalChance	CriticalDamage	AttackSpeed	LifeGrowUp	AttackGrowUp	DefenseGrowUp	CriticalChanceGrowUp	CriticalDamageGrowUp	AttackSpeedGrowUp	FightCriticalChanceGrowUp	Desc
1	10	5			10000									角色模板
2	1	1			10000									修理机工模板
3	1	1			10000									矿场连携阿枪模板
4	1	1			10000									星火阿枪模板
5	9999	999	999	10000	10000									角色作弊模板
10	5810	228												薇拉 BOSS 模板
11	1	1	5	2000	5000									露西亚 BOSS 模板
10101	44	3												1-1BOSS1属性
10201	220	12												1-2BOSS1属性
10301	1944	31												1-3BOSS1属性
10401	1440	73												1-4BOSS1属性
10402	5976	83												1-4BOSS2属性
20101	3225	55												2-1BOSS1属性
20201	4082	72												2-2BOSS1属性
20301	5120	100												2-3BOSS1属性
20401	2916	52												2-4BOSS1属性
20402	8514	93												2-4BOSS2属性
20501	4406	62												2-5BOSS1属性
20502	9262	83												2-5BOSS2属性
30101	7704	177												3-1BOSS1属性
30201	9144	227												3-2BOSS1属性
30301	12480	297												3-3BOSS1属性
30401	2784	73												3-4BOSS1属性
30402	7248	196												3-4BOSS2属性
30501	6240	172												3-5BOSS1属性
30502	14256	393												3-5BOSS2属性
40101	8784	62												4-1BOSS1属性
40201	28552	85												4-2BOSS1属性
40301	35600	86												4-3BOSS1属性
40401	8520	61												4-4BOSS1属性
40402	41408	102												4-4BOSS2属性
40501	4950	35												4-5BOSS1属性
40502	19256	61												4-5BOSS2属性
50101	7416	205												5-1BOSS1属性
50201	7200	200												5-2BOSS1属性
50301	8016	227												5-3BOSS1属性
50401	36209	95												5-4BOSS1属性
50402	37620	152												5-4BOSS2属性
50501	1848	35												5-5BOSS1属性
50502	25736	196												5-5BOSS2属性
50503	207792	488												5-5BOSS3属性
