Id	Sorting	UnlockStageId	NpcAttributeId	AttributeIds	AttributeValues	Name	Model	Events	DefaultUnlock	Story	From	Icon	LockDesc
1	1		1			21号	QR3TwentyoneMd010011PLANET	[10001]	True	既是故事的作者，也是独一无二的主角，强壮又聪明的英雄小狼——21号的奇妙行星环游记，从现在开始！\n\n“想知道这个童话故事的另一个结局吗？21号，下次再讲给你听。”	奇怪紫色星	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone1Q.png	默认解锁
2	2		1			队长	QR2WeilaMd010011PLANET	[10101]		史上最棒的队长，善解人意，温柔包容，想和她一起环游星球的人可以排队绕星球2圈。\n\n“嗯，队长说得对，21号，听队长的。”	奇怪紫色星	Assets/Product/Texture/Image/Role/RoleHeadWeilaQ.png	通关奇怪紫色星:普通-1后解锁
3	3		1			诺克提	QR1NuoketiMd010011PLANET	[10201]		三头犬的另一名成员。如你所见，这样才算组成了完整的星球远征小队。现在的21号创作的童话，很多都是从这三个成员开始的。\n\n“诺克提？诺克提就是诺克提，虽然大部分时间是个笨蛋，需要成熟可靠的21号帮他擦屁股，但是他是同伴，同伴就是要互相帮助。”	奇怪紫色星	Assets/Product/Texture/Image/Role/RoleHeadR1NuoketiQ.png	通关奇怪紫色星:普通-2后解锁
4	4		1			苍白幻影	QR3LunaMd010011PLANET	[10301]		21号的行星环游记中出现的第一个反派，有着与这颗奇异的紫色行星格格不入的苍白。21号似乎知晓她的过去，她曾与潜伏在这颗星球上的暗影来自同一处，却选择走上了与它们不同的道路。\n\n“那不是属于21号的记忆和情感，它们让脑子变得很乱，但是没有关系，我现在已经拥有了属于自己的气味和形状，21号，自己选择成为什么。”	奇怪紫色星	Assets/Product/Texture/Image/Role/RoleHeadLunaQ.png	通关奇怪紫色星:普通-3后解锁
5	5		1			白色突击鹰	QR2WanshiMd010011PLANET	[20101]		看似一直沉睡的白隼守护着一个秘密，触碰到秘密的人通常都不会有什么好下场。要小心路过他的领地，毕竟有起床气很正常，不是吗？\n\n“那个白色的突击鹰小队？不……他没有在一直睡觉，21号闻得出来。鹰在捕猎前都很安静，它们会俯瞰，从远处一击必杀，21号在纪录片里看到过。”	蓝色冰雪星	Assets/Product/Texture/Image/Role/RoleHeadWanShiQ.png	通关蓝色冰雪星:普通-1后解锁
6	6		1			红色灰鸦	QR4LuxiyaMd010011PLANET	[20201]		意志坚定的战士，正在冰原上锲而不舍地寻找失散的同伴。她有着柔软的羽翼，也紧握最锋利的刀刃。\n\n“那个黑红色的灰鸦小队……她是灰鸦的队长，经常和粉色还有蓝色的灰鸦小队在一起。她很珍惜自己的同伴，21号看得出来。”	蓝色冰雪星	Assets/Product/Texture/Image/Role/RoleHeadR4LuxiyaQ.png	通关蓝色冰雪星:普通-2后解锁
7	7		1			紫色独角兽	QR3LuosaitaMd010011PLANET	[20301]		冻土的守护者。这颗行星早已失去绵延的针叶林，只有无际的冰冻海洋，她的目光永远朝向平静的海面，即使星球已经不复原本的模样，她仍然有着约定要守护的事物。\n\n“那个紫色的守林人……她的身上也有森林的气味，她和21号一样，有形状不同的同伴。嗯，不是‘驯化的族群’，是真正的同伴，我能感觉到。”	蓝色冰雪星	Assets/Product/Texture/Image/Role/RoleHeadLuosaitaQ.png	通关蓝色冰雪星:普通-3后解锁
8	8		1			沙漠游商	QR2SufeiyaMd010011PLANET	[30101]		在沙尘之星上活动的游商，善于利用地下管道快速移动，所以看起来神出鬼没。看似形单影只，实则背后的势力掌控着整个星球的商业贸易。\n\n“那个列车来的‘使节’对21号很警惕，她的战斗，21号喜欢……不能随便接受‘阿迪莱’送的东西？嗯，我没有拿，因为队长说过，免费的东西，是最贵的。”	沙尘很多星	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png	通关沙尘很多星:普通-1后解锁
9	9		1			绿洲头领	QR2DubianMd010011PLANET	[30201]		为了幸存的同伴，致力于改变沙漠恶劣环境的领袖，在旅途中路过的绿洲，大多都是出自他手。想要踏入他的领地，首先必须赢得他的信任。\n\n“遗忘者，并不是敌人。唔，21号并没有见过，但是听灰鸦指挥官提起，他是一个很特别的头领。”	沙尘很多星	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	通关沙尘很多星:普通-2后解锁
10	10		1			遗迹守护者	QR1ChangmaoMd010011PLANET	[30301]		统领着沙尘之星所有机械的主宰，实际没有什么机望，麾下大部分机械都选择另寻高就或成为星际海盗，跑路的机械最终遍布了整个星系。\n\n“这种型号的感染体……只会出现在空中花园最低等级的模拟训练里，21号，也觉得它们很弱。”	沙尘很多星	Assets/Product/Texture/Image/Role/RoleChangQiangQ.png	通关沙尘很多星:普通-3后解锁
