Id	Name	UnlockStageId	MaterialIcon	MaterialUrl	IsRoad	TalentFloorHeight
1	变异星基底	101	Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon04.png	Assets/Product/Scene/QPlanet/Floor/Materials/QplanetOneBase01_BaseColor.mat		
2	变异星道路材质	101	Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon03.png	Assets/Product/Scene/QPlanet/Floor/Materials/QplanetOneRoad01_BaseColor.mat	1	
3	变异星草地		Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon06.png	Assets/Product/Scene/QPlanet/Floor/Materials/QplanetOneTerrain01_BaseColor.mat		
4	变异星岩石			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetOneTerrain02_BaseColor.mat		
5	沙星基底			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetTwoBase01.mat		
6	沙星道路材质			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetTwoRoad01.mat	1	
7	沙星风化岩			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetTwoTerrain01.mat		
8	沙星绿洲			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetTwoTerrain02.mat		
9	冰星基底			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetThreeBase01.mat		
10	冰星道路材质			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetThreeRoad01.mat	1	
11	冰星冻岩			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetThreeTerrain01.mat		
12	冰星冰面			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetThreeTerrain02.mat		
13	火星基底			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetFourBase01.mat		
14	火星道路材质			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetFourRoad01.mat	1	
15	火星岩浆			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetFourTerrain01.mat		
16	火星结晶			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetFourTerrain02.mat		
17	蛋糕星基底			Assets/Product/Scene/QPlanet/Floor/Materials/candy_QlpanetFiveBase01_BaseColor.mat		
18	蛋糕星道路材质			Assets/Product/Scene/QPlanet/Floor/Materials/candy_QplanetFiveRoad01_BaseColor.mat	1	
19	蛋糕星巧克力			Assets/Product/Scene/QPlanet/Floor/Materials/candy_QplanetFiveTerrain01_BaseColor.mat		
20	蛋糕星奶油蛋糕			Assets/Product/Scene/QPlanet/Floor/Materials/candy_QplanetFiveTerrain02_BaseColor.mat		
101	冰星高层冻岩			Assets/Product/Scene/QPlanet/Floor/Materials/QplanetThreeTerrain01.mat		1.0
