Id	ActivateCount	TriggerType	IsDirectTrigger	Name	Desc	UseDesc	Show	Icon	IsIncrease	Effects	Conditions
1		3		睡觉	经过起点时，恢复50%队伍生命值	基地的回血	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1	[1001]	[1003]
2		3		采集	每圈首次经过时，星矿+55	矿场的回血	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[1002]	[1001]
3		1		星际海盗	与【星域训练场】相邻时，每圈生成2名星际海盗，击败后星矿+30	矿场与训练场之间的联动	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32032.png	2	[1003]	[1003]
4		3		训练	每圈首次经过时队伍攻击+3，生命值+5	训练场的加攻血	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	[1004, 1005]	[1001]
5		1		流浪者	每圈在周边道路上生成3名星域流浪者	矿场召	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	2	[1006]	[1003]
6				精准	队伍暴击率+20%，暴击伤害+25%	射击馆的固定暴击率	1	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	1	[1007, 1032]	
7				强化训练	与【星域训练场】相邻时，队伍获得30%暴击伤害	射击馆与训练场联动	1	Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png	1	[1008]	
8		3		补给	每圈首次经过时队伍恢复8%最大生命值	酒吧回血	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11001.png	1	[1009]	[1001]
9		3		功能饮料	与【星域训练场】相邻时，额外恢复8%最大生命值	酒吧与训练场联动	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[1010]	[1001]
10		3		占卜	每圈首次经过时随机获得1个道具	占卜馆抽道具	1	Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[1011]	[1001]
11		3		VVIP占卜	与【诺曼星际矿场】相邻时，每圈经过时额外抽取1个道具	占卜馆与矿场联动	1	Assets/Product/Texture/Image/IconSkill/R2SufeiyaS1.png	1	[1011]	[1001]
12				很有精神	队伍速度加成+28%	离子塔	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11013.png	1	[1013]	
13				超级精神	与【诺曼星际矿场】相邻时，额外获得20%攻速加成但每圈需要消耗50星矿	废弃	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[1013, 1014]	[1001, 1005]
14		5		掉落	被击败后，队伍星矿+15	矿场连携的怪物身上配星矿事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[1031]	
101				攻击连携	与【星域训练场】相邻时，队伍攻击+3	变异岩石与训练场联动	1	Assets/Product/Texture/Image/IconAffix/AffixIconJiban2.png	1	[1015]	
102		1		持续放松	每圈额外恢复队伍生命值 1点	变异草地	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11001.png	1	[1017]	[1003]
103				立即放松	队伍生命值 +1	变异草地	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[1018]	
