Id	Name	BgDesc	IconUrl	UnlockStageId	BuildType	GridOccupyType	RangeType	BuildingCount	Cast	Recovery	CanRecovery	CanSelect	CycleLevelUp	BatchBuild	Events	FloorId	FloorHeight	ModelKey	IsShowBuildingCount	LimitNumStageIds	LimitNums	Icon	RelyOnBuilding	ComboEvent	UnlockTimeId
1	原初的起点	来自遥远过去的星外文明，难以辨别真实用途。路过时居然有家一般的温暖，这究竟是……			1	2	1	1							[1]	2		1				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon03.png			
2	诺曼星际矿场	从遥远的蓝星漂泊而来的流动矿场。即使早已无人看管，也在孜孜不倦地产出闪亮的星矿。			2	2	1	100	150		True	True	1		[2, 5]	2		2		[401, 402, 403]	[3, 2, 1]	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon01.png	3	3	
3	星域训练场	诺克提对这种训练方式嗤之以鼻，但21号觉得是因为如果诺克提开店，不出一周就会倒闭。			2	2	1	6	100		True	True	1		[4]	2		3	True	[505]	[99]	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png			
4	拟相靶场	在星际战争中落败的根本原因是缺少模拟战争训练的靶场！不愿透露姓名的老板如是介绍。		303	3	2		100	420		True	True	1		[6]	2		4				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon02.png			17405
5	“曙光”水吧	“那个粉色的店主，她制造的巡航电解液，有种很温柔的味道。”		101	5	2	1	100	100		True	True	1		[8]	2		5				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon04.png	3	9	
6	华彩星象馆	星象馆的主人已踏上环游星外的旅程，她为路过的旅者留下了繁星的赠礼与祝福的歌谣。		203	5	2	1	100	420		True	True	1		[10]	2		6				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png	2	11	17404
7	跃迁星塔	无主的高塔叙述着遥远过去文明抗争的历史，即使是在荒芜的星球，它仍然能够帮上一些忙。		103	3	2		100	420		True	True	1		[12]	2		7				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon07.png			
101	异星基岩	无论怎么看，都是再普通不过的石头，对吧？			4	1		999	5		True			1		4	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon04.png	3	101	
102	异星植被	毛茸茸的苔类植被，据说紫色是生命伊始的颜色。岁月流转循环，生命仍在找寻出路。			4	1		999	5		True			1	[103, 102]	3	0.2					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon03.png			
103	荒星砂岩	“人类每次正视自己的渺小，都是自身的一次巨大进步。”			4	1		999	5		True			1		7	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon06.png	6	109	
104	荒星绿洲	那个人想看到绿洲布满荒原，他始终在为此做出努力。			4	1		999	5		True			1	[108, 107]	8	0.2					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon05.png			
105	永冻冰山	“曾有人利用整个星球的冰川创造了一个精彩绝伦的艺术品，这不过是‘冰山一角’。”			4	1		999	5		True			1		11	0.6					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon02.png	7	106	
106	永冻冰川	坚冰冻结了一切罪与记忆，一切都在寂静中等待苏醒。			4	1		999	5		True			1	[105, 104]	12	0.2					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon01.png			
107	火山岩晶	“苦难和死亡令他们选择诱使火山喷发， 结果可想而知，最终无人捡回熔岩中的珍宝。”			4	1		999	5		True			1		16	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon08.png	4	112	
108	熔岩流	只要行星的心还在燃烧，它们就永远不会停止奔流。			4	1		999	5		True			1	[111, 110]	15	0.2					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon07.png			
109	红丝绒山脉	“笑死，这土居然真的是甜的……”，“诺克提，不讲卫生……唔，好甜。”			4	1		999	50		True			1	[113]	19	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon10.png			
110	杏仁慕斯	无论外形还是味道都无与伦比的完美甜品，在这个星球里居然到处都是，这一定是在做梦。			4	1		999	50		True			1		20	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon09.png	2	114	
111	红丝绒山脉	“笑死，这土居然真的是甜的……”，“诺克提，不讲卫生……唔，好甜。”			4	1		999	140	1.0	True			1	[113]	19	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon10.png			
112	杏仁慕斯	无论外形还是味道都无与伦比的完美甜品，在这个星球里居然到处都是，这一定是在做梦。			4	1		999	140	1.0	True			1		20	0.5					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon09.png	2	114	
1001	超大型冰山	没有特别的效果，但难以摧毁			4	1		999	9999							11	1.0					Assets/Product/Texture/Image/UiPlanet/UiPlanetBaseIcon02.png			
90001	原初的起点	来自遥远过去的星外文明，难以辨别真实用途。路过时居然有家一般的温暖，这究竟是……			1	2	1	1							[90001]	2		1				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon03.png			
90002	原初的起点	来自遥远过去的星外文明，难以辨别真实用途。路过时居然有家一般的温暖，这究竟是……			1	2	1	1								2		1				Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon03.png			
