Id	Type	Desc	Params
1001	2	每圈首次经过时	[1]
1002	3	每2圈	[2]
1003	3	每1圈	[1]
1004	4	金币数量大于等于50（占卜馆）	[1, 50]
1005	4	金币数量大于等于50（占卜馆）	[1, 50]
1006	4	金币数量大于等于100（火星星火）	[1, 100]
2011	1	累计建造3座矿场	[2, 3]
2012	1	累计建造6座训练场	[3, 6]
2013	1	累计建造1座离子塔	[7, 1]
2021	1	累计建造3座矿场	[2, 3]
2022	1	累计建造6座训练场	[3, 6]
2023	1	累计建造1座离子塔	[7, 1]
2031	1	累计建造3座矿场	[2, 3]
2032	1	累计建造6座训练场	[3, 6]
2033	1	累计建造1座离子塔	[7, 1]
2041	1	累计建造6座矿场	[2, 6]
2042	1	累计建造6座训练场	[3, 6]
2043	1	累计建造4座离子塔	[7, 4]
2051	1	累计建造6座矿场	[2, 6]
2052	1	累计建造6座训练场	[3, 6]
2053	1	累计建造4座离子塔	[7, 4]
2080	1	累计建造1座训练场【甜品】	[3, 1]
2081	1	累计建造2座训练场【甜品】	[3, 2]
2082	1	累计建造3座训练场【甜品】	[3, 3]
2083	1	累计建造4座训练场【甜品】	[3, 4]
2084	1	累计建造5座训练场【甜品】	[3, 5]
2085	1	累计建造1座矿场【甜品】	[2, 1]
2086	1	累计建造2座矿场【甜品】	[2, 2]
2087	1	累计建造3座矿场【甜品】	[2, 3]
2088	1	累计建造4座矿场【甜品】	[2, 4]
2089	1	累计建造5座矿场【甜品】	[2, 5]
