Id	AttrTypes	AttrValues
1	['Attack', 'Life']	[9, 72]
2	['Attack', 'Life']	[3, 216]
3	['Attack', 'Life']	[9, 216]
4	['Attack', 'Life']	[15, 120]
5	['Attack', 'Life']	[5, 360]
6	['Attack', 'Life']	[15, 360]
7	['Attack', 'Life']	[24, 192]
8	['Attack', 'Life']	[8, 576]
9	['Attack', 'Life']	[24, 576]
10	['Attack', 'Life']	[30, 240]
11	['Attack', 'Life']	[10, 720]
12	['Attack', 'Life']	[30, 720]
13	['Attack', 'Life']	[36, 288]
14	['Attack', 'Life']	[12, 864]
15	['Attack', 'Life']	[36, 864]
99	['Life', 'Attack']	[9999999, 10]
501	['Attack', 'Life']	[0, 0]
502	['Attack', 'Life']	[200, 300]
503	['Attack', 'Life']	[1600, 1620]
504	['Attack', 'Life']	[2400, 4380]
505	['Attack', 'Life']	[2600, 8400]
506	['Attack', 'Life']	[3780, 13026]
507	['Attack', 'Life']	[4880, 16788]
