Id	Condition	PvpCondition	Priority	Name	Info	CharacterId	Tags	AttrId	TemplateId	NormalAttack	FashionIds	Index	SkipId	PromotedAttrId
1			1	渡边	护卫人民的兵戈，鏖战地狱的军团，在圣堂的阴翳下倾颓跌落。往日余烬迎风蔓延，「战争骑士」采撷火种，将陈腐的旧世掷入熔炉。末日的号角吹响，寻仇的死者踏上征程，熔铸最后的钢。	1081004	['血源伤害', '圣源伤害']	1011	1011	10113	[1, 2]	1		1015
2			2	薇拉	烬土边疆不再有黑夜，火焚谷上空的暮色延伸至永远。沉眠的「死亡骑士」从流放中归来，摆渡人要夺回属于自己的领地，重铸人间与地狱的通渠。古卷中的不祥秘密，却像不曾褪去的幽暗之火。她活着，她燃烧着；她爱着，她杀戮着；从河到海，她要亲自见证命定的终结。	1131004	['血源伤害', '灵源伤害']	1013	1013	10213	[3, 4]	2		1016
3			3	万事	「瘟疫骑士」追逐着天灾的行迹，求索藏在灾变之下的秘密。破碎的童年，残虐的秘典，晦暗的森林，因一场诡谲的梦，紧紧牵系缠绕，汇聚开启救赎的道途。圣堂纠绞的命运太近，拯救人间的解药太远。尘路遥遥，他正行在路上。	1211003	['灵源伤害', '圣源伤害']	1010	1010	10013	[5, 7]	3		1017
4			4	莉莉丝	为了亲手赢回被圣堂夺走的筹码，她化身为「饥荒骑士」，行走于无尽的旷野上。她不愿做聚光灯外默默退场的输家，也不甘成为坟土中无人知晓的幽魂。从地狱中归来后，她要向三界咆哮，她要向暴雪呼啸，她要让所有人都知晓——从不落败的「赌徒莉莉丝」，此刻回到了牌桌上。	1331003	['圣源伤害', '灵源伤害']	1012	1012	10313	[6, 8]	4	40779	1018
5				类人				8200	8200		[101]			8200
6				感染构造体				8201	8201		[102]			8201
7				天使巡礼者				8202	8202	10901	[103]			8202
8				仿生斗牛				8203	8203		[104]			8203
9				铁殇				8204	8204	10902	[105]			8204
10				血税督工				8205	8205	10903	[106]			8205
11				圣堂噬罪者				8206	8206	10904	[107]			8206
12				裁断圣骑				8207	8207	10905	[108]			8207
13				复苏者				8208	8208	10906	[109]			8208
14				惩戒天使				8209	8209	10907	[110]			8209
15				腐朽者				8210	8210	10908	[111]			8210
16				遗迹铁卫				8211	8211	10909	[112]			8211
17				“玛门”				8212	8212	10910	[113]			8212
18				天使长				8213	8213	10911	[114]			8213
19				拉斐尔夫人				8214	8214	10912	[115]			8214
20				永夜君主				8215	8215	10913	[116]			8215
