Id	Name	Desc	VideoUrl
1	机制1	克希拉开场召唤子嗣，子嗣在场时，角色无法获得必杀能量，且克希拉死亡时会被子嗣复活，请优先击杀子嗣	External/Video/simulatetrainkxl1.usm
2	机制2	克希拉在阶段1时会进行范围攻击并抓取角色，离开克希拉招式范围可躲避抓取技能	External/Video/simulatetrainkxl2.usm
3	机制3	克希拉在阶段2时会对角色进行连续鞭打，最后一击命中后会进入捆绑状态，随后抓取角色	External/Video/simulatetrainkxl3.usm
4	机制4	进入捆绑状态后，按住闪避并在接近克希拉时松开闪避键可打断抓取招式	External/Video/simulatetrainkxl4.usm
5	机制1	巴拉德向角色释放多枚可拼刀的导弹，拼刀成功后可削减巴拉德的霸体值	External/Video/simulatetrainbld1.usm
6	机制2	二阶段后，巴拉德霸体值削减至一半时会进入防御状态，从背后攻击巴拉德即可击破防御并使其进入硬直状态	External/Video/simulatetrainbld2.usm
7	机制1	华胥-乱的蓄力状态可被打断，打断后会触发拼刀攻击，成功拼刀可使华胥-乱进入硬直状态	External/Video/simulatetrainhxl1.usm
8	机制2	华胥-乱在80%血量以下时会反制角色超算状态下的攻击，精准闪避华胥-乱的反击即可破解反超算状态	External/Video/simulatetrainhxl2.usm
9	机制1	二阶段后，国王在空中搭乘战车时会进行可拼刀的俯冲攻击，拼刀成功可将国王从战车上击落	External/Video/simulatetraingw1.usm
10	机制2	二阶段后，国王在地面搭乘战车时会进行可拼刀的冲刺攻击，拼刀成功可将国王从战车上击落	External/Video/simulatetraingw2.usm
11	机制3	二阶段后，国王在空中搭乘战车时会向角色投掷长矛，拼刀成功后可恢复角色生命值，拼刀3次可将国王击落	External/Video/simulatetraingw3.usm
12	机制1	纸牌魔术释放后攻击莉莉丝，她会闪现至玩家身后发动攻击，必须先成功闪避她的攻击，才能击中莉莉丝	External/Video/simulatetrainlls1.usm
13	机制2	莉莉丝释放扑克牌围绕玩家旋转，攻击倒置的扑克牌，可以对莉莉丝造成伤害，反之莉莉丝则会攻击玩家	External/Video/simulatetrainlls2.usm
14	机制3	莉莉丝将玩家围困并发动攻击，玩家被击中后会失去信号球，击中莉莉丝则可获得信号球	External/Video/simulatetrainlls3.usm
15	机制1	斯凯奇捶地生成一面土墙，土墙被其打破会对玩家造成额外伤害，玩家也可抢先击破土墙，若成功则可反制斯凯奇	External/Video/simulatetrainskq1.usm
16	机制2	斯凯奇向玩家冲撞，可与之拼刀对抗	External/Video/simulatetrainskq2.usm
17	机制1	维罗妮卡起飞后攻击玩家，玩家可进行拼刀对抗	External/Video/simulatetrainwlnk1.usm
18	机制2	维罗妮卡起飞后，水平冲向玩家	External/Video/simulatetrainwlnk2.usm
19	机制1	柯蕾多尔在转换阶段后会获得护盾，能够格挡玩家的攻击	External/Video/simulatetrainklde1.usm
20	机制1	芬里尔跳向目标是用斩击，拼刀破解后可使芬里尔眩晕	External/Video/simulatetrainfle1.usm
21	机制1	冯·内古特开启领域，领域内所有技能都可拼刀破解，被击中多次后将被领域处决	External/Video/simulatetrainfngt1.usm
22	机制1	塞勒涅与飞轮融为一体，连续冲击目标，可拼刀破解	External/Video/simulatetrainsln1.usm
23	机制1	“修特罗尔”抓取目标使用投技，连续点击交互按钮可破解投技	External/Video/simulatetrainxtle1.usm
24	机制2	“修特罗尔”开始蓄力，并生成护盾，使用护盾同色信号球可破解护盾，破解失败将秒杀在场玩家	External/Video/simulatetrainxtle2.usm
